,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Judges Scientific PLC - Rating: 1% - Upside: 139%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2018,4/4/2018,2.340,00,,,11/24/2025,,11/24/2025,,,,,1.45%,2.340,00,34.00,4.330,18,1.788,61,3.154,88,22%,85%,0.79%,1.90%,3.68%,96.15%,99.44%,77,1.08%,-1.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/5/2018,2.340,00,,,12/1/2025,,12/1/2025,,,,,1.45%,2.340,00,34.00,4.330,18,1.788,61,3.154,88,22%,85%,0.79%,1.90%,3.68%,96.15%,99.44%,77,1.08%,-1.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/6/2018,2.350,00,,,12/8/2025,,12/8/2025,,,,,1.45%,2.350,00,34.00,4.330,18,1.788,61,3.154,88,22%,84%,0.79%,1.90%,3.66%,95.32%,98.60%,77,1.08%,-1.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/9/2018,2.350,00,,,12/15/2025,,12/15/2025,,,,,1.45%,2.350,00,34.00,4.330,18,1.788,61,3.154,88,22%,84%,0.79%,1.90%,3.66%,95.32%,98.60%,77,1.08%,-1.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/10/2018,2.340,00,,,12/22/2025,,12/22/2025,,,,,1.45%,2.340,00,34.00,4.330,18,1.788,61,3.154,88,22%,85%,0.79%,1.90%,3.68%,96.15%,99.44%,77,1.08%,-1.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/11/2018,2.350,00,,,12/29/2025,,12/29/2025,,,,,1.45%,2.350,00,34.00,4.330,18,1.788,61,3.154,88,22%,84%,0.79%,1.90%,3.66%,95.32%,98.60%,77,1.08%,-1.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/12/2018,2.350,00,,,1/5/2026,,1/5/2026,,,,,1.45%,2.350,00,34.00,4.330,18,1.788,61,3.154,88,22%,84%,0.79%,1.90%,3.66%,95.32%,98.60%,77,1.08%,-1.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/13/2018,2.350,00,,,1/12/2026,,1/12/2026,,,,,1.45%,2.350,00,34.00,4.330,18,1.788,61,3.154,88,22%,84%,0.79%,1.90%,3.66%,95.32%,98.60%,77,1.08%,-1.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/16/2018,2.390,00,,,1/19/2026,,1/20/2026,,,,,1.42%,2.390,00,34.00,4.330,18,1.788,61,3.154,88,24%,81%,0.79%,1.90%,3.60%,92.05%,95.27%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/17/2018,2.400,00,,,1/26/2026,,1/26/2026,,,,,1.42%,2.400,00,34.00,4.330,18,1.788,61,3.154,88,24%,80%,0.79%,1.90%,3.58%,91.25%,94.46%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/18/2018,2.390,00,,,2/2/2026,,2/2/2026,,,,,1.42%,2.390,00,34.00,4.330,18,1.788,61,3.154,88,24%,81%,0.79%,1.90%,3.60%,92.05%,95.27%,77,1.08%,-0.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/19/2018,2.390,00,,,2/9/2026,,2/9/2026,,,,,1.42%,2.390,00,34.00,4.330,18,1.788,61,3.154,88,24%,81%,0.79%,1.90%,3.60%,92.05%,95.27%,77,1.08%,-0.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/20/2018,2.430,00,,,2/16/2026,,2/17/2026,,,,,1.40%,2.430,00,34.00,4.330,18,1.788,61,3.154,88,25%,78%,0.79%,1.90%,3.54%,88.89%,92.06%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/23/2018,2.440,00,,,2/23/2026,,2/23/2026,,,,,1.39%,2.440,00,34.00,4.330,18,1.788,61,3.154,88,26%,77%,0.79%,1.90%,3.52%,88.11%,91.27%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/24/2018,2.540,00,,,3/2/2026,,3/2/2026,,,,,1.34%,2.540,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.39%,80.71%,83.74%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/25/2018,2.490,00,,,3/9/2026,,3/9/2026,,,,,1.37%,2.490,00,34.00,4.330,18,1.788,61,3.154,88,28%,74%,0.79%,1.90%,3.45%,84.34%,87.43%,77,1.08%,-1.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/26/2018,2.490,00,,,3/16/2026,,3/16/2026,,,,,1.37%,2.490,00,34.00,4.330,18,1.788,61,3.154,88,28%,74%,0.79%,1.90%,3.45%,84.34%,87.43%,77,1.08%,-1.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/27/2018,2.570,00,,,3/23/2026,,3/23/2026,,,,,1.32%,2.570,00,34.00,4.330,18,1.788,61,3.154,88,31%,68%,0.79%,1.90%,3.35%,78.60%,81.60%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/30/2018,2.580,00,,,3/30/2026,,3/30/2026,,,,,1.32%,2.580,00,34.00,4.330,18,1.788,61,3.154,88,31%,68%,0.79%,1.90%,3.33%,77.91%,80.89%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/1/2018,2.580,00,,,4/7/2026,,4/6/2026,,,,,1.32%,2.580,00,34.00,4.330,18,1.788,61,3.154,88,31%,68%,0.79%,1.90%,3.33%,77.91%,80.89%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/2/2018,2.560,00,,,4/13/2026,,4/13/2026,,,,,1.33%,2.560,00,34.00,4.330,18,1.788,61,3.154,88,30%,69%,0.79%,1.90%,3.36%,79.30%,82.30%,77,1.08%,-0.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/3/2018,2.550,00,,,4/20/2026,,4/20/2026,,,,,1.33%,2.550,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.37%,80.00%,83.02%,77,1.08%,-1.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/4/2018,2.550,00,,,4/27/2026,,4/27/2026,,,,,1.33%,2.550,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.37%,80.00%,83.02%,77,1.08%,-1.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/8/2018,2.660,00,,,5/4/2026,,5/4/2026,,,,,1.28%,2.660,00,34.00,4.330,18,1.788,61,3.154,88,34%,63%,0.79%,1.90%,3.23%,72.56%,75.45%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/9/2018,2.670,00,,,5/11/2026,,5/11/2026,,,,,1.27%,2.670,00,34.00,4.330,18,1.788,61,3.154,88,35%,62%,0.79%,1.90%,3.22%,71.91%,74.79%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/10/2018,2.670,00,,,5/18/2026,,5/18/2026,,,,,1.27%,2.670,00,34.00,4.330,18,1.788,61,3.154,88,35%,62%,0.79%,1.90%,3.22%,71.91%,74.79%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/11/2018,2.700,00,,,5/25/2026,,5/26/2026,,,,,1.26%,2.700,00,34.00,4.330,18,1.788,61,3.154,88,36%,60%,0.79%,1.90%,3.19%,70.00%,72.85%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/14/2018,2.700,00,,,6/1/2026,,6/1/2026,,,,,1.26%,2.700,00,34.00,4.330,18,1.788,61,3.154,88,36%,60%,0.79%,1.90%,3.19%,70.00%,72.85%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/15/2018,2.690,00,,,6/8/2026,,6/8/2026,,,,,1.26%,2.690,00,34.00,4.330,18,1.788,61,3.154,88,35%,61%,0.79%,1.90%,3.20%,70.63%,73.49%,77,1.08%,-0.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/16/2018,2.690,00,,,6/15/2026,,6/15/2026,,,,,1.26%,2.690,00,34.00,4.330,18,1.788,61,3.154,88,35%,61%,0.79%,1.90%,3.20%,70.63%,73.49%,77,1.08%,-0.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/17/2018,2.690,00,,,6/22/2026,,6/22/2026,,,,,1.26%,2.690,00,34.00,4.330,18,1.788,61,3.154,88,35%,61%,0.79%,1.90%,3.20%,70.63%,73.49%,77,1.08%,-0.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/18/2018,2.670,00,,,6/29/2026,,6/29/2026,,,,,1.27%,2.670,00,34.00,4.330,18,1.788,61,3.154,88,35%,62%,0.79%,1.90%,3.22%,71.91%,74.79%,77,1.08%,-1.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/21/2018,2.670,00,,,7/6/2026,,7/6/2026,,,,,1.27%,2.670,00,34.00,4.330,18,1.788,61,3.154,88,35%,62%,0.79%,1.90%,3.22%,71.91%,74.79%,77,1.08%,-1.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/22/2018,2.590,00,,,7/13/2026,,7/13/2026,,,,,1.31%,2.590,00,34.00,4.330,18,1.788,61,3.154,88,32%,67%,0.79%,1.90%,3.32%,77.22%,80.19%,77,1.08%,-4.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/23/2018,2.490,00,,,7/20/2026,,7/20/2026,,,,,1.37%,2.490,00,34.00,4.330,18,1.788,61,3.154,88,28%,74%,0.79%,1.90%,3.45%,84.34%,87.43%,77,1.08%,-7.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/24/2018,2.480,00,,,,,,,,,,1.37%,2.480,00,34.00,4.330,18,1.788,61,3.154,88,27%,75%,0.79%,1.90%,3.47%,85.08%,88.19%,77,1.08%,-8.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/25/2018,2.480,00,,,,,,,,,,1.37%,2.480,00,34.00,4.330,18,1.788,61,3.154,88,27%,75%,0.79%,1.90%,3.47%,85.08%,88.19%,77,1.08%,-8.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/29/2018,2.540,00,,,,,,,,,,1.34%,2.540,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.39%,80.71%,83.74%,77,1.08%,-5.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/30/2018,2.510,00,,,,,,,,,,1.35%,2.510,00,34.00,4.330,18,1.788,61,3.154,88,28%,73%,0.79%,1.90%,3.43%,82.87%,85.94%,77,1.08%,-7.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/31/2018,2.500,00,,,,,,,,,,1.36%,2.500,00,34.00,4.330,18,1.788,61,3.154,88,28%,73%,0.79%,1.90%,3.44%,83.60%,86.68%,77,1.08%,-7.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/1/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/4/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/5/2018,2.540,00,,,,,,,,,,1.34%,2.540,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.39%,80.71%,83.74%,77,1.08%,-5.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/6/2018,2.540,00,,,,,,,,,,1.34%,2.540,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.39%,80.71%,83.74%,77,1.08%,-5.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/7/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/8/2018,2.590,00,,,,,,,,,,1.31%,2.590,00,34.00,4.330,18,1.788,61,3.154,88,32%,67%,0.79%,1.90%,3.32%,77.22%,80.19%,77,1.08%,-4.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/11/2018,2.590,00,,,,,,,,,,1.31%,2.590,00,34.00,4.330,18,1.788,61,3.154,88,32%,67%,0.79%,1.90%,3.32%,77.22%,80.19%,77,1.08%,-4.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/12/2018,2.590,00,,,,,,,,,,1.31%,2.590,00,34.00,4.330,18,1.788,61,3.154,88,32%,67%,0.79%,1.90%,3.32%,77.22%,80.19%,77,1.08%,-4.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/13/2018,2.570,00,,,,,,,,,,1.32%,2.570,00,34.00,4.330,18,1.788,61,3.154,88,31%,68%,0.79%,1.90%,3.35%,78.60%,81.60%,77,1.08%,-4.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/14/2018,2.560,00,,,,,,,,,,1.33%,2.560,00,34.00,4.330,18,1.788,61,3.154,88,30%,69%,0.79%,1.90%,3.36%,79.30%,82.30%,77,1.08%,-5.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/15/2018,2.560,00,,,,,,,,,,1.33%,2.560,00,34.00,4.330,18,1.788,61,3.154,88,30%,69%,0.79%,1.90%,3.36%,79.30%,82.30%,77,1.08%,-5.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/18/2018,2.570,00,,,,,,,,,,1.32%,2.570,00,34.00,4.330,18,1.788,61,3.154,88,31%,68%,0.79%,1.90%,3.35%,78.60%,81.60%,77,1.08%,-4.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/19/2018,2.540,00,,,,,,,,,,1.34%,2.540,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.39%,80.71%,83.74%,77,1.08%,-5.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/20/2018,2.540,00,,,,,,,,,,1.34%,2.540,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.39%,80.71%,83.74%,77,1.08%,-5.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/21/2018,2.540,00,,,,,,,,,,1.34%,2.540,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.39%,80.71%,83.74%,77,1.08%,-5.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/22/2018,2.530,00,,,,,,,,,,1.34%,2.530,00,34.00,4.330,18,1.788,61,3.154,88,29%,71%,0.79%,1.90%,3.40%,81.42%,84.47%,77,1.08%,-6.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/25/2018,2.530,00,,,,,,,,,,1.34%,2.530,00,34.00,4.330,18,1.788,61,3.154,88,29%,71%,0.79%,1.90%,3.40%,81.42%,84.47%,77,1.08%,-6.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/26/2018,2.530,00,,,,,,,,,,1.34%,2.530,00,34.00,4.330,18,1.788,61,3.154,88,29%,71%,0.79%,1.90%,3.40%,81.42%,84.47%,77,1.08%,-6.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/27/2018,2.530,00,,,,,,,,,,1.34%,2.530,00,34.00,4.330,18,1.788,61,3.154,88,29%,71%,0.79%,1.90%,3.40%,81.42%,84.47%,77,1.08%,-6.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/28/2018,2.530,00,,,,,,,,,,1.34%,2.530,00,34.00,4.330,18,1.788,61,3.154,88,29%,71%,0.79%,1.90%,3.40%,81.42%,84.47%,77,1.08%,-6.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/29/2018,2.530,00,,,,,,,,,,1.34%,2.530,00,34.00,4.330,18,1.788,61,3.154,88,29%,71%,0.79%,1.90%,3.40%,81.42%,84.47%,77,1.08%,-6.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/2/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/3/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/4/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/5/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/6/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/9/2018,2.520,00,,,,,,,,,,1.35%,2.520,00,34.00,4.330,18,1.788,61,3.154,88,29%,72%,0.79%,1.90%,3.41%,82.14%,85.20%,77,1.08%,-6.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/10/2018,2.430,00,,,,,,,,,,1.40%,2.430,00,34.00,4.330,18,1.788,61,3.154,88,25%,78%,0.79%,1.90%,3.54%,88.89%,92.06%,77,1.08%,-10.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/11/2018,2.400,00,,,,,,,,,,1.42%,2.400,00,34.00,4.330,18,1.788,61,3.154,88,24%,80%,0.79%,1.90%,3.58%,91.25%,94.46%,77,1.08%,-11.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/12/2018,2.390,00,,,,,,,,,,1.42%,2.390,00,34.00,4.330,18,1.788,61,3.154,88,24%,81%,0.79%,1.90%,3.60%,92.05%,95.27%,77,1.08%,-11.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/13/2018,2.360,00,,,,,,,,,,1.44%,2.360,00,34.00,4.330,18,1.788,61,3.154,88,22%,83%,0.79%,1.90%,3.64%,94.49%,97.75%,77,1.08%,-12.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/16/2018,2.380,00,,,,,,,,,,1.43%,2.380,00,34.00,4.330,18,1.788,61,3.154,88,23%,82%,0.79%,1.90%,3.61%,92.86%,96.09%,77,1.08%,-11.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/17/2018,2.380,00,,,,,,,,,,1.43%,2.380,00,34.00,4.330,18,1.788,61,3.154,88,23%,82%,0.79%,1.90%,3.61%,92.86%,96.09%,77,1.08%,-11.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/18/2018,2.370,00,,,,,,,,,,1.43%,2.370,00,34.00,4.330,18,1.788,61,3.154,88,23%,83%,0.79%,1.90%,3.63%,93.67%,96.92%,77,1.08%,-12.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/19/2018,2.370,00,,,,,,,,,,1.43%,2.370,00,34.00,4.330,18,1.788,61,3.154,88,23%,83%,0.79%,1.90%,3.63%,93.67%,96.92%,77,1.08%,-12.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/20/2018,2.420,00,,,,,,,,,,1.40%,2.420,00,34.00,4.330,18,1.788,61,3.154,88,25%,79%,0.79%,1.90%,3.55%,89.67%,92.85%,77,1.08%,-10.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/23/2018,2.440,00,,,,,,,,,,1.39%,2.440,00,34.00,4.330,18,1.788,61,3.154,88,26%,77%,0.79%,1.90%,3.52%,88.11%,91.27%,77,1.08%,-9.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/24/2018,2.440,00,,,,,,,,,,1.39%,2.440,00,34.00,4.330,18,1.788,61,3.154,88,26%,77%,0.79%,1.90%,3.52%,88.11%,91.27%,77,1.08%,-9.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/25/2018,2.440,00,,,,,,,,,,1.39%,2.440,00,34.00,4.330,18,1.788,61,3.154,88,26%,77%,0.79%,1.90%,3.52%,88.11%,91.27%,77,1.08%,-9.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/26/2018,2.510,00,,,,,,,,,,1.35%,2.510,00,34.00,4.330,18,1.788,61,3.154,88,28%,73%,0.79%,1.90%,3.43%,82.87%,85.94%,77,1.08%,-7.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/27/2018,2.530,00,,,,,,,,,,1.34%,2.530,00,34.00,4.330,18,1.788,61,3.154,88,29%,71%,0.79%,1.90%,3.40%,81.42%,84.47%,77,1.08%,-6.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/30/2018,2.550,00,,,,,,,,,,1.33%,2.550,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.37%,80.00%,83.02%,77,1.08%,-5.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,7/31/2018,2.550,00,,,,,,,,,,1.33%,2.550,00,34.00,4.330,18,1.788,61,3.154,88,30%,70%,0.79%,1.90%,3.37%,80.00%,83.02%,77,1.08%,-5.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/1/2018,2.580,00,,,,,,,,,,1.32%,2.580,00,34.00,4.330,18,1.788,61,3.154,88,31%,68%,0.79%,1.90%,3.33%,77.91%,80.89%,77,1.08%,-4.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/2/2018,2.590,00,,,,,,,,,,1.31%,2.590,00,34.00,4.330,18,1.788,61,3.154,88,32%,67%,0.79%,1.90%,3.32%,77.22%,80.19%,77,1.08%,-4.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/3/2018,2.600,00,,,,,,,,,,1.31%,2.600,00,34.00,4.330,18,1.788,61,3.154,88,32%,67%,0.79%,1.90%,3.31%,76.54%,79.50%,77,1.08%,-3.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/6/2018,2.610,00,,,,,,,,,,1.30%,2.610,00,34.00,4.330,18,1.788,61,3.154,88,32%,66%,0.79%,1.90%,3.30%,75.86%,78.81%,77,1.08%,-3.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/7/2018,2.690,00,,,,,,,,,,1.26%,2.690,00,34.00,4.330,18,1.788,61,3.154,88,35%,61%,0.79%,1.90%,3.20%,70.63%,73.49%,77,1.08%,-0.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/8/2018,2.750,00,,,,,,,,,,1.24%,2.750,00,34.00,4.330,18,1.788,61,3.154,88,38%,57%,0.79%,1.90%,3.13%,66.91%,69.71%,77,1.08%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/9/2018,2.740,00,,,,,,,,,,1.24%,2.740,00,34.00,4.330,18,1.788,61,3.154,88,37%,58%,0.79%,1.90%,3.14%,67.52%,70.33%,77,1.08%,-0.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/10/2018,2.740,00,,,,,,,,,,1.24%,2.740,00,34.00,4.330,18,1.788,61,3.154,88,37%,58%,0.79%,1.90%,3.14%,67.52%,70.33%,77,1.08%,-0.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/13/2018,2.740,00,,,,,,,,,,1.24%,2.740,00,34.00,4.330,18,1.788,61,3.154,88,37%,58%,0.79%,1.90%,3.14%,67.52%,70.33%,77,1.08%,-0.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/14/2018,2.720,00,,,,,,,,,,1.25%,2.720,00,34.00,4.330,18,1.788,61,3.154,88,37%,59%,0.79%,1.90%,3.16%,68.75%,71.58%,77,1.08%,-1.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/15/2018,2.670,00,,,,,,,,,,1.27%,2.670,00,34.00,4.330,18,1.788,61,3.154,88,35%,62%,0.79%,1.90%,3.22%,71.91%,74.79%,77,1.08%,-2.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/16/2018,2.690,00,,,,,,,,,,1.26%,2.690,00,34.00,4.330,18,1.788,61,3.154,88,35%,61%,0.79%,1.90%,3.20%,70.63%,73.49%,77,1.08%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/17/2018,2.690,00,,,,,,,,,,1.26%,2.690,00,34.00,4.330,18,1.788,61,3.154,88,35%,61%,0.79%,1.90%,3.20%,70.63%,73.49%,77,1.08%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/20/2018,2.690,00,,,,,,,,,,1.26%,2.690,00,34.00,4.330,18,1.788,61,3.154,88,35%,61%,0.79%,1.90%,3.20%,70.63%,73.49%,77,1.08%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/21/2018,2.660,00,,,,,,,,,,1.28%,2.660,00,34.00,4.330,18,1.788,61,3.154,88,34%,63%,0.79%,1.90%,3.23%,72.56%,75.45%,77,1.08%,-3.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/22/2018,2.640,00,,,,,,,,,,1.29%,2.640,00,34.00,4.330,18,1.788,61,3.154,88,33%,64%,0.79%,1.90%,3.26%,73.86%,76.78%,77,1.08%,-4.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/23/2018,2.660,00,,,,,,,,,,1.28%,2.660,00,34.00,4.330,18,1.788,61,3.154,88,34%,63%,0.79%,1.90%,3.23%,72.56%,75.45%,77,1.08%,-3.27%,,,,,,,,,,,,
