,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Judges Scientific PLC - Rating: 1% - Upside: 139%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2024,5/29/2024,11.300,00,,,,,,,,,,0.76%,11.300,00,86.00,10.952,80,4.524,13,7.980,00,105%,-3%,0.79%,1.90%,0.76%,-59.38%,-59.38%,0,1.08%,-7.76%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,5/30/2024,11.300,00,,,,,,,,,,0.76%,11.300,00,86.00,10.952,80,4.524,13,7.980,00,105%,-3%,0.79%,1.90%,0.76%,-59.38%,-59.38%,0,1.08%,-7.76%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,5/31/2024,11.200,00,,,,,,,,,,0.77%,11.200,00,86.00,10.952,80,4.524,13,7.980,00,104%,-2%,0.79%,1.90%,0.77%,-59.02%,-59.02%,0,1.08%,-8.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,6/3/2024,10.900,00,,,,,,,,,,0.79%,10.900,00,86.00,10.952,80,4.524,13,7.980,00,99%,0%,0.79%,1.90%,0.79%,-57.89%,-57.89%,0,1.08%,-11.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,6/4/2024,10.500,00,,,,,,,,,,0.82%,10.500,00,86.00,10.952,80,4.524,13,7.980,00,93%,4%,0.79%,1.90%,0.82%,-56.29%,-56.29%,0,1.08%,-14.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,6/5/2024,10.700,00,,,,,,,,,,0.80%,10.700,00,86.00,10.952,80,4.524,13,7.980,00,96%,2%,0.79%,1.90%,0.80%,-57.10%,-57.10%,0,1.08%,-12.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,6/6/2024,10.650,00,,,,,,,,,,0.81%,10.650,00,86.00,10.952,80,4.524,13,7.980,00,95%,3%,0.79%,1.90%,0.81%,-56.90%,-56.90%,0,1.08%,-13.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,6/7/2024,10.400,00,,,,,,,,,,0.83%,10.400,00,86.00,10.952,80,4.524,13,7.980,00,91%,5%,0.79%,1.90%,0.83%,-55.87%,-55.87%,0,1.08%,-15.10%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,6/10/2024,10.350,00,,,,,,,,,,0.83%,10.350,00,86.00,10.952,80,4.524,13,7.980,00,91%,6%,0.79%,1.90%,0.83%,-55.65%,-55.65%,0,1.08%,-15.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,6/11/2024,10.150,00,,,,,,,,,,0.85%,10.150,00,86.00,10.952,80,4.524,13,7.980,00,88%,8%,0.79%,1.90%,0.85%,-54.78%,-54.78%,0,1.08%,-17.14%,,,,,,,,,,,,
