,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UU/ LN,United Utilities Group PLC,,,,,,,,,,129%,-8%,$ 1.366,00,$       856.03,$   1.055,20,$       1.457,00,$   1.250,00,6.14%,3.75%,4.51%,7.15%,108.23%,120.73%,153%,,,,,,,NO,,,6.01%,3.40%,2.62%,0.04%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,United Utilities Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.48%,11/10/2017,,,,,,,,,,$   1.055,20,-23%,3.44%,$   1.250,00,$       867.68,$          656.00,$        703.91,3.22%,5.48%,4.45%,3.22%,-6.25%,-6.25%,-23%,,,,5Y CAGR,1.61%,,United Utilities Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.98%,,United Utilities Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,United Utilities Group PLC - Rating: 129% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,2/2/2016,961.50,,,5/26/2015,,5/26/2015,,,,,4.01%,961.50,38.59,1.027,86,703.91,867.68,80%,7%,3.75%,5.48%,4.88%,42.07%,58.68%,159.72,4.45%,-0.57%,,2018,40.25,2.78%,1/1/1988,1988,,21,4.24%,79,966,2.93%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,946.00,,,6/1/2015,,6/1/2015,,,,,4.08%,946.00,38.59,1.027,86,703.91,867.68,75%,9%,3.75%,5.48%,4.96%,44.40%,61.28%,159.72,4.45%,-2.17%,,2019,41.72,3.65%,1/1/1989,1989,,22,4.28%,96,1062,3.56%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,944.00,,,6/8/2015,,6/8/2015,,,,,4.09%,944.00,38.59,1.027,86,703.91,867.68,74%,9%,3.75%,5.48%,4.97%,44.70%,61.62%,159.72,4.45%,-2.38%,,2020,42.81,2.61%,1/1/1990,1990,,23,4.32%,81,1143,3.00%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,923.00,,,6/15/2015,,6/15/2015,,,,,4.18%,923.00,38.59,1.027,86,703.91,867.68,68%,11%,3.75%,5.48%,5.08%,48.00%,65.30%,159.72,4.45%,-4.55%,,2021,43.33,1.21%,1/1/1991,1991,,24,4.36%,109,1252,4.04%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,907.50,,,6/22/2015,,6/22/2015,,,,,4.25%,907.50,38.59,1.027,86,703.91,867.68,63%,13%,3.75%,5.48%,5.17%,50.52%,68.12%,159.72,4.45%,-6.15%,,2022,44.17,1.94%,1/1/1992,1992,,25,4.40%,58,1310,2.15%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,902.00,,,6/29/2015,,6/29/2015,,,,,4.28%,902.00,38.59,1.027,86,703.91,867.68,61%,14%,3.75%,5.48%,5.20%,51.44%,69.15%,159.72,4.45%,-6.72%,,2023,46.93,6.25%,1/1/1993,1993,,26,4.44%,89,1399,3.30%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,903.50,,,7/6/2015,,7/6/2015,,,,,4.27%,903.50,38.59,1.027,86,703.91,867.68,62%,14%,3.75%,5.48%,5.19%,51.19%,68.87%,159.72,4.45%,-6.57%,,2024,46.93,0.00%,1/1/1994,1994,,27,4.48%,83,1482,3.07%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,893.00,,,7/13/2015,,7/13/2015,,,,,4.32%,893.00,38.59,1.027,86,703.91,867.68,58%,15%,3.75%,5.48%,5.26%,52.97%,70.85%,159.72,4.45%,-7.65%,,2025,46.93,0.00%,1/1/1995,1995,,28,4.52%,68,1550,2.52%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,905.50,,,7/20/2015,,7/20/2015,,,,,4.26%,905.50,38.59,1.027,86,703.91,867.68,62%,14%,3.75%,5.48%,5.18%,50.86%,68.49%,159.72,4.45%,-6.36%,,2026,46.93,0.00%,1/1/1996,1996,,29,4.56%,70,1620,2.59%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,919.50,,,7/27/2015,,7/27/2015,,,,,4.20%,919.50,38.59,1.027,86,703.91,867.68,67%,12%,3.75%,5.48%,5.10%,48.56%,65.93%,159.72,4.45%,-4.91%,,,,,1/1/1997,1997,,30,4.60%,57,1677,2.11%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,918.00,,,8/3/2015,,8/3/2015,,,,,4.20%,918.00,38.59,1.027,86,703.91,867.68,66%,12%,3.75%,5.48%,5.11%,48.80%,66.20%,159.72,4.45%,-5.07%,,,,,1/1/1998,1998,,31,4.64%,70,1747,2.59%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,918.50,,,8/10/2015,,8/10/2015,,,,,4.20%,918.50,38.59,1.027,86,703.91,867.68,66%,12%,3.75%,5.48%,5.11%,48.72%,66.11%,159.72,4.45%,-5.02%,,,,,1/1/1999,1999,,32,4.68%,79,1826,2.93%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,929.00,,,8/17/2015,,8/17/2015,,,,,4.15%,929.00,38.59,1.027,86,703.91,867.68,69%,11%,3.75%,5.48%,5.05%,47.04%,64.23%,159.72,4.45%,-3.93%,,,,,1/1/2000,2000,,33,4.72%,61,1887,2.26%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,932.00,,,8/24/2015,,8/24/2015,,,,,4.14%,932.00,38.59,1.027,86,703.91,867.68,70%,10%,3.75%,5.48%,5.04%,46.57%,63.70%,159.72,4.45%,-3.62%,,,,,1/1/2001,2001,,34,4.76%,73,1960,2.70%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,950.50,,,9/1/2015,,8/31/2015,,,,,4.06%,950.50,38.59,1.027,86,703.91,867.68,76%,8%,3.75%,5.48%,4.94%,43.71%,60.52%,159.72,4.45%,-1.71%,,,,,1/1/2002,2002,,35,4.80%,63,2023,2.33%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,940.50,,,9/7/2015,,9/8/2015,,,,,4.10%,940.50,38.59,1.027,86,703.91,867.68,73%,9%,3.75%,5.48%,4.99%,45.24%,62.22%,159.72,4.45%,-2.74%,,,,,1/1/2003,2003,,36,4.84%,45,2068,1.67%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,917.00,,,9/14/2015,,9/14/2015,,,,,4.21%,917.00,38.59,1.027,86,703.91,867.68,66%,12%,3.75%,5.48%,5.12%,48.96%,66.38%,159.72,4.45%,-5.17%,,,,,1/1/2004,2004,,37,4.88%,59,2127,2.19%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,931.00,,,9/21/2015,,9/21/2015,,,,,4.15%,931.00,38.59,1.027,86,703.91,867.68,70%,10%,3.75%,5.48%,5.04%,46.72%,63.88%,159.72,4.45%,-3.72%,,,,,1/1/2005,2005,,38,4.92%,40,2167,1.48%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,926.50,,,9/28/2015,,9/28/2015,,,,,4.17%,926.50,38.59,1.027,86,703.91,867.68,69%,11%,3.75%,5.48%,5.07%,47.44%,64.68%,159.72,4.45%,-4.19%,,,,,1/1/2006,2006,,39,4.96%,35,2202,1.30%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,925.50,,,10/5/2015,,10/5/2015,,,,,4.17%,925.50,38.59,1.027,86,703.91,867.68,68%,11%,3.75%,5.48%,5.07%,47.60%,64.85%,159.72,4.45%,-4.29%,,,,,1/1/2007,2007,,40,5.00%,40,2242,1.48%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,932.00,,,10/12/2015,,10/12/2015,,,,,4.14%,932.00,38.59,1.027,86,703.91,867.68,70%,10%,3.75%,5.48%,5.04%,46.57%,63.70%,159.72,4.45%,-3.62%,,,,,1/1/2008,2008,,41,5.04%,26,2268,0.96%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,928.00,,,10/19/2015,,10/19/2015,,,,,4.16%,928.00,38.59,1.027,86,703.91,867.68,69%,11%,3.75%,5.48%,5.06%,47.20%,64.41%,159.72,4.45%,-4.03%,,,,,1/1/2009,2009,,42,5.08%,36,2304,1.33%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,920.50,,,10/26/2015,,10/26/2015,,,,,4.19%,920.50,38.59,1.027,86,703.91,867.68,67%,12%,3.75%,5.48%,5.10%,48.40%,65.75%,159.72,4.45%,-4.81%,,,,,1/1/2010,2010,,43,5.12%,39,2343,1.44%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,912.50,,,11/2/2015,,11/2/2015,,,,,4.23%,912.50,38.59,1.027,86,703.91,867.68,64%,13%,3.75%,5.48%,5.14%,49.70%,67.20%,159.72,4.45%,-5.64%,,,,,1/1/2011,2011,,44,5.16%,26,2369,0.96%
