,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,,2016,1/12/2016,72.52 CHF,,,2/9/2015,,2/9/2015,,,,,93.77%,72.52 CHF,68.00,1.978,97,75.43,91.63,0%,2629%,3.44%,90.14%,4.41%,30.78%,432.05%,291,74.21%,-2.68%,,2003,6.00,0.00%,1/1/1973,1973,,6,3.37%,7,49,0.26%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,73.96 CHF,,,2/16/2015,,2/17/2015,,,,,91.94%,73.96 CHF,68.00,1.978,97,75.43,91.63,0%,2576%,3.44%,90.14%,4.33%,28.23%,421.69%,291,74.21%,-0.75%,,2004,9.00,50.00%,1/1/1974,1974,,7,3.38%,15,64,0.57%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,73.20 CHF,,,2/23/2015,,2/23/2015,,,,,92.90%,73.20 CHF,68.00,1.978,97,75.43,91.63,0%,2604%,3.44%,90.14%,4.37%,29.56%,427.10%,291,74.21%,-1.77%,,2005,12.00,33.33%,1/1/1975,1975,,8,3.39%,14,78,0.53%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,70.64 CHF,,,3/2/2015,,3/2/2015,,,,,96.26%,70.64 CHF,68.00,1.978,97,75.43,91.63,0%,2701%,3.44%,90.14%,4.53%,34.26%,446.21%,291,74.21%,-5.21%,,2006,31.00,158.33%,1/1/1976,1976,,9,3.40%,12,90,0.45%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,71.52 CHF,,,3/9/2015,,3/9/2015,,,,,95.08%,71.52 CHF,68.00,1.978,97,75.43,91.63,0%,2667%,3.44%,90.14%,4.47%,32.61%,439.49%,291,74.21%,-4.03%,,2007,20.00,-35.48%,1/1/1977,1977,,10,3.41%,16,106,0.60%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,73.52 CHF,,,3/16/2015,,3/16/2015,,,,,92.49%,73.52 CHF,68.00,1.978,97,75.43,91.63,0%,2592%,3.44%,90.14%,4.35%,29.00%,424.81%,291,74.21%,-1.34%,,2008,25.00,25.00%,1/1/1978,1978,,11,3.42%,5,111,0.19%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,73.68 CHF,,,3/23/2015,,3/23/2015,,,,,92.29%,73.68 CHF,68.00,1.978,97,75.43,91.63,0%,2586%,3.44%,90.14%,4.34%,28.72%,423.67%,291,74.21%,-1.13%,,2009,35.00,40.00%,1/1/1979,1979,,12,3.43%,11,122,0.41%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,75.64 CHF,,,3/30/2015,,3/30/2015,,,,,89.90%,75.64 CHF,68.00,1.978,97,75.43,91.63,0%,2516%,3.44%,90.14%,4.23%,25.38%,410.10%,291,74.21%,0.00%,,2010,30.00,-14.29%,1/1/1980,1980,,13,3.44%,10,132,0.38%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,77.24 CHF,,,4/7/2015,,4/6/2015,,,,,88.04%,77.24 CHF,68.00,1.978,97,75.43,91.63,0%,2462%,3.44%,90.14%,4.14%,22.79%,399.53%,291,74.21%,0.00%,,2011,30.00,0.00%,1/1/1981,1981,,14,3.45%,10,142,0.38%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,76.92 CHF,,,4/13/2015,,4/13/2015,,,,,88.40%,76.92 CHF,68.00,1.978,97,75.43,91.63,0%,2473%,3.44%,90.14%,4.16%,23.30%,401.61%,291,74.21%,-0.41%,,2012,30.00,0.00%,1/1/1982,1982,,15,3.46%,8,150,0.30%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,77.72 CHF,,,4/20/2015,,4/20/2015,,,,,87.49%,77.72 CHF,68.00,1.978,97,75.43,91.63,0%,2446%,3.44%,90.14%,4.12%,22.03%,396.45%,291,74.21%,0.00%,,2013,30.00,0.00%,1/1/1983,1983,,16,3.47%,12,162,0.45%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,78.28 CHF,,,4/27/2015,,4/27/2015,,,,,86.87%,78.28 CHF,68.00,1.978,97,75.43,91.63,0%,2428%,3.44%,90.14%,4.09%,21.15%,392.90%,291,74.21%,0.00%,,2014,65.00,116.67%,1/1/1984,1984,,17,3.48%,6,168,0.23%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,78.04 CHF,,,5/4/2015,,5/4/2015,,,,,87.13%,78.04 CHF,68.00,1.978,97,75.43,91.63,0%,2436%,3.44%,90.14%,4.10%,21.53%,394.41%,291,74.21%,-0.31%,,2015,68.00,4.62%,1/1/1985,1985,,18,3.49%,6,174,0.23%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,79.08 CHF,,,5/11/2015,,5/11/2015,,,,,85.99%,79.08 CHF,68.00,1.978,97,75.43,91.63,0%,2402%,3.44%,90.14%,4.05%,19.93%,387.91%,291,74.21%,0.00%,,2016,68.00,0.00%,1/1/1986,1986,,19,3.50%,4,178,0.15%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,78.16 CHF,,,5/18/2015,,5/18/2015,,,,,87.00%,78.16 CHF,68.00,1.978,97,75.43,91.63,0%,2432%,3.44%,90.14%,4.09%,21.34%,393.65%,291,74.21%,-1.16%,,2017,70.00,2.94%,1/1/1987,1987,,20,3.51%,6,184,0.23%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,76.96 CHF,,,5/26/2015,,5/26/2015,,,,,88.36%,76.96 CHF,68.00,1.978,97,75.43,91.63,0%,2471%,3.44%,90.14%,4.16%,23.23%,401.35%,291,74.21%,-2.68%,,2018,75.00,7.14%,1/1/1988,1988,,21,3.52%,14,198,0.53%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,76.88 CHF,,,6/1/2015,,6/1/2015,,,,,88.45%,76.88 CHF,68.00,1.978,97,75.43,91.63,0%,2474%,3.44%,90.14%,4.16%,23.36%,401.87%,291,74.21%,-2.78%,,2019,78.00,4.00%,1/1/1989,1989,,22,3.53%,15,213,0.57%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,77.96 CHF,,,6/8/2015,,6/8/2015,,,,,87.22%,77.96 CHF,68.00,1.978,97,75.43,91.63,0%,2438%,3.44%,90.14%,4.10%,21.65%,394.92%,291,74.21%,-1.42%,,2020,80.00,2.56%,1/1/1990,1990,,23,3.54%,9,222,0.34%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,79.32 CHF,,,6/15/2015,,6/15/2015,,,,,85.73%,79.32 CHF,68.00,1.978,97,75.43,91.63,0%,2395%,3.44%,90.14%,4.03%,19.57%,386.43%,291,74.21%,0.00%,,2021,80.00,0.00%,1/1/1991,1991,,24,3.55%,6,228,0.23%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,77.84 CHF,,,6/22/2015,,6/22/2015,,,,,87.36%,77.84 CHF,68.00,1.978,97,75.43,91.63,0%,2442%,3.44%,90.14%,4.11%,21.84%,395.68%,291,74.21%,-1.87%,,2022,80.00,0.00%,1/1/1992,1992,,25,3.56%,7,235,0.26%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,75.48 CHF,,,6/29/2015,,6/29/2015,,,,,90.09%,75.48 CHF,68.00,1.978,97,75.43,91.63,0%,2522%,3.44%,90.14%,4.24%,25.65%,411.18%,291,74.21%,-4.84%,,2023,3.20,-96.00%,1/1/1993,1993,,26,3.57%,7,242,0.26%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,74.76 CHF,,,7/6/2015,,7/6/2015,,,,,90.96%,74.76 CHF,68.00,1.978,97,75.43,91.63,0%,2547%,3.44%,90.14%,4.28%,26.86%,416.10%,291,74.21%,-5.75%,,2024,3.20,0.00%,1/1/1994,1994,,27,3.58%,10,252,0.38%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,73.24 CHF,,,7/13/2015,,7/13/2015,,,,,92.85%,73.24 CHF,68.00,1.978,97,75.43,91.63,0%,2602%,3.44%,90.14%,4.37%,29.49%,426.82%,291,74.21%,-7.67%,,2025,3.20,0.00%,1/1/1995,1995,,28,3.59%,12,264,0.45%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,74.52 CHF,,,7/20/2015,,7/20/2015,,,,,91.25%,74.52 CHF,68.00,1.978,97,75.43,91.63,0%,2556%,3.44%,90.14%,4.29%,27.27%,417.77%,291,74.21%,-6.05%,,2026,3.20,0.00%,1/1/1996,1996,,29,3.60%,5,269,0.19%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,76.92 CHF,,,7/27/2015,,7/27/2015,,,,,88.40%,76.92 CHF,68.00,1.978,97,75.43,91.63,0%,2473%,3.44%,90.14%,4.16%,23.30%,401.61%,291,74.21%,-3.03%,,,,,1/1/1997,1997,,30,3.61%,11,280,0.41%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,77.40 CHF,,,8/3/2015,,8/3/2015,,,,,87.86%,77.40 CHF,68.00,1.978,97,75.43,91.63,0%,2457%,3.44%,90.14%,4.13%,22.53%,398.50%,291,74.21%,-2.42%,,,,,1/1/1998,1998,,31,3.62%,8,288,0.30%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,79.00 CHF,,,8/10/2015,,8/10/2015,,,,,86.08%,79.00 CHF,68.00,1.978,97,75.43,91.63,0%,2405%,3.44%,90.14%,4.05%,20.05%,388.41%,291,74.21%,-0.40%,,,,,1/1/1999,1999,,32,3.63%,12,300,0.45%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,79.28 CHF,,,8/17/2015,,8/17/2015,,,,,85.77%,79.28 CHF,68.00,1.978,97,75.43,91.63,0%,2396%,3.44%,90.14%,4.04%,19.63%,386.68%,291,74.21%,-0.05%,,,,,1/1/2000,2000,,33,3.64%,10,310,0.38%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,79.20 CHF,,,8/24/2015,,8/24/2015,,,,,85.86%,79.20 CHF,68.00,1.978,97,75.43,91.63,0%,2399%,3.44%,90.14%,4.04%,19.75%,387.17%,291,74.21%,-0.15%,,,,,1/1/2001,2001,,34,3.65%,17,327,0.64%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,79.76 CHF,,,8/31/2015,,8/31/2015,,,,,85.26%,79.76 CHF,68.00,1.978,97,75.43,91.63,0%,2381%,3.44%,90.14%,4.01%,18.91%,383.75%,291,74.21%,0.00%,,,,,1/1/2002,2002,,35,3.66%,11,338,0.41%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,78.80 CHF,,,9/7/2015,,9/8/2015,,,,,86.29%,78.80 CHF,68.00,1.978,97,75.43,91.63,0%,2411%,3.44%,90.14%,4.06%,20.36%,389.64%,291,74.21%,-1.20%,,,,,1/1/2003,2003,,36,3.67%,13,351,0.49%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,78.64 CHF,,,9/14/2015,,9/14/2015,,,,,86.47%,78.64 CHF,68.00,1.978,97,75.43,91.63,0%,2416%,3.44%,90.14%,4.07%,20.60%,390.64%,291,74.21%,-1.40%,,,,,1/1/2004,2004,,37,3.68%,10,361,0.38%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,80.00 CHF,,,9/21/2015,,9/21/2015,,,,,85.00%,80.00 CHF,68.00,1.978,97,75.43,91.63,0%,2374%,3.44%,90.14%,4.00%,18.55%,382.30%,291,74.21%,0.00%,,,,,1/1/2005,2005,,38,3.69%,8,369,0.30%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,80.76 CHF,,,9/28/2015,,9/28/2015,,,,,84.20%,80.76 CHF,68.00,1.978,97,75.43,91.63,0%,2350%,3.44%,90.14%,3.96%,17.43%,377.76%,291,74.21%,0.00%,,,,,1/1/2006,2006,,39,3.70%,9,378,0.34%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,80.92 CHF,,,10/5/2015,,10/5/2015,,,,,84.03%,80.92 CHF,68.00,1.978,97,75.43,91.63,0%,2346%,3.44%,90.14%,3.95%,17.20%,376.82%,291,74.21%,0.00%,,,,,1/1/2007,2007,,40,3.71%,5,383,0.19%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,81.68 CHF,,,10/12/2015,,10/12/2015,,,,,83.25%,81.68 CHF,68.00,1.978,97,75.43,91.63,0%,2323%,3.44%,90.14%,3.92%,16.11%,372.38%,291,74.21%,0.00%,,,,,1/1/2008,2008,,41,3.72%,9,392,0.34%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,80.92 CHF,,,10/19/2015,,10/19/2015,,,,,84.03%,80.92 CHF,68.00,1.978,97,75.43,91.63,0%,2346%,3.44%,90.14%,3.95%,17.20%,376.82%,291,74.21%,-0.93%,,,,,1/1/2009,2009,,42,3.73%,9,401,0.34%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,80.32 CHF,,,10/26/2015,,10/26/2015,,,,,84.66%,80.32 CHF,68.00,1.978,97,75.43,91.63,0%,2364%,3.44%,90.14%,3.98%,18.08%,380.38%,291,74.21%,-1.67%,,,,,1/1/2010,2010,,43,3.74%,11,412,0.41%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,80.96 CHF,,,11/2/2015,,11/2/2015,,,,,83.99%,80.96 CHF,68.00,1.978,97,75.43,91.63,0%,2344%,3.44%,90.14%,3.95%,17.14%,376.58%,291,74.21%,-0.88%,,,,,1/1/2011,2011,,44,3.75%,10,422,0.38%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,81.00 CHF,,,11/9/2015,,11/9/2015,,,,,83.95%,81.00 CHF,68.00,1.978,97,75.43,91.63,0%,2343%,3.44%,90.14%,3.95%,17.09%,376.35%,291,74.21%,-0.83%,,,,,1/1/2012,2012,,45,3.76%,12,434,0.45%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,80.40 CHF,,,11/16/2015,,11/16/2015,,,,,84.58%,80.40 CHF,68.00,1.978,97,75.43,91.63,0%,2361%,3.44%,90.14%,3.98%,17.96%,379.90%,291,74.21%,-1.57%,,,,,1/1/2013,2013,,46,3.77%,16,450,0.60%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,80.84 CHF,,,11/23/2015,,11/23/2015,,,,,84.12%,80.84 CHF,68.00,1.978,97,75.43,91.63,0%,2348%,3.44%,90.14%,3.96%,17.32%,377.29%,291,74.21%,-1.03%,,,,,1/1/2014,2014,,47,3.78%,19,469,0.72%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,80.60 CHF,,,11/30/2015,,11/30/2015,,,,,84.37%,80.60 CHF,68.00,1.978,97,75.43,91.63,0%,2355%,3.44%,90.14%,3.97%,17.67%,378.71%,291,74.21%,-1.32%,,,,,1/1/2015,2015,,48,3.79%,15,484,0.57%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,81.76 CHF,,,12/7/2015,,12/7/2015,,,,,83.17%,81.76 CHF,68.00,1.978,97,75.43,91.63,0%,2320%,3.44%,90.14%,3.91%,16.00%,371.92%,291,74.21%,0.00%,,,,,1/1/2016,2016,,49,3.80%,16,500,0.60%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,81.48 CHF,,,12/14/2015,,12/14/2015,,,,,83.46%,81.48 CHF,68.00,1.978,97,75.43,91.63,0%,2329%,3.44%,90.14%,3.93%,16.40%,373.54%,291,74.21%,-0.34%,,,,,1/1/2017,2017,,50,3.81%,21,521,0.79%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,80.28 CHF,,,12/21/2015,,12/21/2015,,,,,84.70%,80.28 CHF,68.00,1.978,97,75.43,91.63,0%,2365%,3.44%,90.14%,3.99%,18.14%,380.62%,291,74.21%,-1.81%,,,,,1/1/2018,2018,,51,3.82%,10,531,0.38%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,80.08 CHF,,,12/28/2015,,12/28/2015,,,,,84.92%,80.08 CHF,68.00,1.978,97,75.43,91.63,0%,2371%,3.44%,90.14%,4.00%,18.43%,381.82%,291,74.21%,-2.05%,,,,,1/1/2019,2019,,52,3.83%,17,548,0.64%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,79.76 CHF,,,1/4/2016,,1/4/2016,,,,,85.26%,79.76 CHF,68.00,1.978,97,75.43,91.63,0%,2381%,3.44%,90.14%,4.01%,18.91%,383.75%,291,74.21%,-2.45%,,,,,1/1/2020,2020,,53,3.84%,14,562,0.53%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,80.04 CHF,,,1/11/2016,,1/11/2016,,,,,84.96%,80.04 CHF,68.00,1.978,97,75.43,91.63,0%,2372%,3.44%,90.14%,4.00%,18.49%,382.06%,291,74.21%,-2.10%,,,,,,,,54,3.85%,12,574,0.45%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,79.04 CHF,,,1/18/2016,,1/19/2016,,,,,86.03%,79.04 CHF,68.00,1.978,97,75.43,91.63,0%,2404%,3.44%,90.14%,4.05%,19.99%,388.16%,291,74.21%,-3.33%,,,,,,,,55,3.86%,17,591,0.64%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,78.96 CHF,,,1/25/2016,,1/25/2016,,,,,86.12%,78.96 CHF,68.00,1.978,97,75.43,91.63,0%,2406%,3.44%,90.14%,4.05%,20.11%,388.65%,291,74.21%,-3.42%,,,,,,,,56,3.87%,10,601,0.38%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,78.92 CHF,,,2/1/2016,,2/1/2016,,,,,86.16%,78.92 CHF,68.00,1.978,97,75.43,91.63,0%,2408%,3.44%,90.14%,4.05%,20.17%,388.90%,291,74.21%,-3.47%,,,,,,80%,,57,3.88%,14,615,0.53%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,78.64 CHF,,,2/8/2016,,2/8/2016,,,,,86.47%,78.64 CHF,68.00,1.978,97,75.43,91.63,0%,2416%,3.44%,90.14%,4.07%,20.60%,390.64%,291,74.21%,-3.82%,,,,,,81%,,58,3.89%,17,632,0.64%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,80.20 CHF,,,2/15/2016,,2/16/2016,,,,,84.79%,80.20 CHF,68.00,1.978,97,75.43,91.63,0%,2368%,3.44%,90.14%,3.99%,18.25%,381.10%,291,74.21%,-1.91%,,,,,,82%,,59,3.90%,12,644,0.45%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,81.00 CHF,,,2/22/2016,,2/22/2016,,,,,83.95%,81.00 CHF,68.00,1.978,97,75.43,91.63,0%,2343%,3.44%,90.14%,3.95%,17.09%,376.35%,291,74.21%,-0.93%,,,,,,83%,,60,3.91%,17,661,0.64%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,81.24 CHF,,,2/29/2016,,2/29/2016,,,,,83.70%,81.24 CHF,68.00,1.978,97,75.43,91.63,0%,2336%,3.44%,90.14%,3.94%,16.74%,374.94%,291,74.21%,-0.64%,,,,,,84%,,61,3.92%,14,675,0.53%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,81.04 CHF,,,3/7/2016,,3/7/2016,,,,,83.91%,81.04 CHF,68.00,1.978,97,75.43,91.63,0%,2342%,3.44%,90.14%,3.95%,17.03%,376.11%,291,74.21%,-0.88%,,,,,,85%,,62,3.93%,16,691,0.60%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,81.48 CHF,,,3/14/2016,,3/14/2016,,,,,83.46%,81.48 CHF,68.00,1.978,97,75.43,91.63,0%,2329%,3.44%,90.14%,3.93%,16.40%,373.54%,291,74.21%,-0.34%,,,,,,86%,,63,3.94%,11,702,0.41%
,,,,,,,,,,,,,,,,,,2016,4/5/2016,82.12 CHF,,,3/21/2016,,3/21/2016,,,,,82.81%,82.12 CHF,68.00,1.978,97,75.43,91.63,0%,2310%,3.44%,90.14%,3.90%,15.49%,369.85%,291,74.21%,0.00%,,,,,,87%,,64,3.95%,15,717,0.57%
,,,,,,,,,,,,,,,,,,2016,4/6/2016,83.60 CHF,,,3/29/2016,,3/28/2016,,,,,81.34%,83.60 CHF,68.00,1.978,97,75.43,91.63,0%,2267%,3.44%,90.14%,3.83%,13.44%,361.53%,291,74.21%,0.00%,,,,,,88%,,65,3.96%,18,735,0.68%
,,,,,,,,,,,,,,,,,,2016,4/7/2016,83.56 CHF,,,4/4/2016,,4/4/2016,,,,,81.38%,83.56 CHF,68.00,1.978,97,75.43,91.63,0%,2268%,3.44%,90.14%,3.83%,13.50%,361.75%,291,74.21%,-0.05%,,,,,,89%,,66,3.97%,9,744,0.34%
,,,,,,,,,,,,,,,,,,2016,4/8/2016,84.40 CHF,,,4/11/2016,,4/11/2016,,,,,80.57%,84.40 CHF,68.00,1.978,97,75.43,91.63,0%,2245%,3.44%,90.14%,3.79%,12.37%,357.16%,291,74.21%,0.00%,,,,,,90%,,67,3.98%,11,755,0.41%
,,,,,,,,,,,,,,,,,,2016,4/11/2016,83.92 CHF,,,4/18/2016,,4/18/2016,,,,,81.03%,83.92 CHF,68.00,1.978,97,75.43,91.63,0%,2258%,3.44%,90.14%,3.81%,13.01%,359.77%,291,74.21%,-0.57%,,,,,,91%,,68,3.99%,6,761,0.23%
,,,,,,,,,,,,,,,,,,2016,4/12/2016,83.72 CHF,,,4/25/2016,,4/25/2016,,,,,81.22%,83.72 CHF,68.00,1.978,97,75.43,91.63,0%,2264%,3.44%,90.14%,3.82%,13.28%,360.87%,291,74.21%,-0.81%,,,,,,92%,,69,4.00%,6,767,0.23%
,,,,,,,,,,,,,,,,,,2016,4/13/2016,83.36 CHF,,,5/2/2016,,5/2/2016,,,,,81.57%,83.36 CHF,68.00,1.978,97,75.43,91.63,0%,2274%,3.44%,90.14%,3.84%,13.77%,362.86%,291,74.21%,-1.23%,,,,,,93%,,70,4.01%,3,770,0.11%
,,,,,,,,,,,,,,,,,,2016,4/14/2016,83.68 CHF,,,5/9/2016,,5/9/2016,,,,,81.26%,83.68 CHF,68.00,1.978,97,75.43,91.63,0%,2265%,3.44%,90.14%,3.82%,13.34%,361.09%,291,74.21%,-0.85%,,,,,,94%,,71,4.02%,5,775,0.19%
,,,,,,,,,,,,,,,,,,2016,4/15/2016,83.72 CHF,,,5/17/2016,,5/16/2016,,,,,81.22%,83.72 CHF,68.00,1.978,97,75.43,91.63,0%,2264%,3.44%,90.14%,3.82%,13.28%,360.87%,291,74.21%,-0.81%,,,,,,95%,,72,4.03%,1,776,0.04%
,,,,,,,,,,,,,,,,,,2016,4/18/2016,83.96 CHF,,,5/23/2016,,5/23/2016,,,,,80.99%,83.96 CHF,68.00,1.978,97,75.43,91.63,0%,2257%,3.44%,90.14%,3.81%,12.96%,359.55%,291,74.21%,-0.52%,,,,,,96%,,73,4.04%,0,776,0.00%
,,,,,,,,,,,,,,,,,,2016,4/19/2016,85.80 CHF,,,5/30/2016,,5/31/2016,,,,,79.25%,85.80 CHF,68.00,1.978,97,75.43,91.63,1%,2206%,3.44%,90.14%,3.73%,10.54%,349.70%,291,74.21%,0.00%,,,,,,97%,,74,4.05%,3,779,0.11%
