,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Bridgestone - Rating: 100% - Upside: 0%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,11/8/2016,$                                                          9.39,,,2/11/2019,,2/11/2019,,,,,1491.74%,$                9.39,140.00,4.631,95,8.26,3.585,78,0%,49255%,3.02%,1694.02%,3.65%,20.72%,6520.46%,610,3.90%,-2.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/9/2016,$                                                          8.96,,,2/19/2019,,2/19/2019,,,,,1562.06%,$                8.96,140.00,4.631,95,8.26,3.585,78,0%,51581%,3.02%,1694.02%,3.82%,26.42%,6832.55%,610,3.90%,-6.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/10/2016,$                                                          9.34,,,2/25/2019,,2/25/2019,,,,,1499.73%,$                9.34,140.00,4.631,95,8.26,3.585,78,0%,49519%,3.02%,1694.02%,3.67%,21.37%,6555.92%,610,3.90%,-2.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/11/2016,$                                                          9.36,,,3/4/2019,,3/4/2019,,,,,1496.53%,$                9.36,140.00,4.631,95,8.26,3.585,78,0%,49413%,3.02%,1694.02%,3.66%,21.11%,6541.69%,610,3.90%,-2.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/14/2016,$                                                          9.68,,,3/11/2019,,3/11/2019,,,,,1447.03%,$                9.68,140.00,4.631,95,8.26,3.585,78,0%,47775%,3.02%,1694.02%,3.54%,17.11%,6322.02%,610,3.90%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/15/2016,$                                                          9.63,,,3/18/2019,,3/18/2019,,,,,1453.79%,$                9.63,140.00,4.631,95,8.26,3.585,78,0%,47999%,3.02%,1694.02%,3.56%,17.65%,6352.02%,610,3.90%,-0.47%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/16/2016,$                                                          9.56,,,3/25/2019,,3/25/2019,,,,,1464.44%,$                9.56,140.00,4.631,95,8.26,3.585,78,0%,48351%,3.02%,1694.02%,3.58%,18.51%,6399.27%,610,3.90%,-1.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/17/2016,$                                                           9.61,,,4/1/2019,,4/1/2019,,,,,1457.57%,$                 9.61,140.00,4.631,95,8.26,3.585,78,0%,48124%,3.02%,1694.02%,3.57%,17.96%,6368.82%,610,3.90%,-0.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/18/2016,$                                                          9.54,,,4/8/2019,,4/8/2019,,,,,1468.27%,$                9.54,140.00,4.631,95,8.26,3.585,78,0%,48478%,3.02%,1694.02%,3.59%,18.83%,6416.31%,610,3.90%,-1.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/21/2016,$                                                          9.57,,,4/15/2019,,4/15/2019,,,,,1462.90%,$                9.57,140.00,4.631,95,8.26,3.585,78,0%,48301%,3.02%,1694.02%,3.58%,18.39%,6392.48%,610,3.90%,-1.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/22/2016,$                                                          9.59,,,4/22/2019,,4/22/2019,,,,,1459.85%,$                9.59,140.00,4.631,95,8.26,3.585,78,0%,48200%,3.02%,1694.02%,3.57%,18.14%,6378.94%,610,3.90%,-0.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/23/2016,$                                                          9.53,,,4/29/2019,,4/29/2019,,,,,1469.43%,$                9.53,140.00,4.631,95,8.26,3.585,78,0%,48517%,3.02%,1694.02%,3.60%,18.92%,6421.44%,610,3.90%,-1.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/25/2016,$                                                          9.57,,,5/6/2019,,5/6/2019,,,,,1463.67%,$                9.57,140.00,4.631,95,8.26,3.585,78,0%,48326%,3.02%,1694.02%,3.58%,18.45%,6395.87%,610,3.90%,-1.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/28/2016,$                                                           9.81,,,5/13/2019,,5/13/2019,,,,,1427.12%,$                 9.81,140.00,4.631,95,8.26,3.585,78,0%,47117%,3.02%,1694.02%,3.49%,15.49%,6233.64%,610,3.90%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/29/2016,$                                                          9.68,,,5/20/2019,,5/20/2019,,,,,1446.28%,$                9.68,140.00,4.631,95,8.26,3.585,78,0%,47751%,3.02%,1694.02%,3.54%,17.05%,6318.70%,610,3.90%,-1.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/30/2016,$                                                          9.58,,,5/28/2019,,5/28/2019,,,,,1462.14%,$                9.58,140.00,4.631,95,8.26,3.585,78,0%,48275%,3.02%,1694.02%,3.58%,18.33%,6389.09%,610,3.90%,-2.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/1/2016,$                                                          9.33,,,6/3/2019,,6/3/2019,,,,,1500.94%,$                9.33,140.00,4.631,95,8.26,3.585,78,0%,49559%,3.02%,1694.02%,3.67%,21.47%,6561.27%,610,3.90%,-4.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/2/2016,$                                                          9.24,,,6/10/2019,,6/10/2019,,,,,1515.15%,$                9.24,140.00,4.631,95,8.26,3.585,78,0%,50029%,3.02%,1694.02%,3.71%,22.62%,6624.35%,610,3.90%,-5.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/5/2016,$                                                           9.16,,,6/17/2019,,6/17/2019,,,,,1528.38%,$                 9.16,140.00,4.631,95,8.26,3.585,78,0%,50467%,3.02%,1694.02%,3.74%,23.69%,6683.08%,610,3.90%,-6.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/6/2016,$                                                           9.17,,,6/24/2019,,6/24/2019,,,,,1526.72%,$                 9.17,140.00,4.631,95,8.26,3.585,78,0%,50412%,3.02%,1694.02%,3.74%,23.56%,6675.68%,610,3.90%,-6.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/7/2016,$                                                           9.17,,,7/1/2019,,7/1/2019,,,,,1527.55%,$                 9.17,140.00,4.631,95,8.26,3.585,78,0%,50440%,3.02%,1694.02%,3.74%,23.62%,6679.38%,610,3.90%,-6.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/8/2016,$                                                          9.30,,,7/8/2019,,7/8/2019,,,,,1506.19%,$                9.30,140.00,4.631,95,8.26,3.585,78,0%,49733%,3.02%,1694.02%,3.69%,21.89%,6584.56%,610,3.90%,-5.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/9/2016,$                                                          9.30,,,7/15/2019,,7/15/2019,,,,,1506.19%,$                9.30,140.00,4.631,95,8.26,3.585,78,0%,49733%,3.02%,1694.02%,3.69%,21.89%,6584.56%,610,3.90%,-5.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/12/2016,$                                                          9.25,,,7/22/2019,,7/22/2019,,,,,1513.10%,$                9.25,140.00,4.631,95,8.26,3.585,78,0%,49962%,3.02%,1694.02%,3.70%,22.45%,6615.27%,610,3.90%,-5.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/13/2016,$                                                          9.35,,,7/29/2019,,7/29/2019,,,,,1498.13%,$                9.35,140.00,4.631,95,8.26,3.585,78,0%,49466%,3.02%,1694.02%,3.67%,21.24%,6548.80%,610,3.90%,-4.74%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/14/2016,$                                                          9.44,,,8/5/2019,,8/5/2019,,,,,1483.05%,$                9.44,140.00,4.631,95,8.26,3.585,78,0%,48967%,3.02%,1694.02%,3.63%,20.02%,6481.89%,610,3.90%,-3.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/15/2016,$                                                          9.40,,,8/12/2019,,8/12/2019,,,,,1490.15%,$                9.40,140.00,4.631,95,8.26,3.585,78,0%,49202%,3.02%,1694.02%,3.65%,20.60%,6513.41%,610,3.90%,-4.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/16/2016,$                                                          9.32,,,8/19/2019,,8/19/2019,,,,,1502.15%,$                9.32,140.00,4.631,95,8.26,3.585,78,0%,49599%,3.02%,1694.02%,3.68%,21.57%,6566.63%,610,3.90%,-4.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/19/2016,$                                                          9.36,,,8/26/2019,,8/26/2019,,,,,1495.73%,$                9.36,140.00,4.631,95,8.26,3.585,78,0%,49387%,3.02%,1694.02%,3.66%,21.05%,6538.14%,610,3.90%,-4.59%,,,,,,,,,,,,
