,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Occidental Petroleum - Rating: 9% - Upside: 780%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        64.13,,,4/20/2015,,4/20/2015,,,,,4.71%,$              64.13,3.02,2.027,10,43.19,174.57,1%,3061%,0.15%,6.99%,1.12%,-14.35%,4.86%,12.32,1.73%,-6.38%,,2013,2.56,18.52%,1/1/1983,1983,,16,2.52%,2,1427,0.08%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       65.84,,,4/27/2015,,4/27/2015,,,,,4.59%,$             65.84,3.02,2.027,10,43.19,174.57,1%,2979%,0.15%,6.99%,1.09%,-16.57%,2.14%,12.32,1.73%,-3.88%,,2014,2.88,12.50%,1/1/1984,1984,,17,2.67%,0,1427,0.00%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       68.80,,,5/4/2015,,5/4/2015,,,,,4.39%,$             68.80,3.02,2.027,10,43.19,174.57,1%,2846%,0.15%,6.99%,1.05%,-20.16%,-2.25%,12.32,1.73%,0.00%,,2015,2.97,3.13%,1/1/1985,1985,,18,2.82%,0,1427,0.00%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       66.53,,,5/11/2015,,5/11/2015,,,,,4.54%,$             66.53,3.02,2.027,10,43.19,174.57,1%,2947%,0.15%,6.99%,1.08%,-17.44%,1.08%,12.32,1.73%,-3.30%,,2016,3.02,1.68%,1/1/1986,1986,,19,2.97%,1,1428,0.04%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       65.45,,,5/18/2015,,5/18/2015,,,,,4.61%,$             65.45,3.02,2.027,10,43.19,174.57,1%,2997%,0.15%,6.99%,1.10%,-16.08%,2.75%,12.32,1.73%,-4.87%,,2017,3.06,1.32%,1/1/1987,1987,,20,3.12%,0,1428,0.00%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                        68.10,,,5/26/2015,,5/26/2015,,,,,4.43%,$              68.10,3.02,2.027,10,43.19,174.57,1%,2877%,0.15%,6.99%,1.06%,-19.34%,-1.25%,12.32,1.73%,-1.02%,,2018,3.10,1.31%,1/1/1988,1988,,21,3.27%,1,1429,0.04%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       66.95,,,6/1/2015,,6/1/2015,,,,,4.51%,$             66.95,3.02,2.027,10,43.19,174.57,1%,2928%,0.15%,6.99%,1.08%,-17.96%,0.45%,12.32,1.73%,-2.69%,,2019,3.14,1.29%,1/1/1989,1989,,22,3.42%,1,1430,0.04%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       65.44,,,6/8/2015,,6/8/2015,,,,,4.61%,$             65.44,3.02,2.027,10,43.19,174.57,1%,2998%,0.15%,6.99%,1.10%,-16.06%,2.76%,12.32,1.73%,-4.88%,,2020,0.82,-73.89%,1/1/1990,1990,,23,3.57%,40,1470,1.51%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        66.16,,,6/15/2015,,6/15/2015,,,,,4.56%,$              66.16,3.02,2.027,10,43.19,174.57,1%,2964%,0.15%,6.99%,1.09%,-16.98%,1.65%,12.32,1.73%,-3.84%,,2021,0.04,-95.12%,1/1/1991,1991,,24,3.72%,42,1512,1.58%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        65.19,,,6/22/2015,,6/22/2015,,,,,4.63%,$              65.19,3.02,2.027,10,43.19,174.57,1%,3009%,0.15%,6.99%,1.10%,-15.74%,3.16%,12.32,1.73%,-5.24%,,2022,0.52,1200.00%,1/1/1992,1992,,25,3.87%,107,1619,4.03%
