,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BNZL LN,Bunzl PLC,,,,,,,,,,27%,47%,$2.758,00,$  2.278,88,$  3.449,84,$       3.714,00,$   4.063,17,4.04%,1.82%,2.27%,4.98%,115.97%,115.97%,130%,,,,,,,NO,,,3.62%,1.64%,1.98%,0.03%,66
,,,,,,,,,,,,,,,,,,2017,7/10/2017,2.244,00,,,5/2/2022,,5/2/2022,,,,,1.92%,2.244,00,43.00,2.357,84,1.322,42,2.001,93,89%,5%,1.82%,3.25%,2.83%,22.91%,29.18%,140.7,2.15%,-8.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/11/2017,2.224,00,,,5/9/2022,,5/9/2022,,,,,1.93%,2.224,00,43.00,2.357,84,1.322,42,2.001,93,87%,6%,1.82%,3.25%,2.86%,24.01%,30.34%,140.7,2.15%,-9.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/12/2017,2.250,00,,,5/16/2022,,5/16/2022,,,,,1.91%,2.250,00,43.00,2.357,84,1.322,42,2.001,93,90%,5%,1.82%,3.25%,2.83%,22.58%,28.83%,140.7,2.15%,-8.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/13/2017,2.268,00,,,5/23/2022,,5/23/2022,,,,,1.90%,2.268,00,43.00,2.357,84,1.322,42,2.001,93,91%,4%,1.82%,3.25%,2.80%,21.60%,27.81%,140.7,2.15%,-7.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/14/2017,2.262,00,,,5/30/2022,,5/31/2022,,,,,1.90%,2.262,00,43.00,2.357,84,1.322,42,2.001,93,91%,4%,1.82%,3.25%,2.81%,21.93%,28.15%,140.7,2.15%,-8.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/17/2017,2.265,00,,,6/6/2022,,6/6/2022,,,,,1.90%,2.265,00,43.00,2.357,84,1.322,42,2.001,93,91%,4%,1.82%,3.25%,2.81%,21.77%,27.98%,140.7,2.15%,-8.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/18/2017,2.248,00,,,6/13/2022,,6/13/2022,,,,,1.91%,2.248,00,43.00,2.357,84,1.322,42,2.001,93,89%,5%,1.82%,3.25%,2.83%,22.69%,28.95%,140.7,2.15%,-8.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/19/2017,2.261,00,,,6/20/2022,,6/21/2022,,,,,1.90%,2.261,00,43.00,2.357,84,1.322,42,2.001,93,91%,4%,1.82%,3.25%,2.81%,21.98%,28.20%,140.7,2.15%,-8.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/20/2017,2.272,00,,,6/27/2022,,6/27/2022,,,,,1.89%,2.272,00,43.00,2.357,84,1.322,42,2.001,93,92%,4%,1.82%,3.25%,2.80%,21.39%,27.58%,140.7,2.15%,-7.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/21/2017,2.278,00,,,7/4/2022,,7/5/2022,,,,,1.89%,2.278,00,43.00,2.357,84,1.322,42,2.001,93,92%,4%,1.82%,3.25%,2.79%,21.07%,27.25%,140.7,2.15%,-7.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/24/2017,2.247,00,,,7/11/2022,,7/11/2022,,,,,1.91%,2.247,00,43.00,2.357,84,1.322,42,2.001,93,89%,5%,1.82%,3.25%,2.83%,22.74%,29.00%,140.7,2.15%,-8.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/25/2017,2.264,00,,,7/18/2022,,7/18/2022,,,,,1.90%,2.264,00,43.00,2.357,84,1.322,42,2.001,93,91%,4%,1.82%,3.25%,2.81%,21.82%,28.03%,140.7,2.15%,-8.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/26/2017,2.280,00,,,7/25/2022,,7/25/2022,,,,,1.89%,2.280,00,43.00,2.357,84,1.322,42,2.001,93,92%,3%,1.82%,3.25%,2.79%,20.96%,27.14%,140.7,2.15%,-7.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/27/2017,2.297,00,,,8/1/2022,,8/1/2022,,,,,1.87%,2.297,00,43.00,2.357,84,1.322,42,2.001,93,94%,3%,1.82%,3.25%,2.77%,20.07%,26.20%,140.7,2.15%,-6.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/28/2017,2.272,00,,,8/8/2022,,8/8/2022,,,,,1.89%,2.272,00,43.00,2.357,84,1.322,42,2.001,93,92%,4%,1.82%,3.25%,2.80%,21.39%,27.58%,140.7,2.15%,-7.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/31/2017,2.288,00,,,8/15/2022,,8/15/2022,,,,,1.88%,2.288,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.54%,26.69%,140.7,2.15%,-7.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/1/2017,2.308,00,,,8/22/2022,,8/22/2022,,,,,1.86%,2.308,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.50%,25.59%,140.7,2.15%,-6.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/2/2017,2.284,00,,,8/29/2022,,8/29/2022,,,,,1.88%,2.284,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.75%,26.91%,140.7,2.15%,-7.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/3/2017,2.290,00,,,9/5/2022,,9/6/2022,,,,,1.88%,2.290,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.44%,26.58%,140.7,2.15%,-7.10%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/4/2017,2.305,00,,,9/12/2022,,9/12/2022,,,,,1.87%,2.305,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.65%,25.76%,140.7,2.15%,-6.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/7/2017,2.299,00,,,9/19/2022,,9/19/2022,,,,,1.87%,2.299,00,43.00,2.357,84,1.322,42,2.001,93,94%,3%,1.82%,3.25%,2.77%,19.97%,26.09%,140.7,2.15%,-6.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/8/2017,2.284,00,,,9/26/2022,,9/26/2022,,,,,1.88%,2.284,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.75%,26.91%,140.7,2.15%,-7.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/9/2017,2.292,00,,,10/3/2022,,10/3/2022,,,,,1.88%,2.292,00,43.00,2.357,84,1.322,42,2.001,93,94%,3%,1.82%,3.25%,2.77%,20.33%,26.47%,140.7,2.15%,-7.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/10/2017,2.285,00,,,10/10/2022,,10/10/2022,,,,,1.88%,2.285,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.70%,26.86%,140.7,2.15%,-7.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/11/2017,2.279,00,,,10/17/2022,,10/17/2022,,,,,1.89%,2.279,00,43.00,2.357,84,1.322,42,2.001,93,92%,3%,1.82%,3.25%,2.79%,21.02%,27.19%,140.7,2.15%,-7.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/14/2017,2.291,00,,,10/24/2022,,10/24/2022,,,,,1.88%,2.291,00,43.00,2.357,84,1.322,42,2.001,93,94%,3%,1.82%,3.25%,2.78%,20.38%,26.53%,140.7,2.15%,-7.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/15/2017,2.304,00,,,10/31/2022,,10/31/2022,,,,,1.87%,2.304,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.70%,25.81%,140.7,2.15%,-6.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/16/2017,2.328,00,,,11/7/2022,,11/7/2022,,,,,1.85%,2.328,00,43.00,2.357,84,1.322,42,2.001,93,97%,1%,1.82%,3.25%,2.73%,18.47%,24.51%,140.7,2.15%,-5.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/17/2017,2.332,00,,,11/14/2022,,11/14/2022,,,,,1.84%,2.332,00,43.00,2.357,84,1.322,42,2.001,93,98%,1%,1.82%,3.25%,2.73%,18.27%,24.30%,140.7,2.15%,-5.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/18/2017,2.306,00,,,11/21/2022,,11/21/2022,,,,,1.86%,2.306,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.60%,25.70%,140.7,2.15%,-6.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/21/2017,2.312,00,,,11/28/2022,,11/28/2022,,,,,1.86%,2.312,00,43.00,2.357,84,1.322,42,2.001,93,96%,2%,1.82%,3.25%,2.75%,19.29%,25.38%,140.7,2.15%,-6.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/22/2017,2.341,00,,,12/5/2022,,12/5/2022,,,,,1.84%,2.341,00,43.00,2.357,84,1.322,42,2.001,93,98%,1%,1.82%,3.25%,2.72%,17.81%,23.82%,140.7,2.15%,-5.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/23/2017,2.329,00,,,12/12/2022,,12/12/2022,,,,,1.85%,2.329,00,43.00,2.357,84,1.322,42,2.001,93,97%,1%,1.82%,3.25%,2.73%,18.42%,24.46%,140.7,2.15%,-5.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/24/2017,2.332,00,,,12/19/2022,,12/19/2022,,,,,1.84%,2.332,00,43.00,2.357,84,1.322,42,2.001,93,98%,1%,1.82%,3.25%,2.73%,18.27%,24.30%,140.7,2.15%,-5.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/25/2017,2.332,00,,,12/27/2022,,12/27/2022,,,,,1.84%,2.332,00,43.00,2.357,84,1.322,42,2.001,93,98%,1%,1.82%,3.25%,2.73%,18.27%,24.30%,140.7,2.15%,-5.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/29/2017,2.283,00,,,1/2/2023,,1/3/2023,,,,,1.88%,2.283,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.79%,20.81%,26.97%,140.7,2.15%,-7.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/30/2017,2.291,00,,,1/9/2023,,1/9/2023,,,,,1.88%,2.291,00,43.00,2.357,84,1.322,42,2.001,93,94%,3%,1.82%,3.25%,2.78%,20.38%,26.53%,140.7,2.15%,-7.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/31/2017,2.310,00,,,1/16/2023,,1/17/2023,,,,,1.86%,2.310,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.75%,19.39%,25.48%,140.7,2.15%,-6.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/1/2017,2.305,00,,,1/23/2023,,1/23/2023,,,,,1.87%,2.305,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.65%,25.76%,140.7,2.15%,-6.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/4/2017,2.288,00,,,1/30/2023,,1/30/2023,,,,,1.88%,2.288,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.54%,26.69%,140.7,2.15%,-7.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/5/2017,2.283,00,,,2/6/2023,,2/6/2023,,,,,1.88%,2.283,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.79%,20.81%,26.97%,140.7,2.15%,-7.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/6/2017,2.260,00,,,2/13/2023,,2/13/2023,,,,,1.90%,2.260,00,43.00,2.357,84,1.322,42,2.001,93,91%,4%,1.82%,3.25%,2.81%,22.04%,28.26%,140.7,2.15%,-8.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/7/2017,2.257,00,,,2/20/2023,,2/21/2023,,,,,1.91%,2.257,00,43.00,2.357,84,1.322,42,2.001,93,90%,4%,1.82%,3.25%,2.82%,22.20%,28.43%,140.7,2.15%,-8.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/8/2017,2.279,00,,,2/27/2023,,2/27/2023,,,,,1.89%,2.279,00,43.00,2.357,84,1.322,42,2.001,93,92%,3%,1.82%,3.25%,2.79%,21.02%,27.19%,140.7,2.15%,-7.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/11/2017,2.279,00,,,3/6/2023,,3/6/2023,,,,,1.89%,2.279,00,43.00,2.357,84,1.322,42,2.001,93,92%,3%,1.82%,3.25%,2.79%,21.02%,27.19%,140.7,2.15%,-7.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/12/2017,2.286,00,,,3/13/2023,,3/13/2023,,,,,1.88%,2.286,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.65%,26.80%,140.7,2.15%,-7.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/13/2017,2.271,00,,,3/20/2023,,3/20/2023,,,,,1.89%,2.271,00,43.00,2.357,84,1.322,42,2.001,93,92%,4%,1.82%,3.25%,2.80%,21.44%,27.64%,140.7,2.15%,-7.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/14/2017,2.254,00,,,3/27/2023,,3/27/2023,,,,,1.91%,2.254,00,43.00,2.357,84,1.322,42,2.001,93,90%,5%,1.82%,3.25%,2.82%,22.36%,28.60%,140.7,2.15%,-8.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/15/2017,2.235,00,,,4/3/2023,,4/3/2023,,,,,1.92%,2.235,00,43.00,2.357,84,1.322,42,2.001,93,88%,5%,1.82%,3.25%,2.85%,23.40%,29.70%,140.7,2.15%,-9.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/18/2017,2.232,00,,,4/11/2023,,4/10/2023,,,,,1.93%,2.232,00,43.00,2.357,84,1.322,42,2.001,93,88%,6%,1.82%,3.25%,2.85%,23.57%,29.87%,140.7,2.15%,-9.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/19/2017,2.233,00,,,4/17/2023,,4/17/2023,,,,,1.93%,2.233,00,43.00,2.357,84,1.322,42,2.001,93,88%,6%,1.82%,3.25%,2.85%,23.51%,29.81%,140.7,2.15%,-9.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/20/2017,2.232,00,,,4/24/2023,,4/24/2023,,,,,1.93%,2.232,00,43.00,2.357,84,1.322,42,2.001,93,88%,6%,1.82%,3.25%,2.85%,23.57%,29.87%,140.7,2.15%,-9.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/21/2017,2.200,00,,,5/2/2023,,5/1/2023,,,,,1.95%,2.200,00,43.00,2.357,84,1.322,42,2.001,93,85%,7%,1.82%,3.25%,2.89%,25.36%,31.76%,140.7,2.15%,-10.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/22/2017,2.208,00,,,5/8/2023,,5/8/2023,,,,,1.95%,2.208,00,43.00,2.357,84,1.322,42,2.001,93,86%,7%,1.82%,3.25%,2.88%,24.91%,31.28%,140.7,2.15%,-10.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/25/2017,2.230,00,,,5/15/2023,,5/15/2023,,,,,1.93%,2.230,00,43.00,2.357,84,1.322,42,2.001,93,88%,6%,1.82%,3.25%,2.85%,23.68%,29.99%,140.7,2.15%,-9.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/26/2017,2.220,00,,,5/22/2023,,5/22/2023,,,,,1.94%,2.220,00,43.00,2.357,84,1.322,42,2.001,93,87%,6%,1.82%,3.25%,2.86%,24.23%,30.57%,140.7,2.15%,-9.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/27/2017,2.220,00,,,5/29/2023,,5/30/2023,,,,,1.94%,2.220,00,43.00,2.357,84,1.322,42,2.001,93,87%,6%,1.82%,3.25%,2.86%,24.23%,30.57%,140.7,2.15%,-9.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/28/2017,2.253,00,,,6/5/2023,,6/5/2023,,,,,1.91%,2.253,00,43.00,2.357,84,1.322,42,2.001,93,90%,5%,1.82%,3.25%,2.82%,22.41%,28.66%,140.7,2.15%,-8.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/29/2017,2.267,00,,,6/12/2023,,6/12/2023,,,,,1.90%,2.267,00,43.00,2.357,84,1.322,42,2.001,93,91%,4%,1.82%,3.25%,2.81%,21.66%,27.87%,140.7,2.15%,-8.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/2/2017,2.272,00,,,6/19/2023,,6/20/2023,,,,,1.89%,2.272,00,43.00,2.357,84,1.322,42,2.001,93,92%,4%,1.82%,3.25%,2.80%,21.39%,27.58%,140.7,2.15%,-7.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/3/2017,2.281,00,,,6/26/2023,,6/26/2023,,,,,1.89%,2.281,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.79%,20.91%,27.08%,140.7,2.15%,-7.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/4/2017,2.300,00,,,7/3/2023,,7/3/2023,,,,,1.87%,2.300,00,43.00,2.357,84,1.322,42,2.001,93,94%,3%,1.82%,3.25%,2.77%,19.91%,26.03%,140.7,2.15%,-6.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/5/2017,2.301,00,,,7/10/2023,,7/10/2023,,,,,1.87%,2.301,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.86%,25.98%,140.7,2.15%,-6.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/6/2017,2.308,00,,,7/17/2023,,7/17/2023,,,,,1.86%,2.308,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.50%,25.59%,140.7,2.15%,-6.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/9/2017,2.303,00,,,7/24/2023,,7/24/2023,,,,,1.87%,2.303,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.76%,25.87%,140.7,2.15%,-6.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/10/2017,2.305,00,,,7/31/2023,,7/31/2023,,,,,1.87%,2.305,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.65%,25.76%,140.7,2.15%,-6.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/11/2017,2.309,00,,,8/7/2023,,8/7/2023,,,,,1.86%,2.309,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.75%,19.45%,25.54%,140.7,2.15%,-6.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/12/2017,2.317,00,,,8/14/2023,,8/14/2023,,,,,1.86%,2.317,00,43.00,2.357,84,1.322,42,2.001,93,96%,2%,1.82%,3.25%,2.74%,19.03%,25.11%,140.7,2.15%,-6.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/13/2017,2.284,00,,,8/21/2023,,8/21/2023,,,,,1.88%,2.284,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.75%,26.91%,140.7,2.15%,-7.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/16/2017,2.218,00,,,8/28/2023,,8/28/2023,,,,,1.94%,2.218,00,43.00,2.357,84,1.322,42,2.001,93,86%,6%,1.82%,3.25%,2.87%,24.35%,30.69%,140.7,2.15%,-10.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/17/2017,2.226,00,,,9/4/2023,,9/5/2023,,,,,1.93%,2.226,00,43.00,2.357,84,1.322,42,2.001,93,87%,6%,1.82%,3.25%,2.86%,23.90%,30.22%,140.7,2.15%,-9.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/18/2017,2.245,00,,,9/11/2023,,9/11/2023,,,,,1.92%,2.245,00,43.00,2.357,84,1.322,42,2.001,93,89%,5%,1.82%,3.25%,2.83%,22.85%,29.12%,140.7,2.15%,-8.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/19/2017,2.255,00,,,9/18/2023,,9/18/2023,,,,,1.91%,2.255,00,43.00,2.357,84,1.322,42,2.001,93,90%,5%,1.82%,3.25%,2.82%,22.31%,28.55%,140.7,2.15%,-8.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/20/2017,2.249,00,,,9/25/2023,,9/25/2023,,,,,1.91%,2.249,00,43.00,2.357,84,1.322,42,2.001,93,89%,5%,1.82%,3.25%,2.83%,22.63%,28.89%,140.7,2.15%,-8.76%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/23/2017,2.256,00,,,10/2/2023,,10/2/2023,,,,,1.91%,2.256,00,43.00,2.357,84,1.322,42,2.001,93,90%,5%,1.82%,3.25%,2.82%,22.25%,28.49%,140.7,2.15%,-8.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/24/2017,2.252,00,,,10/9/2023,,10/9/2023,,,,,1.91%,2.252,00,43.00,2.357,84,1.322,42,2.001,93,90%,5%,1.82%,3.25%,2.82%,22.47%,28.72%,140.7,2.15%,-8.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/25/2017,2.241,00,,,10/16/2023,,10/16/2023,,,,,1.92%,2.241,00,43.00,2.357,84,1.322,42,2.001,93,89%,5%,1.82%,3.25%,2.84%,23.07%,29.35%,140.7,2.15%,-9.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/26/2017,2.288,00,,,10/23/2023,,10/23/2023,,,,,1.88%,2.288,00,43.00,2.357,84,1.322,42,2.001,93,93%,3%,1.82%,3.25%,2.78%,20.54%,26.69%,140.7,2.15%,-7.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/27/2017,2.319,00,,,10/30/2023,,10/30/2023,,,,,1.85%,2.319,00,43.00,2.357,84,1.322,42,2.001,93,96%,2%,1.82%,3.25%,2.74%,18.93%,25.00%,140.7,2.15%,-5.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/30/2017,2.325,00,,,11/6/2023,,11/6/2023,,,,,1.85%,2.325,00,43.00,2.357,84,1.322,42,2.001,93,97%,1%,1.82%,3.25%,2.74%,18.62%,24.68%,140.7,2.15%,-5.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/31/2017,2.345,00,,,11/13/2023,,11/13/2023,,,,,1.83%,2.345,00,43.00,2.357,84,1.322,42,2.001,93,99%,1%,1.82%,3.25%,2.71%,17.61%,23.61%,140.7,2.15%,-4.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/1/2017,2.301,00,,,11/20/2023,,11/20/2023,,,,,1.87%,2.301,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.86%,25.98%,140.7,2.15%,-6.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/2/2017,2.311,00,,,11/27/2023,,11/27/2023,,,,,1.86%,2.311,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.75%,19.34%,25.43%,140.7,2.15%,-6.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/3/2017,2.320,00,,,12/4/2023,,12/4/2023,,,,,1.85%,2.320,00,43.00,2.357,84,1.322,42,2.001,93,96%,2%,1.82%,3.25%,2.74%,18.88%,24.94%,140.7,2.15%,-5.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/6/2017,2.324,00,,,12/11/2023,,12/11/2023,,,,,1.85%,2.324,00,43.00,2.357,84,1.322,42,2.001,93,97%,1%,1.82%,3.25%,2.74%,18.67%,24.73%,140.7,2.15%,-5.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/7/2017,2.304,00,,,12/18/2023,,12/18/2023,,,,,1.87%,2.304,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.70%,25.81%,140.7,2.15%,-6.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/8/2017,2.316,00,,,12/26/2023,,12/26/2023,,,,,1.86%,2.316,00,43.00,2.357,84,1.322,42,2.001,93,96%,2%,1.82%,3.25%,2.75%,19.08%,25.16%,140.7,2.15%,-6.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/9/2017,2.308,00,,,1/2/2024,,1/2/2024,,,,,1.86%,2.308,00,43.00,2.357,84,1.322,42,2.001,93,95%,2%,1.82%,3.25%,2.76%,19.50%,25.59%,140.7,2.15%,-6.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/10/2017,2.157,00,,,1/8/2024,,1/8/2024,,,,,1.99%,2.157,00,43.00,2.357,84,1.322,42,2.001,93,81%,9%,1.82%,3.25%,2.95%,27.86%,34.39%,140.7,2.15%,-12.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/13/2017,2.101,00,,,1/15/2024,,1/16/2024,,,,,2.05%,2.101,00,43.00,2.357,84,1.322,42,2.001,93,75%,12%,1.82%,3.25%,3.03%,31.27%,37.97%,140.7,2.15%,-14.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/14/2017,2.115,00,,,1/22/2024,,1/22/2024,,,,,2.03%,2.115,00,43.00,2.357,84,1.322,42,2.001,93,77%,11%,1.82%,3.25%,3.01%,30.40%,37.05%,140.7,2.15%,-14.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/15/2017,2.146,00,,,1/29/2024,,1/29/2024,,,,,2.00%,2.146,00,43.00,2.357,84,1.322,42,2.001,93,80%,10%,1.82%,3.25%,2.96%,28.52%,35.07%,140.7,2.15%,-12.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/16/2017,2.155,00,,,2/5/2024,,2/5/2024,,,,,2.00%,2.155,00,43.00,2.357,84,1.322,42,2.001,93,80%,9%,1.82%,3.25%,2.95%,27.98%,34.51%,140.7,2.15%,-12.58%,,,,,,,,,,,,
