,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SXS LN,Spectris PLC,,,,,,,,,,103%,-1%,$ 4.142,00,$  2.527,70,$  3.275,57,$       4.166,00,$  4.088,30,4.01%,1.87%,2.39%,5.31%,187.24%,202.75%,126%,,,,,,,NO,,,3.83%,1.74%,2.08%,0.03%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Spectris PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.03%,11/10/2017,,,,,,,,,,$  3.275,57,-21%,1.85%,$  4.088,30,$   2.146,65,$       1.442,00,$   1.656,53,1.70%,3.03%,2.34%,1.84%,-0.58%,-0.58%,-40%,,,,5Y CAGR,1.96%,,Spectris PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.32%,,Spectris PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Spectris PLC - Rating: 103% - Upside: -1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,4/11/2017,2.586,00,,,3/8/2021,,3/8/2021,,,,,2.05%,2.586,00,53.00,2.828,72,1.748,93,2.266,39,78%,9%,1.87%,3.03%,2.96%,60.17%,66.88%,173.4,2.34%,-0.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/12/2017,2.651,00,,,3/15/2021,,3/15/2021,,,,,2.00%,2.651,00,53.00,2.828,72,1.748,93,2.266,39,84%,7%,1.87%,3.03%,2.89%,56.24%,62.78%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/13/2017,2.619,00,,,3/22/2021,,3/22/2021,,,,,2.02%,2.619,00,53.00,2.828,72,1.748,93,2.266,39,81%,8%,1.87%,3.03%,2.92%,58.15%,64.77%,173.4,2.34%,-1.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/18/2017,2.571,00,,,3/29/2021,,3/29/2021,,,,,2.06%,2.571,00,53.00,2.828,72,1.748,93,2.266,39,76%,10%,1.87%,3.03%,2.98%,61.10%,67.85%,173.4,2.34%,-3.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/19/2017,2.595,00,,,4/6/2021,,4/5/2021,,,,,2.04%,2.595,00,53.00,2.828,72,1.748,93,2.266,39,78%,9%,1.87%,3.03%,2.95%,59.61%,66.30%,173.4,2.34%,-2.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/20/2017,2.623,00,,,4/12/2021,,4/12/2021,,,,,2.02%,2.623,00,53.00,2.828,72,1.748,93,2.266,39,81%,8%,1.87%,3.03%,2.92%,57.91%,64.52%,173.4,2.34%,-1.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/21/2017,2.653,00,,,4/19/2021,,4/19/2021,,,,,2.00%,2.653,00,53.00,2.828,72,1.748,93,2.266,39,84%,7%,1.87%,3.03%,2.89%,56.13%,62.66%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/24/2017,2.710,00,,,4/26/2021,,4/26/2021,,,,,1.96%,2.710,00,53.00,2.828,72,1.748,93,2.266,39,89%,4%,1.87%,3.03%,2.83%,52.84%,59.24%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/25/2017,2.716,00,,,5/3/2021,,5/3/2021,,,,,1.95%,2.716,00,53.00,2.828,72,1.748,93,2.266,39,90%,4%,1.87%,3.03%,2.82%,52.50%,58.89%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/26/2017,2.720,00,,,5/10/2021,,5/10/2021,,,,,1.95%,2.720,00,53.00,2.828,72,1.748,93,2.266,39,90%,4%,1.87%,3.03%,2.82%,52.28%,58.65%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/27/2017,2.727,00,,,5/17/2021,,5/17/2021,,,,,1.94%,2.727,00,53.00,2.828,72,1.748,93,2.266,39,91%,4%,1.87%,3.03%,2.81%,51.89%,58.25%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/28/2017,2.760,00,,,5/24/2021,,5/24/2021,,,,,1.92%,2.760,00,53.00,2.828,72,1.748,93,2.266,39,94%,2%,1.87%,3.03%,2.78%,50.07%,56.36%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/2/2017,2.793,00,,,5/31/2021,,6/1/2021,,,,,1.90%,2.793,00,53.00,2.828,72,1.748,93,2.266,39,97%,1%,1.87%,3.03%,2.74%,48.30%,54.51%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/3/2017,2.767,00,,,6/7/2021,,6/7/2021,,,,,1.92%,2.767,00,53.00,2.828,72,1.748,93,2.266,39,94%,2%,1.87%,3.03%,2.77%,49.69%,55.96%,173.4,2.34%,-0.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/4/2017,2.796,00,,,6/14/2021,,6/14/2021,,,,,1.90%,2.796,00,53.00,2.828,72,1.748,93,2.266,39,97%,1%,1.87%,3.03%,2.74%,48.14%,54.34%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/5/2017,2.812,00,,,6/21/2021,,6/21/2021,,,,,1.88%,2.812,00,53.00,2.828,72,1.748,93,2.266,39,98%,1%,1.87%,3.03%,2.72%,47.30%,53.46%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/8/2017,2.819,00,,,6/28/2021,,6/28/2021,,,,,1.88%,2.819,00,53.00,2.828,72,1.748,93,2.266,39,99%,0%,1.87%,3.03%,2.72%,46.93%,53.08%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/9/2017,2.834,00,,,7/5/2021,,7/6/2021,,,,,1.87%,2.834,00,53.00,2.828,72,1.748,93,2.266,39,100%,0%,1.87%,3.03%,2.70%,46.15%,52.27%,173.4,2.34%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/10/2017,2.746,00,,,7/12/2021,,7/12/2021,,,,,1.93%,2.746,00,53.00,2.828,72,1.748,93,2.266,39,92%,3%,1.87%,3.03%,2.79%,50.84%,57.15%,173.4,2.34%,-3.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/11/2017,2.716,00,,,7/19/2021,,7/19/2021,,,,,1.95%,2.716,00,53.00,2.828,72,1.748,93,2.266,39,90%,4%,1.87%,3.03%,2.82%,52.50%,58.89%,173.4,2.34%,-4.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/12/2017,2.716,00,,,7/26/2021,,7/26/2021,,,,,1.95%,2.716,00,53.00,2.828,72,1.748,93,2.266,39,90%,4%,1.87%,3.03%,2.82%,52.50%,58.89%,173.4,2.34%,-4.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/15/2017,2.751,00,,,8/2/2021,,8/2/2021,,,,,1.93%,2.751,00,53.00,2.828,72,1.748,93,2.266,39,93%,3%,1.87%,3.03%,2.78%,50.56%,56.87%,173.4,2.34%,-2.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/16/2017,2.736,00,,,8/9/2021,,8/9/2021,,,,,1.94%,2.736,00,53.00,2.828,72,1.748,93,2.266,39,91%,3%,1.87%,3.03%,2.80%,51.39%,57.73%,173.4,2.34%,-3.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/17/2017,2.563,00,,,8/16/2021,,8/16/2021,,,,,2.07%,2.563,00,53.00,2.828,72,1.748,93,2.266,39,75%,10%,1.87%,3.03%,2.99%,61.61%,68.37%,173.4,2.34%,-9.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/18/2017,2.519,00,,,8/23/2021,,8/23/2021,,,,,2.10%,2.519,00,53.00,2.828,72,1.748,93,2.266,39,71%,12%,1.87%,3.03%,3.04%,64.43%,71.31%,173.4,2.34%,-11.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/19/2017,2.577,00,,,8/30/2021,,8/30/2021,,,,,2.06%,2.577,00,53.00,2.828,72,1.748,93,2.266,39,77%,10%,1.87%,3.03%,2.97%,60.73%,67.46%,173.4,2.34%,-9.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/22/2017,2.575,00,,,9/6/2021,,9/7/2021,,,,,2.06%,2.575,00,53.00,2.828,72,1.748,93,2.266,39,77%,10%,1.87%,3.03%,2.97%,60.85%,67.59%,173.4,2.34%,-9.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/23/2017,2.567,00,,,9/13/2021,,9/13/2021,,,,,2.06%,2.567,00,53.00,2.828,72,1.748,93,2.266,39,76%,10%,1.87%,3.03%,2.98%,61.36%,68.11%,173.4,2.34%,-9.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/24/2017,2.583,00,,,9/20/2021,,9/20/2021,,,,,2.05%,2.583,00,53.00,2.828,72,1.748,93,2.266,39,77%,10%,1.87%,3.03%,2.97%,60.36%,67.07%,173.4,2.34%,-8.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/25/2017,2.575,00,,,9/27/2021,,9/27/2021,,,,,2.06%,2.575,00,53.00,2.828,72,1.748,93,2.266,39,77%,10%,1.87%,3.03%,2.97%,60.85%,67.59%,173.4,2.34%,-9.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/26/2017,2.598,00,,,10/4/2021,,10/4/2021,,,,,2.04%,2.598,00,53.00,2.828,72,1.748,93,2.266,39,79%,9%,1.87%,3.03%,2.95%,59.43%,66.10%,173.4,2.34%,-8.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/30/2017,2.608,00,,,10/11/2021,,10/11/2021,,,,,2.03%,2.608,00,53.00,2.828,72,1.748,93,2.266,39,80%,8%,1.87%,3.03%,2.94%,58.82%,65.47%,173.4,2.34%,-7.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/31/2017,2.613,00,,,10/18/2021,,10/18/2021,,,,,2.03%,2.613,00,53.00,2.828,72,1.748,93,2.266,39,80%,8%,1.87%,3.03%,2.93%,58.52%,65.15%,173.4,2.34%,-7.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/1/2017,2.663,00,,,10/25/2021,,10/25/2021,,,,,1.99%,2.663,00,53.00,2.828,72,1.748,93,2.266,39,85%,6%,1.87%,3.03%,2.88%,55.54%,62.05%,173.4,2.34%,-6.03%,,,,,,,,,,,,
