,,,,,,,,,,,,,,,,,90%,NO,4.49%,11/10/2017,,,,,,,,,,$  3.360,05,65%,3.88%,$  4.703,58,$   1.899,49,$       1.509,00,$       993.77,1.26%,4.49%,2.35%,1.84%,-52.41%,-52.41%,-8%,,,,5Y CAGR,0.92%,,Derwent London PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.87%,,Derwent London PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Derwent London PLC - Rating: 10% - Upside: 131%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2022,1/31/2022,3.405,00,,,,,,,,,,2.28%,3.405,00,77.50,4.614,27,1.724,52,3.296,26,58%,36%,1.68%,4.49%,2.32%,-40.15%,-40.15%,0,2.35%,-20.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/1/2022,3.362,00,,,,,,,,,,2.31%,3.362,00,77.50,4.614,27,1.724,52,3.296,26,57%,37%,1.68%,4.49%,2.35%,-39.38%,-39.38%,0,2.35%,-21.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/2/2022,3.384,00,,,,,,,,,,2.29%,3.384,00,77.50,4.614,27,1.724,52,3.296,26,57%,36%,1.68%,4.49%,2.33%,-39.78%,-39.78%,0,2.35%,-20.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/3/2022,3.353,00,,,,,,,,,,2.31%,3.353,00,77.50,4.614,27,1.724,52,3.296,26,56%,38%,1.68%,4.49%,2.36%,-39.22%,-39.22%,0,2.35%,-21.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/4/2022,3.281,00,,,,,,,,,,2.36%,3.281,00,77.50,4.614,27,1.724,52,3.296,26,54%,41%,1.68%,4.49%,2.41%,-37.88%,-37.88%,0,2.35%,-23.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/7/2022,3.268,00,,,,,,,,,,2.37%,3.268,00,77.50,4.614,27,1.724,52,3.296,26,53%,41%,1.68%,4.49%,2.42%,-37.64%,-37.64%,0,2.35%,-23.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/8/2022,3.219,00,,,,,,,,,,2.41%,3.219,00,77.50,4.614,27,1.724,52,3.296,26,52%,43%,1.68%,4.49%,2.45%,-36.69%,-36.69%,0,2.35%,-24.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/9/2022,3.253,00,,,,,,,,,,2.38%,3.253,00,77.50,4.614,27,1.724,52,3.296,26,53%,42%,1.68%,4.49%,2.43%,-37.35%,-37.35%,0,2.35%,-24.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/10/2022,3.292,00,,,,,,,,,,2.35%,3.292,00,77.50,4.614,27,1.724,52,3.296,26,54%,40%,1.68%,4.49%,2.40%,-38.09%,-38.09%,0,2.35%,-23.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/11/2022,3.233,00,,,,,,,,,,2.40%,3.233,00,77.50,4.614,27,1.724,52,3.296,26,52%,43%,1.68%,4.49%,2.44%,-36.96%,-36.96%,0,2.35%,-24.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/14/2022,3.199,00,,,,,,,,,,2.42%,3.199,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.47%,-36.29%,-36.29%,0,2.35%,-25.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/15/2022,3.202,00,,,,,,,,,,2.42%,3.202,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.47%,-36.35%,-36.35%,0,2.35%,-25.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/16/2022,3.249,00,,,,,,,,,,2.39%,3.249,00,77.50,4.614,27,1.724,52,3.296,26,53%,42%,1.68%,4.49%,2.43%,-37.27%,-37.27%,0,2.35%,-24.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/17/2022,3.244,00,,,,,,,,,,2.39%,3.244,00,77.50,4.614,27,1.724,52,3.296,26,53%,42%,1.68%,4.49%,2.44%,-37.18%,-37.18%,0,2.35%,-24.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/18/2022,3.194,00,,,,,,,,,,2.43%,3.194,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.47%,-36.19%,-36.19%,0,2.35%,-25.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/21/2022,3.150,00,,,,,,,,,,2.46%,3.150,00,77.50,4.614,27,1.724,52,3.296,26,49%,46%,1.68%,4.49%,2.51%,-35.30%,-35.30%,0,2.35%,-26.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/22/2022,3.147,00,,,,,,,,,,2.46%,3.147,00,77.50,4.614,27,1.724,52,3.296,26,49%,47%,1.68%,4.49%,2.51%,-35.24%,-35.24%,0,2.35%,-26.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/23/2022,3.125,00,,,,,,,,,,2.48%,3.125,00,77.50,4.614,27,1.724,52,3.296,26,48%,48%,1.68%,4.49%,2.53%,-34.78%,-34.78%,0,2.35%,-27.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/24/2022,3.060,00,,,,,,,,,,2.53%,3.060,00,77.50,4.614,27,1.724,52,3.296,26,46%,51%,1.68%,4.49%,2.58%,-33.40%,-33.40%,0,2.35%,-28.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/25/2022,3.138,00,,,,,,,,,,2.47%,3.138,00,77.50,4.614,27,1.724,52,3.296,26,49%,47%,1.68%,4.49%,2.52%,-35.05%,-35.05%,0,2.35%,-26.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/28/2022,3.044,00,,,,,,,,,,2.55%,3.044,00,77.50,4.614,27,1.724,52,3.296,26,46%,52%,1.68%,4.49%,2.60%,-33.05%,-33.05%,0,2.35%,-28.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/1/2022,3.000,00,,,,,,,,,,2.58%,3.000,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.63%,-32.07%,-32.07%,0,2.35%,-29.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/2/2022,3.010,00,,,,,,,,,,2.57%,3.010,00,77.50,4.614,27,1.724,52,3.296,26,44%,53%,1.68%,4.49%,2.62%,-32.29%,-32.29%,0,2.35%,-29.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/3/2022,2.918,00,,,,,,,,,,2.66%,2.918,00,77.50,4.614,27,1.724,52,3.296,26,41%,58%,1.68%,4.49%,2.71%,-30.16%,-30.16%,0,2.35%,-31.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/4/2022,2.883,00,,,,,,,,,,2.69%,2.883,00,77.50,4.614,27,1.724,52,3.296,26,40%,60%,1.68%,4.49%,2.74%,-29.31%,-29.31%,0,2.35%,-32.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/7/2022,2.907,00,,,,,,,,,,2.67%,2.907,00,77.50,4.614,27,1.724,52,3.296,26,41%,59%,1.68%,4.49%,2.72%,-29.89%,-29.89%,0,2.35%,-32.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/8/2022,2.936,00,,,,,,,,,,2.64%,2.936,00,77.50,4.614,27,1.724,52,3.296,26,42%,57%,1.68%,4.49%,2.69%,-30.59%,-30.59%,0,2.35%,-31.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/9/2022,3.002,00,,,,,,,,,,2.58%,3.002,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.63%,-32.11%,-32.11%,0,2.35%,-29.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/10/2022,3.029,00,,,,,,,,,,2.56%,3.029,00,77.50,4.614,27,1.724,52,3.296,26,45%,52%,1.68%,4.49%,2.61%,-32.72%,-32.72%,0,2.35%,-29.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/11/2022,3.080,00,,,,,,,,,,2.52%,3.080,00,77.50,4.614,27,1.724,52,3.296,26,47%,50%,1.68%,4.49%,2.56%,-33.83%,-33.83%,0,2.35%,-28.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/14/2022,3.093,00,,,,,,,,,,2.51%,3.093,00,77.50,4.614,27,1.724,52,3.296,26,47%,49%,1.68%,4.49%,2.55%,-34.11%,-34.11%,0,2.35%,-27.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/15/2022,3.056,00,,,,,,,,,,2.54%,3.056,00,77.50,4.614,27,1.724,52,3.296,26,46%,51%,1.68%,4.49%,2.59%,-33.31%,-33.31%,0,2.35%,-28.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/16/2022,3.140,00,,,,,,,,,,2.47%,3.140,00,77.50,4.614,27,1.724,52,3.296,26,49%,47%,1.68%,4.49%,2.52%,-35.10%,-35.10%,0,2.35%,-26.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/17/2022,3.157,00,,,,,,,,,,2.45%,3.157,00,77.50,4.614,27,1.724,52,3.296,26,50%,46%,1.68%,4.49%,2.50%,-35.45%,-35.45%,0,2.35%,-26.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/18/2022,3.185,00,,,,,,,,,,2.43%,3.185,00,77.50,4.614,27,1.724,52,3.296,26,51%,45%,1.68%,4.49%,2.48%,-36.01%,-36.01%,0,2.35%,-25.62%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/21/2022,3.110,00,,,,,,,,,,2.49%,3.110,00,77.50,4.614,27,1.724,52,3.296,26,48%,48%,1.68%,4.49%,2.54%,-34.47%,-34.47%,0,2.35%,-27.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/22/2022,3.147,00,,,,,,,,,,2.46%,3.147,00,77.50,4.614,27,1.724,52,3.296,26,49%,47%,1.68%,4.49%,2.51%,-35.24%,-35.24%,0,2.35%,-26.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/23/2022,3.085,00,,,,,,,,,,2.51%,3.085,00,77.50,4.614,27,1.724,52,3.296,26,47%,50%,1.68%,4.49%,2.56%,-33.94%,-33.94%,0,2.35%,-27.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/24/2022,3.106,00,,,,,,,,,,2.50%,3.106,00,77.50,4.614,27,1.724,52,3.296,26,48%,49%,1.68%,4.49%,2.54%,-34.39%,-34.39%,0,2.35%,-27.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/25/2022,3.203,00,,,,,,,,,,2.42%,3.203,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.47%,-36.37%,-36.37%,0,2.35%,-25.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/28/2022,3.231,00,,,,,,,,,,2.40%,3.231,00,77.50,4.614,27,1.724,52,3.296,26,52%,43%,1.68%,4.49%,2.45%,-36.92%,-36.92%,0,2.35%,-24.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/29/2022,3.300,00,,,,,,,,,,2.35%,3.300,00,77.50,4.614,27,1.724,52,3.296,26,55%,40%,1.68%,4.49%,2.39%,-38.24%,-38.24%,0,2.35%,-22.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/30/2022,3.308,00,,,,,,,,,,2.34%,3.308,00,77.50,4.614,27,1.724,52,3.296,26,55%,39%,1.68%,4.49%,2.39%,-38.39%,-38.39%,0,2.35%,-22.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/31/2022,3.209,00,,,,,,,,,,2.42%,3.209,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.46%,-36.49%,-36.49%,0,2.35%,-25.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/1/2022,3.200,00,,,,,,,,,,2.42%,3.200,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.47%,-36.31%,-36.31%,0,2.35%,-25.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/4/2022,3.170,00,,,,,,,,,,2.44%,3.170,00,77.50,4.614,27,1.724,52,3.296,26,50%,46%,1.68%,4.49%,2.49%,-35.71%,-35.71%,0,2.35%,-25.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/5/2022,3.222,00,,,,,,,,,,2.41%,3.222,00,77.50,4.614,27,1.724,52,3.296,26,52%,43%,1.68%,4.49%,2.45%,-36.75%,-36.75%,0,2.35%,-24.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/6/2022,3.182,00,,,,,,,,,,2.44%,3.182,00,77.50,4.614,27,1.724,52,3.296,26,50%,45%,1.68%,4.49%,2.48%,-35.95%,-35.95%,0,2.35%,-25.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/7/2022,3.190,00,,,,,,,,,,2.43%,3.190,00,77.50,4.614,27,1.724,52,3.296,26,51%,45%,1.68%,4.49%,2.48%,-36.11%,-36.11%,0,2.35%,-25.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/8/2022,3.192,00,,,,,,,,,,2.43%,3.192,00,77.50,4.614,27,1.724,52,3.296,26,51%,45%,1.68%,4.49%,2.47%,-36.15%,-36.15%,0,2.35%,-25.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/11/2022,3.202,00,,,,,,,,,,2.42%,3.202,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.47%,-36.35%,-36.35%,0,2.35%,-25.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/12/2022,3.120,00,,,,,,,,,,2.48%,3.120,00,77.50,4.614,27,1.724,52,3.296,26,48%,48%,1.68%,4.49%,2.53%,-34.68%,-34.68%,0,2.35%,-27.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/13/2022,3.204,00,,,,,,,,,,2.42%,3.204,00,77.50,4.614,27,1.724,52,3.296,26,51%,44%,1.68%,4.49%,2.47%,-36.39%,-36.39%,0,2.35%,-25.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/14/2022,3.254,00,,,,,,,,,,2.38%,3.254,00,77.50,4.614,27,1.724,52,3.296,26,53%,42%,1.68%,4.49%,2.43%,-37.37%,-37.37%,0,2.35%,-24.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/19/2022,3.160,00,,,,,,,,,,2.45%,3.160,00,77.50,4.614,27,1.724,52,3.296,26,50%,46%,1.68%,4.49%,2.50%,-35.51%,-35.51%,0,2.35%,-26.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/20/2022,3.192,00,,,,,,,,,,2.43%,3.192,00,77.50,4.614,27,1.724,52,3.296,26,51%,45%,1.68%,4.49%,2.47%,-36.15%,-36.15%,0,2.35%,-25.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/21/2022,3.228,00,,,,,,,,,,2.40%,3.228,00,77.50,4.614,27,1.724,52,3.296,26,52%,43%,1.68%,4.49%,2.45%,-36.86%,-36.86%,0,2.35%,-24.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/22/2022,3.148,00,,,,,,,,,,2.46%,3.148,00,77.50,4.614,27,1.724,52,3.296,26,49%,47%,1.68%,4.49%,2.51%,-35.26%,-35.26%,0,2.35%,-26.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/25/2022,3.110,00,,,,,,,,,,2.49%,3.110,00,77.50,4.614,27,1.724,52,3.296,26,48%,48%,1.68%,4.49%,2.54%,-34.47%,-34.47%,0,2.35%,-27.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/26/2022,3.130,00,,,,,,,,,,2.48%,3.130,00,77.50,4.614,27,1.724,52,3.296,26,49%,47%,1.68%,4.49%,2.52%,-34.89%,-34.89%,0,2.35%,-26.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/27/2022,3.070,00,,,,,,,,,,2.52%,3.070,00,77.50,4.614,27,1.724,52,3.296,26,47%,50%,1.68%,4.49%,2.57%,-33.62%,-33.62%,0,2.35%,-28.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/28/2022,3.044,00,,,,,,,,,,2.55%,3.044,00,77.50,4.614,27,1.724,52,3.296,26,46%,52%,1.68%,4.49%,2.60%,-33.05%,-33.05%,0,2.35%,-28.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/29/2022,3.016,00,,,,,,,,,,2.57%,3.016,00,77.50,4.614,27,1.724,52,3.296,26,45%,53%,1.68%,4.49%,2.62%,-32.43%,-32.43%,0,2.35%,-29.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/2/2022,,,,,,,,,,,2.57%,3.016,00,77.50,4.614,27,1.724,52,3.296,26,45%,53%,1.68%,4.49%,2.62%,-32.43%,-32.43%,0,2.35%,-29.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/3/2022,2.988,00,,,,,,,,,,2.59%,2.988,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.64%,-31.79%,-31.79%,0,2.35%,-30.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/4/2022,2.900,00,,,,,,,,,,2.67%,2.900,00,77.50,4.614,27,1.724,52,3.296,26,41%,59%,1.68%,4.49%,2.72%,-29.72%,-29.72%,0,2.35%,-32.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/5/2022,2.952,00,,,,,,,,,,2.63%,2.952,00,77.50,4.614,27,1.724,52,3.296,26,42%,56%,1.68%,4.49%,2.68%,-30.96%,-30.96%,0,2.35%,-31.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/6/2022,2.900,00,,,,,,,,,,2.67%,2.900,00,77.50,4.614,27,1.724,52,3.296,26,41%,59%,1.68%,4.49%,2.72%,-29.72%,-29.72%,0,2.35%,-32.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/9/2022,2.792,00,,,,,,,,,,2.78%,2.792,00,77.50,4.614,27,1.724,52,3.296,26,37%,65%,1.68%,4.49%,2.83%,-27.01%,-27.01%,0,2.35%,-34.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/10/2022,2.786,00,,,,,,,,,,2.78%,2.786,00,77.50,4.614,27,1.724,52,3.296,26,37%,66%,1.68%,4.49%,2.84%,-26.85%,-26.85%,0,2.35%,-34.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/11/2022,2.858,00,,,,,,,,,,2.71%,2.858,00,77.50,4.614,27,1.724,52,3.296,26,39%,61%,1.68%,4.49%,2.76%,-28.69%,-28.69%,0,2.35%,-33.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/12/2022,2.904,00,,,,,,,,,,2.67%,2.904,00,77.50,4.614,27,1.724,52,3.296,26,41%,59%,1.68%,4.49%,2.72%,-29.82%,-29.82%,0,2.35%,-32.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/13/2022,2.990,00,,,,,,,,,,2.59%,2.990,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.64%,-31.84%,-31.84%,0,2.35%,-30.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/16/2022,3.016,00,,,,,,,,,,2.57%,3.016,00,77.50,4.614,27,1.724,52,3.296,26,45%,53%,1.68%,4.49%,2.62%,-32.43%,-32.43%,0,2.35%,-29.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/17/2022,3.026,00,,,,,,,,,,2.56%,3.026,00,77.50,4.614,27,1.724,52,3.296,26,45%,52%,1.68%,4.49%,2.61%,-32.65%,-32.65%,0,2.35%,-29.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/18/2022,3.024,00,,,,,,,,,,2.56%,3.024,00,77.50,4.614,27,1.724,52,3.296,26,45%,53%,1.68%,4.49%,2.61%,-32.61%,-32.61%,0,2.35%,-29.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/19/2022,3.002,00,,,,,,,,,,2.58%,3.002,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.63%,-32.11%,-32.11%,0,2.35%,-29.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/20/2022,3.010,00,,,,,,,,,,2.57%,3.010,00,77.50,4.614,27,1.724,52,3.296,26,44%,53%,1.68%,4.49%,2.62%,-32.29%,-32.29%,0,2.35%,-29.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/23/2022,3.044,00,,,,,,,,,,2.55%,3.044,00,77.50,4.614,27,1.724,52,3.296,26,46%,52%,1.68%,4.49%,2.60%,-33.05%,-33.05%,0,2.35%,-28.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/24/2022,2.992,00,,,,,,,,,,2.59%,2.992,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.64%,-31.89%,-31.89%,0,2.35%,-30.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/25/2022,2.966,00,,,,,,,,,,2.61%,2.966,00,77.50,4.614,27,1.724,52,3.296,26,43%,56%,1.68%,4.49%,2.66%,-31.29%,-31.29%,0,2.35%,-30.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/26/2022,3.002,00,,,,,,,,,,2.58%,3.002,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.63%,-32.11%,-32.11%,0,2.35%,-29.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/27/2022,3.022,00,,,,,,,,,,2.56%,3.022,00,77.50,4.614,27,1.724,52,3.296,26,45%,53%,1.68%,4.49%,2.61%,-32.56%,-32.56%,0,2.35%,-29.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/30/2022,3.014,00,,,,,,,,,,2.57%,3.014,00,77.50,4.614,27,1.724,52,3.296,26,45%,53%,1.68%,4.49%,2.62%,-32.38%,-32.38%,0,2.35%,-29.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/31/2022,2.974,00,,,,,,,,,,2.61%,2.974,00,77.50,4.614,27,1.724,52,3.296,26,43%,55%,1.68%,4.49%,2.66%,-31.47%,-31.47%,0,2.35%,-30.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/1/2022,2.932,00,,,,,,,,,,2.64%,2.932,00,77.50,4.614,27,1.724,52,3.296,26,42%,57%,1.68%,4.49%,2.69%,-30.49%,-30.49%,0,2.35%,-31.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/2/2022,,,,,,,,,,,2.64%,2.932,00,77.50,4.614,27,1.724,52,3.296,26,42%,57%,1.68%,4.49%,2.69%,-30.49%,-30.49%,0,2.35%,-31.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/3/2022,,,,,,,,,,,2.64%,2.932,00,77.50,4.614,27,1.724,52,3.296,26,42%,57%,1.68%,4.49%,2.69%,-30.49%,-30.49%,0,2.35%,-31.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/6/2022,2.960,00,,,,,,,,,,2.62%,2.960,00,77.50,4.614,27,1.724,52,3.296,26,43%,56%,1.68%,4.49%,2.67%,-31.15%,-31.15%,0,2.35%,-30.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/7/2022,2.988,00,,,,,,,,,,2.59%,2.988,00,77.50,4.614,27,1.724,52,3.296,26,44%,54%,1.68%,4.49%,2.64%,-31.79%,-31.79%,0,2.35%,-30.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/8/2022,2.930,00,,,,,,,,,,2.65%,2.930,00,77.50,4.614,27,1.724,52,3.296,26,42%,57%,1.68%,4.49%,2.70%,-30.44%,-30.44%,0,2.35%,-31.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/9/2022,2.892,00,,,,,,,,,,2.68%,2.892,00,77.50,4.614,27,1.724,52,3.296,26,40%,60%,1.68%,4.49%,2.73%,-29.53%,-29.53%,0,2.35%,-32.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/10/2022,2.850,00,,,,,,,,,,2.72%,2.850,00,77.50,4.614,27,1.724,52,3.296,26,39%,62%,1.68%,4.49%,2.77%,-28.49%,-28.49%,0,2.35%,-33.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/13/2022,2.768,00,,,,,,,,,,2.80%,2.768,00,77.50,4.614,27,1.724,52,3.296,26,36%,67%,1.68%,4.49%,2.85%,-26.37%,-26.37%,0,2.35%,-35.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/14/2022,2.762,00,,,,,,,,,,2.81%,2.762,00,77.50,4.614,27,1.724,52,3.296,26,36%,67%,1.68%,4.49%,2.86%,-26.21%,-26.21%,0,2.35%,-35.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/15/2022,2.800,00,,,,,,,,,,2.77%,2.800,00,77.50,4.614,27,1.724,52,3.296,26,37%,65%,1.68%,4.49%,2.82%,-27.21%,-27.21%,0,2.35%,-34.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/16/2022,2.748,00,,,,,,,,,,2.82%,2.748,00,77.50,4.614,27,1.724,52,3.296,26,35%,68%,1.68%,4.49%,2.87%,-25.84%,-25.84%,0,2.35%,-35.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/17/2022,2.776,00,,,,,,,,,,2.79%,2.776,00,77.50,4.614,27,1.724,52,3.296,26,36%,66%,1.68%,4.49%,2.85%,-26.59%,-26.59%,0,2.35%,-35.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/20/2022,2.738,00,,,,,,,,,,2.83%,2.738,00,77.50,4.614,27,1.724,52,3.296,26,35%,69%,1.68%,4.49%,2.89%,-25.57%,-25.57%,0,2.35%,-36.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/21/2022,2.736,00,,,,,,,,,,2.83%,2.736,00,77.50,4.614,27,1.724,52,3.296,26,35%,69%,1.68%,4.49%,2.89%,-25.51%,-25.51%,0,2.35%,-36.10%,,,,,,,,,,,,
