,,,,,,,,,,,,,,,,,90%,NO,4.49%,11/10/2017,,,,,,,,,,$  3.360,05,65%,3.88%,$  4.703,58,$   1.899,49,$       1.509,00,$       993.77,1.26%,4.49%,2.35%,1.84%,-52.41%,-52.41%,-8%,,,,5Y CAGR,0.92%,,Derwent London PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.87%,,Derwent London PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Derwent London PLC - Rating: 10% - Upside: 131%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2025,11/24/2025,1.624,00,,,,,,,,,,4.86%,1.624,00,79.00,4.703,58,1.757,90,3.360,05,-5%,190%,1.68%,4.49%,4.86%,25.49%,25.49%,0,2.35%,-62.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,11/25/2025,1.639,00,,,,,,,,,,4.82%,1.639,00,79.00,4.703,58,1.757,90,3.360,05,-4%,187%,1.68%,4.49%,4.82%,24.34%,24.34%,0,2.35%,-61.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,11/26/2025,1.672,00,,,,,,,,,,4.72%,1.672,00,79.00,4.703,58,1.757,90,3.360,05,-3%,181%,1.68%,4.49%,4.72%,21.89%,21.89%,0,2.35%,-60.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,11/27/2025,1.687,00,,,,,,,,,,4.68%,1.687,00,79.00,4.703,58,1.757,90,3.360,05,-2%,179%,1.68%,4.49%,4.68%,20.81%,20.81%,0,2.35%,-60.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,11/28/2025,1.700,00,,,,,,,,,,4.65%,1.700,00,79.00,4.703,58,1.757,90,3.360,05,-2%,177%,1.68%,4.49%,4.65%,19.88%,19.88%,0,2.35%,-60.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/1/2025,1.695,00,,,,,,,,,,4.66%,1.695,00,79.00,4.703,58,1.757,90,3.360,05,-2%,177%,1.68%,4.49%,4.66%,20.24%,20.24%,0,2.35%,-60.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/2/2025,1.695,00,,,,,,,,,,4.66%,1.695,00,79.00,4.703,58,1.757,90,3.360,05,-2%,177%,1.68%,4.49%,4.66%,20.24%,20.24%,0,2.35%,-60.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/3/2025,1.678,00,,,,,,,,,,4.71%,1.678,00,79.00,4.703,58,1.757,90,3.360,05,-3%,180%,1.68%,4.49%,4.71%,21.45%,21.45%,0,2.35%,-60.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/4/2025,1.677,00,,,,,,,,,,4.71%,1.677,00,79.00,4.703,58,1.757,90,3.360,05,-3%,180%,1.68%,4.49%,4.71%,21.53%,21.53%,0,2.35%,-60.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/5/2025,1.662,00,,,,,,,,,,4.75%,1.662,00,79.00,4.703,58,1.757,90,3.360,05,-3%,183%,1.68%,4.49%,4.75%,22.62%,22.62%,0,2.35%,-61.19%,,,,,,,,,,,,
