,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HSBA LN,HSBC,,,,,,,,,,152%,-22%,$ 1.552,80,$        538.15,$       766.20,$       1.552,80,$   1.207,87,9.36%,3.58%,5.63%,15.64%,461.09%,461.09%,152%,,,,,,,NO,,,9.10%,2.97%,6.12%,0.10%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,HSBC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/21/2018,676.36,,,,,,,,,,5.58%,676.36,37.72,1.052,85,469.08,667.86,36%,56%,3.58%,8.04%,6.40%,129.58%,141.01%,77.3214,5.65%,-13.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/22/2018,673.23,,,,,,,,,,5.60%,673.23,37.72,1.052,85,469.08,667.86,35%,56%,3.58%,8.04%,6.43%,130.65%,142.13%,77.3214,5.65%,-13.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/23/2018,672.16,,,,,,,,,,5.61%,672.16,37.72,1.052,85,469.08,667.86,35%,57%,3.58%,8.04%,6.44%,131.02%,142.52%,77.3214,5.65%,-13.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/24/2018,670.20,,,,,,,,,,5.63%,670.20,37.72,1.052,85,469.08,667.86,34%,57%,3.58%,8.04%,6.46%,131.69%,143.23%,77.3214,5.65%,-13.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/28/2018,674.50,,,,,,,,,,5.59%,674.50,37.72,1.052,85,469.08,667.86,35%,56%,3.58%,8.04%,6.42%,130.21%,141.68%,77.3214,5.65%,-13.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/29/2018,668.94,,,,,,,,,,5.64%,668.94,37.72,1.052,85,469.08,667.86,34%,57%,3.58%,8.04%,6.47%,132.13%,143.69%,77.3214,5.65%,-13.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/30/2018,659.27,,,,,,,,,,5.72%,659.27,37.72,1.052,85,469.08,667.86,33%,60%,3.58%,8.04%,6.56%,135.53%,147.26%,77.3214,5.65%,-15.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,8/31/2018,653.31,,,,,,,,,,5.77%,653.31,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.62%,137.68%,149.52%,77.3214,5.65%,-15.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/3/2018,659.07,,,,,,,,,,5.72%,659.07,37.72,1.052,85,469.08,667.86,33%,60%,3.58%,8.04%,6.57%,135.60%,147.34%,77.3214,5.65%,-15.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/4/2018,661.51,,,,,,,,,,5.70%,661.51,37.72,1.052,85,469.08,667.86,33%,59%,3.58%,8.04%,6.54%,134.73%,146.42%,77.3214,5.65%,-14.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/5/2018,654.48,,,,,,,,,,5.76%,654.48,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.61%,137.26%,149.07%,77.3214,5.65%,-15.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/6/2018,645.01,,,,,,,,,,5.85%,645.01,37.72,1.052,85,469.08,667.86,30%,63%,3.58%,8.04%,6.71%,140.74%,152.73%,77.3214,5.65%,-17.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/7/2018,639.83,,,,,,,,,,5.90%,639.83,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.76%,142.69%,154.77%,77.3214,5.65%,-17.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/10/2018,637.78,,,,,,,,,,5.91%,637.78,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.79%,143.47%,155.59%,77.3214,5.65%,-17.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/11/2018,635.63,,,,,,,,,,5.93%,635.63,37.72,1.052,85,469.08,667.86,29%,66%,3.58%,8.04%,6.81%,144.29%,156.46%,77.3214,5.65%,-18.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/12/2018,637.00,,,,,,,,,,5.92%,637.00,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.79%,143.77%,155.91%,77.3214,5.65%,-18.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/13/2018,640.90,,,,,,,,,,5.89%,640.90,37.72,1.052,85,469.08,667.86,29%,64%,3.58%,8.04%,6.75%,142.28%,154.35%,77.3214,5.65%,-17.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/14/2018,643.05,,,,,,,,,,5.87%,643.05,37.72,1.052,85,469.08,667.86,30%,64%,3.58%,8.04%,6.73%,141.47%,153.50%,77.3214,5.65%,-17.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/17/2018,640.12,,,,,,,,,,5.89%,640.12,37.72,1.052,85,469.08,667.86,29%,64%,3.58%,8.04%,6.76%,142.58%,154.66%,77.3214,5.65%,-17.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/18/2018,635.43,,,,,,,,,,5.94%,635.43,37.72,1.052,85,469.08,667.86,28%,66%,3.58%,8.04%,6.81%,144.37%,156.54%,77.3214,5.65%,-18.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/19/2018,646.76,,,,,,,,,,5.83%,646.76,37.72,1.052,85,469.08,667.86,30%,63%,3.58%,8.04%,6.69%,140.09%,152.04%,77.3214,5.65%,-16.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/20/2018,650.18,,,,,,,,,,5.80%,650.18,37.72,1.052,85,469.08,667.86,31%,62%,3.58%,8.04%,6.66%,138.83%,150.72%,77.3214,5.65%,-16.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/21/2018,664.54,,,,,,,,,,5.68%,664.54,37.72,1.052,85,469.08,667.86,33%,58%,3.58%,8.04%,6.51%,133.67%,145.30%,77.3214,5.65%,-14.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/24/2018,660.24,,,,,,,,,,5.71%,660.24,37.72,1.052,85,469.08,667.86,33%,59%,3.58%,8.04%,6.55%,135.19%,146.90%,77.3214,5.65%,-15.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/25/2018,659.95,,,,,,,,,,5.72%,659.95,37.72,1.052,85,469.08,667.86,33%,60%,3.58%,8.04%,6.56%,135.29%,147.01%,77.3214,5.65%,-15.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/26/2018,665.42,,,,,,,,,,5.67%,665.42,37.72,1.052,85,469.08,667.86,34%,58%,3.58%,8.04%,6.50%,133.36%,144.98%,77.3214,5.65%,-14.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/27/2018,666.10,,,,,,,,,,5.66%,666.10,37.72,1.052,85,469.08,667.86,34%,58%,3.58%,8.04%,6.50%,133.12%,144.73%,77.3214,5.65%,-14.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,9/28/2018,654.19,,,,,,,,,,5.77%,654.19,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.62%,137.36%,149.18%,77.3214,5.65%,-15.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/1/2018,653.99,,,,,,,,,,5.77%,653.99,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.62%,137.43%,149.26%,77.3214,5.65%,-15.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/2/2018,648.03,,,,,,,,,,5.82%,648.03,37.72,1.052,85,469.08,667.86,31%,62%,3.58%,8.04%,6.68%,139.62%,151.55%,77.3214,5.65%,-16.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/3/2018,653.50,,,,,,,,,,5.77%,653.50,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.62%,137.61%,149.44%,77.3214,5.65%,-15.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/4/2018,655.36,,,,,,,,,,5.76%,655.36,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.60%,136.94%,148.74%,77.3214,5.65%,-15.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/5/2018,645.40,,,,,,,,,,5.85%,645.40,37.72,1.052,85,469.08,667.86,30%,63%,3.58%,8.04%,6.71%,140.60%,152.58%,77.3214,5.65%,-16.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/8/2018,639.24,,,,,,,,,,5.90%,639.24,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.77%,142.91%,155.01%,77.3214,5.65%,-17.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/9/2018,640.42,,,,,,,,,,5.89%,640.42,37.72,1.052,85,469.08,667.86,29%,64%,3.58%,8.04%,6.76%,142.47%,154.54%,77.3214,5.65%,-17.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/10/2018,638.27,,,,,,,,,,5.91%,638.27,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.78%,143.28%,155.40%,77.3214,5.65%,-17.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/11/2018,615.41,,,,,,,,,,6.13%,615.41,37.72,1.052,85,469.08,667.86,25%,71%,3.58%,8.04%,7.03%,152.32%,164.88%,77.3214,5.65%,-20.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/12/2018,614.24,,,,,,,,,,6.14%,614.24,37.72,1.052,85,469.08,667.86,25%,71%,3.58%,8.04%,7.05%,152.80%,165.39%,77.3214,5.65%,-20.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/15/2018,613.65,,,,,,,,,,6.15%,613.65,37.72,1.052,85,469.08,667.86,25%,72%,3.58%,8.04%,7.05%,153.04%,165.64%,77.3214,5.65%,-21.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/16/2018,609.45,,,,,,,,,,6.19%,609.45,37.72,1.052,85,469.08,667.86,24%,73%,3.58%,8.04%,7.10%,154.79%,167.47%,77.3214,5.65%,-21.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/17/2018,610.04,,,,,,,,,,6.18%,610.04,37.72,1.052,85,469.08,667.86,24%,73%,3.58%,8.04%,7.09%,154.54%,167.22%,77.3214,5.65%,-21.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/18/2018,603.69,,,,,,,,,,6.25%,603.69,37.72,1.052,85,469.08,667.86,23%,74%,3.58%,8.04%,7.17%,157.22%,170.03%,77.3214,5.65%,-22.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/19/2018,605.94,,,,,,,,,,6.23%,605.94,37.72,1.052,85,469.08,667.86,23%,74%,3.58%,8.04%,7.14%,156.26%,169.02%,77.3214,5.65%,-22.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/22/2018,609.55,,,,,,,,,,6.19%,609.55,37.72,1.052,85,469.08,667.86,24%,73%,3.58%,8.04%,7.10%,154.74%,167.43%,77.3214,5.65%,-21.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/23/2018,592.56,,,,,,,,,,6.37%,592.56,37.72,1.052,85,469.08,667.86,21%,78%,3.58%,8.04%,7.30%,162.05%,175.10%,77.3214,5.65%,-23.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/24/2018,586.80,,,,,,,,,,6.43%,586.80,37.72,1.052,85,469.08,667.86,20%,79%,3.58%,8.04%,7.38%,164.62%,177.80%,77.3214,5.65%,-24.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/25/2018,595.19,,,,,,,,,,6.34%,595.19,37.72,1.052,85,469.08,667.86,22%,77%,3.58%,8.04%,7.27%,160.89%,173.88%,77.3214,5.65%,-23.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/26/2018,590.90,,,,,,,,,,6.38%,590.90,37.72,1.052,85,469.08,667.86,21%,78%,3.58%,8.04%,7.32%,162.79%,175.87%,77.3214,5.65%,-23.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/29/2018,619.03,,,,,,,,,,6.09%,619.03,37.72,1.052,85,469.08,667.86,26%,70%,3.58%,8.04%,6.99%,150.85%,163.34%,77.3214,5.65%,-20.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/30/2018,621.96,,,,,,,,,,6.07%,621.96,37.72,1.052,85,469.08,667.86,26%,69%,3.58%,8.04%,6.96%,149.66%,162.10%,77.3214,5.65%,-20.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,10/31/2018,629.87,,,,,,,,,,5.99%,629.87,37.72,1.052,85,469.08,667.86,28%,67%,3.58%,8.04%,6.87%,146.53%,158.80%,77.3214,5.65%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/1/2018,623.91,,,,,,,,,,6.05%,623.91,37.72,1.052,85,469.08,667.86,27%,69%,3.58%,8.04%,6.94%,148.88%,161.28%,77.3214,5.65%,-19.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/2/2018,631.04,,,,,,,,,,5.98%,631.04,37.72,1.052,85,469.08,667.86,28%,67%,3.58%,8.04%,6.86%,146.07%,158.32%,77.3214,5.65%,-18.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/5/2018,625.86,,,,,,,,,,6.03%,625.86,37.72,1.052,85,469.08,667.86,27%,68%,3.58%,8.04%,6.92%,148.11%,160.46%,77.3214,5.65%,-19.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/6/2018,622.15,,,,,,,,,,6.06%,622.15,37.72,1.052,85,469.08,667.86,26%,69%,3.58%,8.04%,6.96%,149.59%,162.01%,77.3214,5.65%,-19.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/7/2018,623.23,,,,,,,,,,6.05%,623.23,37.72,1.052,85,469.08,667.86,26%,69%,3.58%,8.04%,6.94%,149.16%,161.56%,77.3214,5.65%,-19.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/8/2018,629.18,,,,,,,,,,6.00%,629.18,37.72,1.052,85,469.08,667.86,27%,67%,3.58%,8.04%,6.88%,146.80%,159.09%,77.3214,5.65%,-19.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/9/2018,619.03,,,,,,,,,,6.09%,619.03,37.72,1.052,85,469.08,667.86,26%,70%,3.58%,8.04%,6.99%,150.85%,163.34%,77.3214,5.65%,-20.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/12/2018,620.10,,,,,,,,,,6.08%,620.10,37.72,1.052,85,469.08,667.86,26%,70%,3.58%,8.04%,6.98%,150.41%,162.88%,77.3214,5.65%,-20.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/13/2018,629.48,,,,,,,,,,5.99%,629.48,37.72,1.052,85,469.08,667.86,27%,67%,3.58%,8.04%,6.88%,146.68%,158.96%,77.3214,5.65%,-19.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/14/2018,629.18,,,,,,,,,,6.00%,629.18,37.72,1.052,85,469.08,667.86,27%,67%,3.58%,8.04%,6.88%,146.80%,159.09%,77.3214,5.65%,-19.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/15/2018,642.47,,,,,,,,,,5.87%,642.47,37.72,1.052,85,469.08,667.86,30%,64%,3.58%,8.04%,6.74%,141.69%,153.73%,77.3214,5.65%,-17.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/16/2018,638.66,,,,,,,,,,5.91%,638.66,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.78%,143.13%,155.24%,77.3214,5.65%,-17.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/19/2018,636.22,,,,,,,,,,5.93%,636.22,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.80%,144.07%,156.22%,77.3214,5.65%,-18.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/20/2018,627.62,,,,,,,,,,6.01%,627.62,37.72,1.052,85,469.08,667.86,27%,68%,3.58%,8.04%,6.90%,147.41%,159.73%,77.3214,5.65%,-19.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/21/2018,644.71,,,,,,,,,,5.85%,644.71,37.72,1.052,85,469.08,667.86,30%,63%,3.58%,8.04%,6.71%,140.85%,152.84%,77.3214,5.65%,-17.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/22/2018,635.04,,,,,,,,,,5.94%,635.04,37.72,1.052,85,469.08,667.86,28%,66%,3.58%,8.04%,6.82%,144.52%,156.69%,77.3214,5.65%,-18.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/23/2018,638.76,,,,,,,,,,5.91%,638.76,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.78%,143.10%,155.20%,77.3214,5.65%,-17.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/26/2018,658.09,,,,,,,,,,5.73%,658.09,37.72,1.052,85,469.08,667.86,32%,60%,3.58%,8.04%,6.58%,135.95%,147.70%,77.3214,5.65%,-15.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/27/2018,657.21,,,,,,,,,,5.74%,657.21,37.72,1.052,85,469.08,667.86,32%,60%,3.58%,8.04%,6.59%,136.27%,148.03%,77.3214,5.65%,-15.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/28/2018,653.89,,,,,,,,,,5.77%,653.89,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.62%,137.47%,149.29%,77.3214,5.65%,-15.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/29/2018,653.60,,,,,,,,,,5.77%,653.60,37.72,1.052,85,469.08,667.86,32%,61%,3.58%,8.04%,6.62%,137.58%,149.41%,77.3214,5.65%,-15.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,11/30/2018,648.82,,,,,,,,,,5.81%,648.82,37.72,1.052,85,469.08,667.86,31%,62%,3.58%,8.04%,6.67%,139.33%,151.25%,77.3214,5.65%,-16.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/3/2018,664.05,,,,,,,,,,5.68%,664.05,37.72,1.052,85,469.08,667.86,33%,59%,3.58%,8.04%,6.52%,133.84%,145.48%,77.3214,5.65%,-14.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/4/2018,659.85,,,,,,,,,,5.72%,659.85,37.72,1.052,85,469.08,667.86,33%,60%,3.58%,8.04%,6.56%,135.33%,147.04%,77.3214,5.65%,-15.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/5/2018,644.52,,,,,,,,,,5.85%,644.52,37.72,1.052,85,469.08,667.86,30%,63%,3.58%,8.04%,6.71%,140.92%,152.92%,77.3214,5.65%,-17.10%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/6/2018,621.57,,,,,,,,,,6.07%,621.57,37.72,1.052,85,469.08,667.86,26%,69%,3.58%,8.04%,6.96%,149.82%,162.26%,77.3214,5.65%,-20.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/7/2018,628.79,,,,,,,,,,6.00%,628.79,37.72,1.052,85,469.08,667.86,27%,67%,3.58%,8.04%,6.88%,146.95%,159.25%,77.3214,5.65%,-19.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/10/2018,623.71,,,,,,,,,,6.05%,623.71,37.72,1.052,85,469.08,667.86,26%,69%,3.58%,8.04%,6.94%,148.96%,161.36%,77.3214,5.65%,-19.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/11/2018,629.28,,,,,,,,,,5.99%,629.28,37.72,1.052,85,469.08,667.86,27%,67%,3.58%,8.04%,6.88%,146.76%,159.04%,77.3214,5.65%,-19.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/12/2018,641.39,,,,,,,,,,5.88%,641.39,37.72,1.052,85,469.08,667.86,30%,64%,3.58%,8.04%,6.75%,142.10%,154.15%,77.3214,5.65%,-17.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/13/2018,640.61,,,,,,,,,,5.89%,640.61,37.72,1.052,85,469.08,667.86,29%,64%,3.58%,8.04%,6.76%,142.39%,154.46%,77.3214,5.65%,-17.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/14/2018,638.27,,,,,,,,,,5.91%,638.27,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.78%,143.28%,155.40%,77.3214,5.65%,-17.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/17/2018,633.68,,,,,,,,,,5.95%,633.68,37.72,1.052,85,469.08,667.86,28%,66%,3.58%,8.04%,6.83%,145.05%,157.25%,77.3214,5.65%,-18.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/18/2018,633.68,,,,,,,,,,5.95%,633.68,37.72,1.052,85,469.08,667.86,28%,66%,3.58%,8.04%,6.83%,145.05%,157.25%,77.3214,5.65%,-18.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/19/2018,637.49,,,,,,,,,,5.92%,637.49,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.79%,143.58%,155.71%,77.3214,5.65%,-18.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/20/2018,635.04,,,,,,,,,,5.94%,635.04,37.72,1.052,85,469.08,667.86,28%,66%,3.58%,8.04%,6.82%,144.52%,156.69%,77.3214,5.65%,-18.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/21/2018,638.76,,,,,,,,,,5.91%,638.76,37.72,1.052,85,469.08,667.86,29%,65%,3.58%,8.04%,6.78%,143.10%,155.20%,77.3214,5.65%,-17.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/24/2018,631.92,,,,,,,,,,5.97%,631.92,37.72,1.052,85,469.08,667.86,28%,67%,3.58%,8.04%,6.85%,145.73%,157.96%,77.3214,5.65%,-18.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/27/2018,623.13,,,,,,,,,,6.05%,623.13,37.72,1.052,85,469.08,667.86,26%,69%,3.58%,8.04%,6.95%,149.19%,161.60%,77.3214,5.65%,-19.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/28/2018,635.04,,,,,,,,,,5.94%,635.04,37.72,1.052,85,469.08,667.86,28%,66%,3.58%,8.04%,6.82%,144.52%,156.69%,77.3214,5.65%,-18.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,12/31/2018,631.82,,,,,,,,,,5.97%,631.82,37.72,1.052,85,469.08,667.86,28%,67%,3.58%,8.04%,6.85%,145.77%,158.00%,77.3214,5.65%,-18.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/2/2019,631.53,,,,,,,,,,6.27%,631.53,39.60,1.105,12,492.37,701.02,23%,75%,3.58%,8.04%,6.85%,145.88%,152.15%,39.5972,5.65%,-18.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/3/2019,626.45,,,,,,,,,,6.32%,626.45,39.60,1.105,12,492.37,701.02,22%,76%,3.58%,8.04%,6.91%,147.87%,154.19%,39.5972,5.65%,-19.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/4/2019,641.20,,,,,,,,,,6.18%,641.20,39.60,1.105,12,492.37,701.02,24%,72%,3.58%,8.04%,6.75%,142.17%,148.35%,39.5972,5.65%,-17.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/7/2019,627.13,,,,,,,,,,6.31%,627.13,39.60,1.105,12,492.37,701.02,22%,76%,3.58%,8.04%,6.90%,147.60%,153.92%,39.5972,5.65%,-19.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/8/2019,633.97,,,,,,,,,,6.25%,633.97,39.60,1.105,12,492.37,701.02,23%,74%,3.58%,8.04%,6.83%,144.93%,151.18%,39.5972,5.65%,-18.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/9/2019,631.04,,,,,,,,,,6.27%,631.04,39.60,1.105,12,492.37,701.02,23%,75%,3.58%,8.04%,6.86%,146.07%,152.35%,39.5972,5.65%,-18.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/10/2019,636.22,,,,,,,,,,6.22%,636.22,39.60,1.105,12,492.37,701.02,23%,74%,3.58%,8.04%,6.80%,144.07%,150.29%,39.5972,5.65%,-18.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/11/2019,632.50,,,,,,,,,,6.26%,632.50,39.60,1.105,12,492.37,701.02,23%,75%,3.58%,8.04%,6.84%,145.50%,151.76%,39.5972,5.65%,-18.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/14/2019,624.50,,,,,,,,,,6.34%,624.50,39.60,1.105,12,492.37,701.02,22%,77%,3.58%,8.04%,6.93%,148.65%,154.99%,39.5972,5.65%,-19.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/15/2019,626.84,,,,,,,,,,6.32%,626.84,39.60,1.105,12,492.37,701.02,22%,76%,3.58%,8.04%,6.90%,147.72%,154.04%,39.5972,5.65%,-19.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/16/2019,632.11,,,,,,,,,,6.26%,632.11,39.60,1.105,12,492.37,701.02,23%,75%,3.58%,8.04%,6.85%,145.65%,151.92%,39.5972,5.65%,-18.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/17/2019,624.01,,,,,,,,,,6.35%,624.01,39.60,1.105,12,492.37,701.02,21%,77%,3.58%,8.04%,6.94%,148.84%,155.19%,39.5972,5.65%,-19.74%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019,1/18/2019,636.61,,,,,,,,,,6.22%,636.61,39.60,1.105,12,492.37,701.02,24%,74%,3.58%,8.04%,6.80%,143.92%,150.14%,39.5972,5.65%,-18.12%,,,,,,,,,,,,
