,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/28/2017,2.338,00,,,12/28/2020,,12/28/2020,,,,,2.48%,2.338,00,58.00,2.530,05,787.63,1.400,29,89%,8%,2.29%,7.36%,5.09%,-28.06%,-20.02%,188,4.14%,-2.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/29/2017,2.359,00,,,1/4/2021,,1/4/2021,,,,,2.46%,2.359,00,58.00,2.530,05,787.63,1.400,29,90%,7%,2.29%,7.36%,5.04%,-28.70%,-20.73%,188,4.14%,-1.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/30/2017,2.383,00,,,1/11/2021,,1/11/2021,,,,,2.43%,2.383,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,4.99%,-29.42%,-21.53%,188,4.14%,-0.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/31/2017,2.395,00,,,1/18/2021,,1/19/2021,,,,,2.42%,2.395,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,4.97%,-29.77%,-21.92%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/3/2017,2.365,00,,,1/25/2021,,1/25/2021,,,,,2.45%,2.365,00,58.00,2.530,05,787.63,1.400,29,91%,7%,2.29%,7.36%,5.03%,-28.88%,-20.93%,188,4.14%,-1.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/4/2017,2.351,00,,,2/1/2021,,2/1/2021,,,,,2.47%,2.351,00,58.00,2.530,05,787.63,1.400,29,90%,8%,2.29%,7.36%,5.06%,-28.46%,-20.46%,188,4.14%,-1.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/5/2017,2.335,00,,,2/8/2021,,2/8/2021,,,,,2.48%,2.335,00,58.00,2.530,05,787.63,1.400,29,89%,8%,2.29%,7.36%,5.10%,-27.97%,-19.91%,188,4.14%,-2.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/6/2017,2.321,00,,,2/15/2021,,2/16/2021,,,,,2.50%,2.321,00,58.00,2.530,05,787.63,1.400,29,88%,9%,2.29%,7.36%,5.13%,-27.53%,-19.43%,188,4.14%,-3.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/7/2017,2.320,00,,,2/22/2021,,2/22/2021,,,,,2.50%,2.320,00,58.00,2.530,05,787.63,1.400,29,88%,9%,2.29%,7.36%,5.13%,-27.50%,-19.40%,188,4.14%,-3.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/10/2017,2.302,00,,,3/1/2021,,3/1/2021,,,,,2.52%,2.302,00,58.00,2.530,05,787.63,1.400,29,87%,10%,2.29%,7.36%,5.17%,-26.93%,-18.77%,188,4.14%,-3.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/11/2017,2.313,00,,,3/8/2021,,3/8/2021,,,,,2.51%,2.313,00,58.00,2.530,05,787.63,1.400,29,88%,9%,2.29%,7.36%,5.14%,-27.28%,-19.15%,188,4.14%,-3.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/12/2017,2.340,00,,,3/15/2021,,3/15/2021,,,,,2.48%,2.340,00,58.00,2.530,05,787.63,1.400,29,89%,8%,2.29%,7.36%,5.09%,-28.12%,-20.09%,188,4.14%,-2.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/13/2017,2.394,00,,,3/22/2021,,3/22/2021,,,,,2.42%,2.394,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,4.97%,-29.74%,-21.89%,188,4.14%,-0.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/18/2017,2.376,00,,,3/29/2021,,3/29/2021,,,,,2.44%,2.376,00,58.00,2.530,05,787.63,1.400,29,91%,6%,2.29%,7.36%,5.01%,-29.21%,-21.30%,188,4.14%,-0.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/19/2017,2.435,00,,,4/6/2021,,4/5/2021,,,,,2.38%,2.435,00,58.00,2.530,05,787.63,1.400,29,95%,4%,2.29%,7.36%,4.89%,-30.92%,-23.20%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/20/2017,2.386,00,,,4/12/2021,,4/12/2021,,,,,2.43%,2.386,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,4.99%,-29.51%,-21.63%,188,4.14%,-2.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/21/2017,2.389,00,,,4/19/2021,,4/19/2021,,,,,2.43%,2.389,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,4.98%,-29.59%,-21.72%,188,4.14%,-1.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/24/2017,2.414,00,,,4/26/2021,,4/26/2021,,,,,2.40%,2.414,00,58.00,2.530,05,787.63,1.400,29,93%,5%,2.29%,7.36%,4.93%,-30.32%,-22.54%,188,4.14%,-0.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/25/2017,2.365,00,,,5/3/2021,,5/3/2021,,,,,2.45%,2.365,00,58.00,2.530,05,787.63,1.400,29,91%,7%,2.29%,7.36%,5.03%,-28.88%,-20.93%,188,4.14%,-2.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/26/2017,2.378,00,,,5/10/2021,,5/10/2021,,,,,2.44%,2.378,00,58.00,2.530,05,787.63,1.400,29,91%,6%,2.29%,7.36%,5.00%,-29.27%,-21.36%,188,4.14%,-2.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/27/2017,2.380,00,,,5/17/2021,,5/17/2021,,,,,2.44%,2.380,00,58.00,2.530,05,787.63,1.400,29,91%,6%,2.29%,7.36%,5.00%,-29.33%,-21.43%,188,4.14%,-2.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,4/28/2017,2.351,00,,,5/24/2021,,5/24/2021,,,,,2.47%,2.351,00,58.00,2.530,05,787.63,1.400,29,90%,8%,2.29%,7.36%,5.06%,-28.46%,-20.46%,188,4.14%,-3.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/2/2017,2.399,00,,,5/31/2021,,6/1/2021,,,,,2.42%,2.399,00,58.00,2.530,05,787.63,1.400,29,92%,5%,2.29%,7.36%,4.96%,-29.89%,-22.05%,188,4.14%,-1.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/3/2017,2.371,00,,,6/7/2021,,6/7/2021,,,,,2.45%,2.371,00,58.00,2.530,05,787.63,1.400,29,91%,7%,2.29%,7.36%,5.02%,-29.06%,-21.13%,188,4.14%,-2.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/4/2017,2.391,00,,,6/14/2021,,6/14/2021,,,,,2.43%,2.391,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,4.98%,-29.65%,-21.79%,188,4.14%,-1.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/5/2017,2.382,00,,,6/21/2021,,6/21/2021,,,,,2.43%,2.382,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,5.00%,-29.39%,-21.49%,188,4.14%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/8/2017,2.382,00,,,6/28/2021,,6/28/2021,,,,,2.43%,2.382,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,5.00%,-29.39%,-21.49%,188,4.14%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/9/2017,2.382,00,,,7/5/2021,,7/6/2021,,,,,2.43%,2.382,00,58.00,2.530,05,787.63,1.400,29,92%,6%,2.29%,7.36%,5.00%,-29.39%,-21.49%,188,4.14%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/10/2017,2.405,00,,,7/12/2021,,7/12/2021,,,,,2.41%,2.405,00,58.00,2.530,05,787.63,1.400,29,93%,5%,2.29%,7.36%,4.95%,-30.06%,-22.25%,188,4.14%,-1.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/11/2017,2.448,00,,,7/19/2021,,7/19/2021,,,,,2.37%,2.448,00,58.00,2.530,05,787.63,1.400,29,95%,3%,2.29%,7.36%,4.86%,-31.29%,-23.61%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/12/2017,2.428,00,,,7/26/2021,,7/26/2021,,,,,2.39%,2.428,00,58.00,2.530,05,787.63,1.400,29,94%,4%,2.29%,7.36%,4.90%,-30.72%,-22.98%,188,4.14%,-0.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/15/2017,2.429,00,,,8/2/2021,,8/2/2021,,,,,2.39%,2.429,00,58.00,2.530,05,787.63,1.400,29,94%,4%,2.29%,7.36%,4.90%,-30.75%,-23.01%,188,4.14%,-0.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/16/2017,2.488,00,,,8/9/2021,,8/9/2021,,,,,2.33%,2.488,00,58.00,2.530,05,787.63,1.400,29,98%,2%,2.29%,7.36%,4.78%,-32.40%,-24.84%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/17/2017,2.445,00,,,8/16/2021,,8/16/2021,,,,,2.37%,2.445,00,58.00,2.530,05,787.63,1.400,29,95%,3%,2.29%,7.36%,4.87%,-31.21%,-23.52%,188,4.14%,-1.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/18/2017,2.428,00,,,8/23/2021,,8/23/2021,,,,,2.39%,2.428,00,58.00,2.530,05,787.63,1.400,29,94%,4%,2.29%,7.36%,4.90%,-30.72%,-22.98%,188,4.14%,-2.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/19/2017,2.437,00,,,8/30/2021,,8/30/2021,,,,,2.38%,2.437,00,58.00,2.530,05,787.63,1.400,29,95%,4%,2.29%,7.36%,4.88%,-30.98%,-23.27%,188,4.14%,-2.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/22/2017,2.457,00,,,9/6/2021,,9/7/2021,,,,,2.36%,2.457,00,58.00,2.530,05,787.63,1.400,29,96%,3%,2.29%,7.36%,4.84%,-31.54%,-23.89%,188,4.14%,-1.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/23/2017,2.478,00,,,9/13/2021,,9/13/2021,,,,,2.34%,2.478,00,58.00,2.530,05,787.63,1.400,29,97%,2%,2.29%,7.36%,4.80%,-32.12%,-24.54%,188,4.14%,-0.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/24/2017,2.526,00,,,9/20/2021,,9/20/2021,,,,,2.30%,2.526,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.71%,-33.41%,-25.97%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/25/2017,2.541,00,,,9/27/2021,,9/27/2021,,,,,2.28%,2.541,00,58.00,2.530,05,787.63,1.400,29,101%,0%,2.29%,7.36%,4.68%,-33.81%,-26.41%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/26/2017,2.533,00,,,10/4/2021,,10/4/2021,,,,,2.29%,2.533,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.70%,-33.60%,-26.17%,188,4.14%,-0.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/30/2017,2.589,00,,,10/11/2021,,10/11/2021,,,,,2.24%,2.589,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.60%,-35.03%,-27.77%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,5/31/2017,2.625,00,,,10/18/2021,,10/18/2021,,,,,2.21%,2.625,00,58.00,2.530,05,787.63,1.400,29,105%,-4%,2.29%,7.36%,4.53%,-35.92%,-28.76%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/1/2017,2.598,00,,,10/25/2021,,10/25/2021,,,,,2.23%,2.598,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.58%,-35.26%,-28.02%,188,4.14%,-1.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/2/2017,2.648,00,,,11/1/2021,,11/1/2021,,,,,2.19%,2.648,00,58.00,2.530,05,787.63,1.400,29,107%,-4%,2.29%,7.36%,4.49%,-36.48%,-29.38%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/5/2017,2.653,00,,,11/8/2021,,11/8/2021,,,,,2.19%,2.653,00,58.00,2.530,05,787.63,1.400,29,107%,-5%,2.29%,7.36%,4.49%,-36.60%,-29.51%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/6/2017,2.614,00,,,11/15/2021,,11/15/2021,,,,,2.22%,2.614,00,58.00,2.530,05,787.63,1.400,29,105%,-3%,2.29%,7.36%,4.55%,-35.65%,-28.46%,188,4.14%,-1.47%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/7/2017,2.640,00,,,11/22/2021,,11/22/2021,,,,,2.20%,2.640,00,58.00,2.530,05,787.63,1.400,29,106%,-4%,2.29%,7.36%,4.51%,-36.29%,-29.17%,188,4.14%,-0.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/8/2017,2.640,00,,,11/29/2021,,11/29/2021,,,,,2.20%,2.640,00,58.00,2.530,05,787.63,1.400,29,106%,-4%,2.29%,7.36%,4.51%,-36.29%,-29.17%,188,4.14%,-0.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/9/2017,2.645,00,,,12/6/2021,,12/6/2021,,,,,2.19%,2.645,00,58.00,2.530,05,787.63,1.400,29,107%,-4%,2.29%,7.36%,4.50%,-36.41%,-29.30%,188,4.14%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/12/2017,2.599,00,,,12/13/2021,,12/13/2021,,,,,2.23%,2.599,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.58%,-35.28%,-28.05%,188,4.14%,-2.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/13/2017,2.650,00,,,12/20/2021,,12/20/2021,,,,,2.19%,2.650,00,58.00,2.530,05,787.63,1.400,29,107%,-5%,2.29%,7.36%,4.49%,-36.53%,-29.43%,188,4.14%,-0.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/14/2017,2.657,00,,,12/27/2021,,12/27/2021,,,,,2.18%,2.657,00,58.00,2.530,05,787.63,1.400,29,107%,-5%,2.29%,7.36%,4.48%,-36.70%,-29.62%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/15/2017,2.599,00,,,1/3/2022,,1/3/2022,,,,,2.23%,2.599,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.58%,-35.28%,-28.05%,188,4.14%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/16/2017,2.584,00,,,1/10/2022,,1/10/2022,,,,,2.24%,2.584,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.61%,-34.91%,-27.63%,188,4.14%,-2.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/19/2017,2.646,00,,,1/17/2022,,1/18/2022,,,,,2.19%,2.646,00,58.00,2.530,05,787.63,1.400,29,107%,-4%,2.29%,7.36%,4.50%,-36.43%,-29.33%,188,4.14%,-0.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/20/2017,2.627,00,,,1/24/2022,,1/24/2022,,,,,2.21%,2.627,00,58.00,2.530,05,787.63,1.400,29,106%,-4%,2.29%,7.36%,4.53%,-35.97%,-28.82%,188,4.14%,-1.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/21/2017,2.585,00,,,1/31/2022,,1/31/2022,,,,,2.24%,2.585,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.60%,-34.93%,-27.66%,188,4.14%,-2.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/22/2017,2.575,00,,,2/7/2022,,2/7/2022,,,,,2.25%,2.575,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.62%,-34.68%,-27.38%,188,4.14%,-3.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/23/2017,2.605,00,,,2/14/2022,,2/14/2022,,,,,2.23%,2.605,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.57%,-35.43%,-28.21%,188,4.14%,-1.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/26/2017,2.602,00,,,2/21/2022,,2/22/2022,,,,,2.23%,2.602,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.57%,-35.36%,-28.13%,188,4.14%,-2.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/27/2017,2.543,00,,,2/28/2022,,2/28/2022,,,,,2.28%,2.543,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.68%,-33.86%,-26.46%,188,4.14%,-4.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/28/2017,2.563,00,,,3/7/2022,,3/7/2022,,,,,2.26%,2.563,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.64%,-34.37%,-27.04%,188,4.14%,-3.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/29/2017,2.534,00,,,3/14/2022,,3/14/2022,,,,,2.29%,2.534,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.70%,-33.62%,-26.20%,188,4.14%,-4.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/30/2017,2.534,00,,,3/21/2022,,3/21/2022,,,,,2.29%,2.534,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.70%,-33.62%,-26.20%,188,4.14%,-4.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/3/2017,2.533,00,,,3/28/2022,,3/28/2022,,,,,2.29%,2.533,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.70%,-33.60%,-26.17%,188,4.14%,-4.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/4/2017,2.526,00,,,4/4/2022,,4/4/2022,,,,,2.30%,2.526,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.71%,-33.41%,-25.97%,188,4.14%,-4.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/5/2017,2.550,00,,,4/11/2022,,4/11/2022,,,,,2.27%,2.550,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.67%,-34.04%,-26.67%,188,4.14%,-4.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/6/2017,2.569,00,,,4/19/2022,,4/18/2022,,,,,2.26%,2.569,00,58.00,2.530,05,787.63,1.400,29,102%,-2%,2.29%,7.36%,4.63%,-34.53%,-27.21%,188,4.14%,-3.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/7/2017,2.589,00,,,4/25/2022,,4/25/2022,,,,,2.24%,2.589,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.60%,-35.03%,-27.77%,188,4.14%,-2.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/10/2017,2.598,00,,,5/2/2022,,5/2/2022,,,,,2.23%,2.598,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.58%,-35.26%,-28.02%,188,4.14%,-2.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/11/2017,2.530,00,,,5/9/2022,,5/9/2022,,,,,2.29%,2.530,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.70%,-33.52%,-26.09%,188,4.14%,-4.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/12/2017,2.552,00,,,5/16/2022,,5/16/2022,,,,,2.27%,2.552,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.66%,-34.09%,-26.72%,188,4.14%,-3.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/13/2017,2.591,00,,,5/23/2022,,5/23/2022,,,,,2.24%,2.591,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.59%,-35.08%,-27.83%,188,4.14%,-2.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/14/2017,2.606,00,,,5/30/2022,,5/31/2022,,,,,2.23%,2.606,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.57%,-35.46%,-28.24%,188,4.14%,-1.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/17/2017,2.595,00,,,6/6/2022,,6/6/2022,,,,,2.24%,2.595,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.59%,-35.18%,-27.94%,188,4.14%,-2.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/18/2017,2.603,00,,,6/13/2022,,6/13/2022,,,,,2.23%,2.603,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.57%,-35.38%,-28.16%,188,4.14%,-2.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/19/2017,2.619,00,,,6/20/2022,,6/21/2022,,,,,2.21%,2.619,00,58.00,2.530,05,787.63,1.400,29,105%,-3%,2.29%,7.36%,4.54%,-35.78%,-28.60%,188,4.14%,-1.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/20/2017,2.625,00,,,6/27/2022,,6/27/2022,,,,,2.21%,2.625,00,58.00,2.530,05,787.63,1.400,29,105%,-4%,2.29%,7.36%,4.53%,-35.92%,-28.76%,188,4.14%,-1.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/21/2017,2.629,00,,,7/4/2022,,7/5/2022,,,,,2.21%,2.629,00,58.00,2.530,05,787.63,1.400,29,106%,-4%,2.29%,7.36%,4.53%,-36.02%,-28.87%,188,4.14%,-1.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/24/2017,2.630,00,,,7/11/2022,,7/11/2022,,,,,2.21%,2.630,00,58.00,2.530,05,787.63,1.400,29,106%,-4%,2.29%,7.36%,4.52%,-36.05%,-28.90%,188,4.14%,-1.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/25/2017,2.646,00,,,7/18/2022,,7/18/2022,,,,,2.19%,2.646,00,58.00,2.530,05,787.63,1.400,29,107%,-4%,2.29%,7.36%,4.50%,-36.43%,-29.33%,188,4.14%,-0.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/26/2017,2.698,00,,,7/25/2022,,7/25/2022,,,,,2.15%,2.698,00,58.00,2.530,05,787.63,1.400,29,110%,-6%,2.29%,7.36%,4.41%,-37.66%,-30.69%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/27/2017,2.779,00,,,8/1/2022,,8/1/2022,,,,,2.09%,2.779,00,58.00,2.530,05,787.63,1.400,29,114%,-9%,2.29%,7.36%,4.28%,-39.47%,-32.71%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/28/2017,2.685,00,,,8/8/2022,,8/8/2022,,,,,2.16%,2.685,00,58.00,2.530,05,787.63,1.400,29,109%,-6%,2.29%,7.36%,4.43%,-37.36%,-30.35%,188,4.14%,-3.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,7/31/2017,2.674,00,,,8/15/2022,,8/15/2022,,,,,2.17%,2.674,00,58.00,2.530,05,787.63,1.400,29,108%,-5%,2.29%,7.36%,4.45%,-37.10%,-30.07%,188,4.14%,-3.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/1/2017,2.674,00,,,8/22/2022,,8/22/2022,,,,,2.17%,2.674,00,58.00,2.530,05,787.63,1.400,29,108%,-5%,2.29%,7.36%,4.45%,-37.10%,-30.07%,188,4.14%,-3.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/2/2017,2.687,00,,,8/29/2022,,8/29/2022,,,,,2.16%,2.687,00,58.00,2.530,05,787.63,1.400,29,109%,-6%,2.29%,7.36%,4.43%,-37.40%,-30.41%,188,4.14%,-3.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/3/2017,2.709,00,,,9/5/2022,,9/6/2022,,,,,2.14%,2.709,00,58.00,2.530,05,787.63,1.400,29,110%,-7%,2.29%,7.36%,4.39%,-37.91%,-30.97%,188,4.14%,-2.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/4/2017,2.710,00,,,9/12/2022,,9/12/2022,,,,,2.14%,2.710,00,58.00,2.530,05,787.63,1.400,29,110%,-7%,2.29%,7.36%,4.39%,-37.93%,-31.00%,188,4.14%,-2.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/7/2017,2.707,00,,,9/19/2022,,9/19/2022,,,,,2.14%,2.707,00,58.00,2.530,05,787.63,1.400,29,110%,-7%,2.29%,7.36%,4.40%,-37.86%,-30.92%,188,4.14%,-2.59%,,,,,,,,,,,,
