,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REL LN,RELX PLC,,,,,,,,,,36%,40%,$2.682,00,$   2.077,71,$  2.467,79,$       4.135,00,$  3.766,30,3.08%,1.48%,2.21%,4.96%,138.19%,151.81%,122%,,,,,,,NO,,,2.88%,1.36%,1.52%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,RELX PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.69%,11/10/2017,,,,,,,,,,$  2.467,79,-8%,2.08%,$  3.766,30,$   1.436,97,$        1.126,00,$   1.209,83,1.35%,2.69%,2.27%,1.35%,-35.14%,-35.14%,-16%,,,,5Y CAGR,3.22%,,RELX PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.56%,,RELX PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,RELX PLC - Rating: 36% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2020,11/13/2020,1.771,50,,,,,,,,,,2.58%,1.771,50,45.70,3.079,07,1.698,59,2.017,49,5%,74%,1.48%,2.69%,3.16%,51.40%,51.40%,0,2.27%,-15.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/16/2020,1.755,50,,,,,,,,,,2.60%,1.755,50,45.70,3.079,07,1.698,59,2.017,49,4%,75%,1.48%,2.69%,3.18%,52.78%,52.78%,0,2.27%,-16.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/17/2020,1.712,00,,,,,,,,,,2.67%,1.712,00,45.70,3.079,07,1.698,59,2.017,49,1%,80%,1.48%,2.69%,3.27%,56.66%,56.66%,0,2.27%,-18.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/18/2020,1.733,00,,,,,,,,,,2.64%,1.733,00,45.70,3.079,07,1.698,59,2.017,49,2%,78%,1.48%,2.69%,3.23%,54.76%,54.76%,0,2.27%,-17.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/19/2020,1.776,50,,,,,,,,,,2.57%,1.776,50,45.70,3.079,07,1.698,59,2.017,49,6%,73%,1.48%,2.69%,3.15%,50.97%,50.97%,0,2.27%,-15.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/20/2020,1.782,50,,,,,,,,,,2.56%,1.782,50,45.70,3.079,07,1.698,59,2.017,49,6%,73%,1.48%,2.69%,3.14%,50.46%,50.46%,0,2.27%,-15.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/23/2020,1.763,00,,,,,,,,,,2.59%,1.763,00,45.70,3.079,07,1.698,59,2.017,49,5%,75%,1.48%,2.69%,3.17%,52.13%,52.13%,0,2.27%,-16.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/24/2020,1.745,00,,,,,,,,,,2.62%,1.745,00,45.70,3.079,07,1.698,59,2.017,49,3%,76%,1.48%,2.69%,3.20%,53.70%,53.70%,0,2.27%,-16.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/25/2020,1.744,50,,,,,,,,,,2.62%,1.744,50,45.70,3.079,07,1.698,59,2.017,49,3%,77%,1.48%,2.69%,3.20%,53.74%,53.74%,0,2.27%,-16.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/26/2020,1.740,00,,,,,,,,,,2.63%,1.740,00,45.70,3.079,07,1.698,59,2.017,49,3%,77%,1.48%,2.69%,3.21%,54.14%,54.14%,0,2.27%,-17.10%,,,,,,,,,,,,
