,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lotus Bakeries NV - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2020,7/22/2020,€                                                  2.880,00,,,,,,,,,,1.11%,€       2.880,00,32.00,7.707,73,2.681,38,4.424,74,4%,168%,0.42%,1.19%,1.56%,272.22%,272.22%,0,0.72%,-5.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,7/23/2020,€                                                  2.870,00,,,,,,,,,,1.11%,€       2.870,00,32.00,7.707,73,2.681,38,4.424,74,4%,169%,0.42%,1.19%,1.57%,273.52%,273.52%,0,0.72%,-5.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,7/24/2020,€                                                  2.840,00,,,,,,,,,,1.13%,€       2.840,00,32.00,7.707,73,2.681,38,4.424,74,3%,171%,0.42%,1.19%,1.58%,277.46%,277.46%,0,0.72%,-6.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,7/27/2020,€                                                  2.840,00,,,,,,,,,,1.13%,€       2.840,00,32.00,7.707,73,2.681,38,4.424,74,3%,171%,0.42%,1.19%,1.58%,277.46%,277.46%,0,0.72%,-6.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,7/28/2020,€                                                  2.840,00,,,,,,,,,,1.13%,€       2.840,00,32.00,7.707,73,2.681,38,4.424,74,3%,171%,0.42%,1.19%,1.58%,277.46%,277.46%,0,0.72%,-6.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,7/29/2020,€                                                  2.830,00,,,,,,,,,,1.13%,€       2.830,00,32.00,7.707,73,2.681,38,4.424,74,3%,172%,0.42%,1.19%,1.59%,278.80%,278.80%,0,0.72%,-6.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,7/30/2020,€                                                  2.840,00,,,,,,,,,,1.13%,€       2.840,00,32.00,7.707,73,2.681,38,4.424,74,3%,171%,0.42%,1.19%,1.58%,277.46%,277.46%,0,0.72%,-6.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,7/31/2020,€                                                   2.810,00,,,,,,,,,,1.14%,€        2.810,00,32.00,7.707,73,2.681,38,4.424,74,3%,174%,0.42%,1.19%,1.60%,281.49%,281.49%,0,0.72%,-7.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/3/2020,€                                                  2.830,00,,,,,,,,,,1.13%,€       2.830,00,32.00,7.707,73,2.681,38,4.424,74,3%,172%,0.42%,1.19%,1.59%,278.80%,278.80%,0,0.72%,-6.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/4/2020,€                                                   2.810,00,,,,,,,,,,1.14%,€        2.810,00,32.00,7.707,73,2.681,38,4.424,74,3%,174%,0.42%,1.19%,1.60%,281.49%,281.49%,0,0.72%,-7.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/5/2020,€                                                  2.770,00,,,,,,,,,,1.16%,€       2.770,00,32.00,7.707,73,2.681,38,4.424,74,2%,178%,0.42%,1.19%,1.62%,287.00%,287.00%,0,0.72%,-8.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/6/2020,€                                                  2.840,00,,,,,,,,,,1.13%,€       2.840,00,32.00,7.707,73,2.681,38,4.424,74,3%,171%,0.42%,1.19%,1.58%,277.46%,277.46%,0,0.72%,-6.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/7/2020,€                                                  2.840,00,,,,,,,,,,1.13%,€       2.840,00,32.00,7.707,73,2.681,38,4.424,74,3%,171%,0.42%,1.19%,1.58%,277.46%,277.46%,0,0.72%,-6.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/10/2020,€                                                  2.830,00,,,,,,,,,,1.13%,€       2.830,00,32.00,7.707,73,2.681,38,4.424,74,3%,172%,0.42%,1.19%,1.59%,278.80%,278.80%,0,0.72%,-6.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/11/2020,€                                                  2.830,00,,,,,,,,,,1.13%,€       2.830,00,32.00,7.707,73,2.681,38,4.424,74,3%,172%,0.42%,1.19%,1.59%,278.80%,278.80%,0,0.72%,-6.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/12/2020,€                                                  2.880,00,,,,,,,,,,1.11%,€       2.880,00,32.00,7.707,73,2.681,38,4.424,74,4%,168%,0.42%,1.19%,1.56%,272.22%,272.22%,0,0.72%,-5.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/13/2020,€                                                  2.860,00,,,,,,,,,,1.12%,€       2.860,00,32.00,7.707,73,2.681,38,4.424,74,4%,170%,0.42%,1.19%,1.57%,274.83%,274.83%,0,0.72%,-5.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/14/2020,€                                                  3.060,00,,,,,,,,,,1.05%,€       3.060,00,32.00,7.707,73,2.681,38,4.424,74,8%,152%,0.42%,1.19%,1.47%,250.33%,250.33%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/17/2020,€                                                   3.130,00,,,,,,,,,,1.02%,€        3.130,00,32.00,7.707,73,2.681,38,4.424,74,9%,146%,0.42%,1.19%,1.44%,242.49%,242.49%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/18/2020,€                                                   3.130,00,,,,,,,,,,1.02%,€        3.130,00,32.00,7.707,73,2.681,38,4.424,74,9%,146%,0.42%,1.19%,1.44%,242.49%,242.49%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/19/2020,€                                                   3.180,00,,,,,,,,,,1.01%,€        3.180,00,32.00,7.707,73,2.681,38,4.424,74,10%,142%,0.42%,1.19%,1.42%,237.11%,237.11%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/20/2020,€                                                   3.160,00,,,,,,,,,,1.01%,€        3.160,00,32.00,7.707,73,2.681,38,4.424,74,10%,144%,0.42%,1.19%,1.42%,239.24%,239.24%,0,0.72%,-0.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/21/2020,€                                                   3.210,00,,,,,,,,,,1.00%,€        3.210,00,32.00,7.707,73,2.681,38,4.424,74,11%,140%,0.42%,1.19%,1.40%,233.96%,233.96%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/24/2020,€                                                   3.190,00,,,,,,,,,,1.00%,€        3.190,00,32.00,7.707,73,2.681,38,4.424,74,10%,142%,0.42%,1.19%,1.41%,236.05%,236.05%,0,0.72%,-0.62%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/25/2020,€                                                  3.220,00,,,,,,,,,,0.99%,€       3.220,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.40%,232.92%,232.92%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/26/2020,€                                                  3.300,00,,,,,,,,,,0.97%,€       3.300,00,32.00,7.707,73,2.681,38,4.424,74,12%,134%,0.42%,1.19%,1.36%,224.85%,224.85%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/27/2020,€                                                  3.300,00,,,,,,,,,,0.97%,€       3.300,00,32.00,7.707,73,2.681,38,4.424,74,12%,134%,0.42%,1.19%,1.36%,224.85%,224.85%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/28/2020,€                                                  3.260,00,,,,,,,,,,0.98%,€       3.260,00,32.00,7.707,73,2.681,38,4.424,74,12%,136%,0.42%,1.19%,1.38%,228.83%,228.83%,0,0.72%,-1.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,8/31/2020,€                                                  3.270,00,,,,,,,,,,0.98%,€       3.270,00,32.00,7.707,73,2.681,38,4.424,74,12%,136%,0.42%,1.19%,1.38%,227.83%,227.83%,0,0.72%,-0.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/1/2020,€                                                  3.280,00,,,,,,,,,,0.98%,€       3.280,00,32.00,7.707,73,2.681,38,4.424,74,12%,135%,0.42%,1.19%,1.37%,226.83%,226.83%,0,0.72%,-0.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/2/2020,€                                                  3.290,00,,,,,,,,,,0.97%,€       3.290,00,32.00,7.707,73,2.681,38,4.424,74,12%,134%,0.42%,1.19%,1.37%,225.84%,225.84%,0,0.72%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/3/2020,€                                                  3.280,00,,,,,,,,,,0.98%,€       3.280,00,32.00,7.707,73,2.681,38,4.424,74,12%,135%,0.42%,1.19%,1.37%,226.83%,226.83%,0,0.72%,-0.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/4/2020,€                                                   3.170,00,,,,,,,,,,1.01%,€        3.170,00,32.00,7.707,73,2.681,38,4.424,74,10%,143%,0.42%,1.19%,1.42%,238.17%,238.17%,0,0.72%,-3.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/7/2020,€                                                  3.220,00,,,,,,,,,,0.99%,€       3.220,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.40%,232.92%,232.92%,0,0.72%,-2.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/8/2020,€                                                  3.250,00,,,,,,,,,,0.98%,€       3.250,00,32.00,7.707,73,2.681,38,4.424,74,11%,137%,0.42%,1.19%,1.38%,229.85%,229.85%,0,0.72%,-1.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/9/2020,€                                                  3.250,00,,,,,,,,,,0.98%,€       3.250,00,32.00,7.707,73,2.681,38,4.424,74,11%,137%,0.42%,1.19%,1.38%,229.85%,229.85%,0,0.72%,-1.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/10/2020,€                                                  3.220,00,,,,,,,,,,0.99%,€       3.220,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.40%,232.92%,232.92%,0,0.72%,-2.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/11/2020,€                                                  3.230,00,,,,,,,,,,0.99%,€       3.230,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.39%,231.89%,231.89%,0,0.72%,-2.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/14/2020,€                                                  3.230,00,,,,,,,,,,0.99%,€       3.230,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.39%,231.89%,231.89%,0,0.72%,-2.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/15/2020,€                                                  3.240,00,,,,,,,,,,0.99%,€       3.240,00,32.00,7.707,73,2.681,38,4.424,74,11%,138%,0.42%,1.19%,1.39%,230.86%,230.86%,0,0.72%,-1.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/16/2020,€                                                  3.240,00,,,,,,,,,,0.99%,€       3.240,00,32.00,7.707,73,2.681,38,4.424,74,11%,138%,0.42%,1.19%,1.39%,230.86%,230.86%,0,0.72%,-1.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/17/2020,€                                                  3.220,00,,,,,,,,,,0.99%,€       3.220,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.40%,232.92%,232.92%,0,0.72%,-2.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/18/2020,€                                                  3.220,00,,,,,,,,,,0.99%,€       3.220,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.40%,232.92%,232.92%,0,0.72%,-2.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/21/2020,€                                                  3.230,00,,,,,,,,,,0.99%,€       3.230,00,32.00,7.707,73,2.681,38,4.424,74,11%,139%,0.42%,1.19%,1.39%,231.89%,231.89%,0,0.72%,-2.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/22/2020,€                                                  3.320,00,,,,,,,,,,0.96%,€       3.320,00,32.00,7.707,73,2.681,38,4.424,74,13%,132%,0.42%,1.19%,1.36%,222.89%,222.89%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/23/2020,€                                                   3.210,00,,,,,,,,,,1.00%,€        3.210,00,32.00,7.707,73,2.681,38,4.424,74,11%,140%,0.42%,1.19%,1.40%,233.96%,233.96%,0,0.72%,-3.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/24/2020,€                                                  3.280,00,,,,,,,,,,0.98%,€       3.280,00,32.00,7.707,73,2.681,38,4.424,74,12%,135%,0.42%,1.19%,1.37%,226.83%,226.83%,0,0.72%,-1.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/25/2020,€                                                  3.290,00,,,,,,,,,,0.97%,€       3.290,00,32.00,7.707,73,2.681,38,4.424,74,12%,134%,0.42%,1.19%,1.37%,225.84%,225.84%,0,0.72%,-0.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/28/2020,€                                                  3.380,00,,,,,,,,,,0.95%,€       3.380,00,32.00,7.707,73,2.681,38,4.424,74,14%,128%,0.42%,1.19%,1.33%,217.16%,217.16%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/29/2020,€                                                  3.390,00,,,,,,,,,,0.94%,€       3.390,00,32.00,7.707,73,2.681,38,4.424,74,14%,127%,0.42%,1.19%,1.33%,216.22%,216.22%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,9/30/2020,€                                                  3.350,00,,,,,,,,,,0.96%,€       3.350,00,32.00,7.707,73,2.681,38,4.424,74,13%,130%,0.42%,1.19%,1.34%,220.00%,220.00%,0,0.72%,-1.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/1/2020,€                                                  3.380,00,,,,,,,,,,0.95%,€       3.380,00,32.00,7.707,73,2.681,38,4.424,74,14%,128%,0.42%,1.19%,1.33%,217.16%,217.16%,0,0.72%,-0.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/2/2020,€                                                  3.370,00,,,,,,,,,,0.95%,€       3.370,00,32.00,7.707,73,2.681,38,4.424,74,14%,129%,0.42%,1.19%,1.34%,218.10%,218.10%,0,0.72%,-0.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/5/2020,€                                                  3.380,00,,,,,,,,,,0.95%,€       3.380,00,32.00,7.707,73,2.681,38,4.424,74,14%,128%,0.42%,1.19%,1.33%,217.16%,217.16%,0,0.72%,-0.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/6/2020,€                                                  3.420,00,,,,,,,,,,0.94%,€       3.420,00,32.00,7.707,73,2.681,38,4.424,74,15%,125%,0.42%,1.19%,1.32%,213.45%,213.45%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/7/2020,€                                                  3.460,00,,,,,,,,,,0.92%,€       3.460,00,32.00,7.707,73,2.681,38,4.424,74,15%,123%,0.42%,1.19%,1.30%,209.83%,209.83%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/8/2020,€                                                  3.470,00,,,,,,,,,,0.92%,€       3.470,00,32.00,7.707,73,2.681,38,4.424,74,16%,122%,0.42%,1.19%,1.30%,208.93%,208.93%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/9/2020,€                                                  3.540,00,,,,,,,,,,0.90%,€       3.540,00,32.00,7.707,73,2.681,38,4.424,74,17%,118%,0.42%,1.19%,1.27%,202.82%,202.82%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/12/2020,€                                                  3.500,00,,,,,,,,,,0.91%,€       3.500,00,32.00,7.707,73,2.681,38,4.424,74,16%,120%,0.42%,1.19%,1.29%,206.29%,206.29%,0,0.72%,-1.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/13/2020,€                                                  3.470,00,,,,,,,,,,0.92%,€       3.470,00,32.00,7.707,73,2.681,38,4.424,74,16%,122%,0.42%,1.19%,1.30%,208.93%,208.93%,0,0.72%,-1.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/14/2020,€                                                  3.540,00,,,,,,,,,,0.90%,€       3.540,00,32.00,7.707,73,2.681,38,4.424,74,17%,118%,0.42%,1.19%,1.27%,202.82%,202.82%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/15/2020,€                                                  3.480,00,,,,,,,,,,0.92%,€       3.480,00,32.00,7.707,73,2.681,38,4.424,74,16%,121%,0.42%,1.19%,1.29%,208.05%,208.05%,0,0.72%,-1.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/16/2020,€                                                  3.450,00,,,,,,,,,,0.93%,€       3.450,00,32.00,7.707,73,2.681,38,4.424,74,15%,123%,0.42%,1.19%,1.30%,210.72%,210.72%,0,0.72%,-2.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/19/2020,€                                                  3.480,00,,,,,,,,,,0.92%,€       3.480,00,32.00,7.707,73,2.681,38,4.424,74,16%,121%,0.42%,1.19%,1.29%,208.05%,208.05%,0,0.72%,-1.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/20/2020,€                                                  3.470,00,,,,,,,,,,0.92%,€       3.470,00,32.00,7.707,73,2.681,38,4.424,74,16%,122%,0.42%,1.19%,1.30%,208.93%,208.93%,0,0.72%,-1.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/21/2020,€                                                  3.370,00,,,,,,,,,,0.95%,€       3.370,00,32.00,7.707,73,2.681,38,4.424,74,14%,129%,0.42%,1.19%,1.34%,218.10%,218.10%,0,0.72%,-4.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/22/2020,€                                                  3.390,00,,,,,,,,,,0.94%,€       3.390,00,32.00,7.707,73,2.681,38,4.424,74,14%,127%,0.42%,1.19%,1.33%,216.22%,216.22%,0,0.72%,-4.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/23/2020,€                                                  3.430,00,,,,,,,,,,0.93%,€       3.430,00,32.00,7.707,73,2.681,38,4.424,74,15%,125%,0.42%,1.19%,1.31%,212.54%,212.54%,0,0.72%,-3.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/26/2020,€                                                  3.450,00,,,,,,,,,,0.93%,€       3.450,00,32.00,7.707,73,2.681,38,4.424,74,15%,123%,0.42%,1.19%,1.30%,210.72%,210.72%,0,0.72%,-2.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/27/2020,€                                                  3.400,00,,,,,,,,,,0.94%,€       3.400,00,32.00,7.707,73,2.681,38,4.424,74,14%,127%,0.42%,1.19%,1.32%,215.29%,215.29%,0,0.72%,-3.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/28/2020,€                                                  3.260,00,,,,,,,,,,0.98%,€       3.260,00,32.00,7.707,73,2.681,38,4.424,74,12%,136%,0.42%,1.19%,1.38%,228.83%,228.83%,0,0.72%,-7.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/29/2020,€                                                   3.310,00,,,,,,,,,,0.97%,€        3.310,00,32.00,7.707,73,2.681,38,4.424,74,13%,133%,0.42%,1.19%,1.36%,223.87%,223.87%,0,0.72%,-6.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,10/30/2020,€                                                  3.360,00,,,,,,,,,,0.95%,€       3.360,00,32.00,7.707,73,2.681,38,4.424,74,14%,129%,0.42%,1.19%,1.34%,219.05%,219.05%,0,0.72%,-5.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/2/2020,€                                                  3.470,00,,,,,,,,,,0.92%,€       3.470,00,32.00,7.707,73,2.681,38,4.424,74,16%,122%,0.42%,1.19%,1.30%,208.93%,208.93%,0,0.72%,-1.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/3/2020,€                                                  3.450,00,,,,,,,,,,0.93%,€       3.450,00,32.00,7.707,73,2.681,38,4.424,74,15%,123%,0.42%,1.19%,1.30%,210.72%,210.72%,0,0.72%,-2.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/4/2020,€                                                   3.410,00,,,,,,,,,,0.94%,€        3.410,00,32.00,7.707,73,2.681,38,4.424,74,14%,126%,0.42%,1.19%,1.32%,214.37%,214.37%,0,0.72%,-3.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/5/2020,€                                                  3.460,00,,,,,,,,,,0.92%,€       3.460,00,32.00,7.707,73,2.681,38,4.424,74,15%,123%,0.42%,1.19%,1.30%,209.83%,209.83%,0,0.72%,-2.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/6/2020,€                                                  3.450,00,,,,,,,,,,0.93%,€       3.450,00,32.00,7.707,73,2.681,38,4.424,74,15%,123%,0.42%,1.19%,1.30%,210.72%,210.72%,0,0.72%,-2.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/9/2020,€                                                  3.440,00,,,,,,,,,,0.93%,€       3.440,00,32.00,7.707,73,2.681,38,4.424,74,15%,124%,0.42%,1.19%,1.31%,211.63%,211.63%,0,0.72%,-2.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/10/2020,€                                                  3.470,00,,,,,,,,,,0.92%,€       3.470,00,32.00,7.707,73,2.681,38,4.424,74,16%,122%,0.42%,1.19%,1.30%,208.93%,208.93%,0,0.72%,-1.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/11/2020,€                                                  3.470,00,,,,,,,,,,0.92%,€       3.470,00,32.00,7.707,73,2.681,38,4.424,74,16%,122%,0.42%,1.19%,1.30%,208.93%,208.93%,0,0.72%,-1.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/12/2020,€                                                  3.400,00,,,,,,,,,,0.94%,€       3.400,00,32.00,7.707,73,2.681,38,4.424,74,14%,127%,0.42%,1.19%,1.32%,215.29%,215.29%,0,0.72%,-3.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/13/2020,€                                                  3.440,00,,,,,,,,,,0.93%,€       3.440,00,32.00,7.707,73,2.681,38,4.424,74,15%,124%,0.42%,1.19%,1.31%,211.63%,211.63%,0,0.72%,-2.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/16/2020,€                                                  3.690,00,,,,,,,,,,0.87%,€       3.690,00,32.00,7.707,73,2.681,38,4.424,74,20%,109%,0.42%,1.19%,1.22%,190.51%,190.51%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/17/2020,€                                                  3.600,00,,,,,,,,,,0.89%,€       3.600,00,32.00,7.707,73,2.681,38,4.424,74,18%,114%,0.42%,1.19%,1.25%,197.78%,197.78%,0,0.72%,-2.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/18/2020,€                                                  3.570,00,,,,,,,,,,0.90%,€       3.570,00,32.00,7.707,73,2.681,38,4.424,74,18%,116%,0.42%,1.19%,1.26%,200.28%,200.28%,0,0.72%,-3.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/19/2020,€                                                  3.560,00,,,,,,,,,,0.90%,€       3.560,00,32.00,7.707,73,2.681,38,4.424,74,17%,117%,0.42%,1.19%,1.26%,201.12%,201.12%,0,0.72%,-3.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/20/2020,€                                                  3.530,00,,,,,,,,,,0.91%,€       3.530,00,32.00,7.707,73,2.681,38,4.424,74,17%,118%,0.42%,1.19%,1.27%,203.68%,203.68%,0,0.72%,-4.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/23/2020,€                                                   3.610,00,,,,,,,,,,0.89%,€        3.610,00,32.00,7.707,73,2.681,38,4.424,74,18%,114%,0.42%,1.19%,1.25%,196.95%,196.95%,0,0.72%,-2.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/24/2020,€                                                  3.650,00,,,,,,,,,,0.88%,€       3.650,00,32.00,7.707,73,2.681,38,4.424,74,19%,111%,0.42%,1.19%,1.23%,193.70%,193.70%,0,0.72%,-1.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/25/2020,€                                                  3.500,00,,,,,,,,,,0.91%,€       3.500,00,32.00,7.707,73,2.681,38,4.424,74,16%,120%,0.42%,1.19%,1.29%,206.29%,206.29%,0,0.72%,-5.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/26/2020,€                                                  3.550,00,,,,,,,,,,0.90%,€       3.550,00,32.00,7.707,73,2.681,38,4.424,74,17%,117%,0.42%,1.19%,1.27%,201.97%,201.97%,0,0.72%,-3.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/27/2020,€                                                  3.560,00,,,,,,,,,,0.90%,€       3.560,00,32.00,7.707,73,2.681,38,4.424,74,17%,117%,0.42%,1.19%,1.26%,201.12%,201.12%,0,0.72%,-3.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/30/2020,€                                                  3.560,00,,,,,,,,,,0.90%,€       3.560,00,32.00,7.707,73,2.681,38,4.424,74,17%,117%,0.42%,1.19%,1.26%,201.12%,201.12%,0,0.72%,-3.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/1/2020,€                                                  3.500,00,,,,,,,,,,0.91%,€       3.500,00,32.00,7.707,73,2.681,38,4.424,74,16%,120%,0.42%,1.19%,1.29%,206.29%,206.29%,0,0.72%,-5.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/2/2020,€                                                  3.480,00,,,,,,,,,,0.92%,€       3.480,00,32.00,7.707,73,2.681,38,4.424,74,16%,121%,0.42%,1.19%,1.29%,208.05%,208.05%,0,0.72%,-5.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/3/2020,€                                                  3.470,00,,,,,,,,,,0.92%,€       3.470,00,32.00,7.707,73,2.681,38,4.424,74,16%,122%,0.42%,1.19%,1.30%,208.93%,208.93%,0,0.72%,-5.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/4/2020,€                                                  3.520,00,,,,,,,,,,0.91%,€       3.520,00,32.00,7.707,73,2.681,38,4.424,74,17%,119%,0.42%,1.19%,1.28%,204.55%,204.55%,0,0.72%,-4.61%,,,,,,,,,,,,
