,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lotus Bakeries NV - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2023,8/25/2023,€                                                  7.360,00,,,,,,,,,,0.61%,€       7.360,00,45.00,10.839,00,3.770,69,6.222,29,51%,47%,0.42%,1.19%,0.61%,45.65%,45.65%,0,0.72%,-3.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/28/2023,€                                                   7.510,00,,,,,,,,,,0.60%,€        7.510,00,45.00,10.839,00,3.770,69,6.222,29,53%,44%,0.42%,1.19%,0.60%,42.74%,42.74%,0,0.72%,-1.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/29/2023,€                                                  7.580,00,,,,,,,,,,0.59%,€       7.580,00,45.00,10.839,00,3.770,69,6.222,29,54%,43%,0.42%,1.19%,0.59%,41.42%,41.42%,0,0.72%,-0.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/30/2023,€                                                   7.610,00,,,,,,,,,,0.59%,€        7.610,00,45.00,10.839,00,3.770,69,6.222,29,54%,42%,0.42%,1.19%,0.59%,40.87%,40.87%,0,0.72%,-0.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/31/2023,€                                                  7.270,00,,,,,,,,,,0.62%,€       7.270,00,45.00,10.839,00,3.770,69,6.222,29,50%,49%,0.42%,1.19%,0.62%,47.46%,47.46%,0,0.72%,-4.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/1/2023,€                                                   7.160,00,,,,,,,,,,0.63%,€        7.160,00,45.00,10.839,00,3.770,69,6.222,29,48%,51%,0.42%,1.19%,0.63%,49.72%,49.72%,0,0.72%,-6.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/4/2023,€                                                   7.160,00,,,,,,,,,,0.63%,€        7.160,00,45.00,10.839,00,3.770,69,6.222,29,48%,51%,0.42%,1.19%,0.63%,49.72%,49.72%,0,0.72%,-6.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/5/2023,€                                                   7.170,00,,,,,,,,,,0.63%,€        7.170,00,45.00,10.839,00,3.770,69,6.222,29,48%,51%,0.42%,1.19%,0.63%,49.51%,49.51%,0,0.72%,-6.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/6/2023,€                                                  7.270,00,,,,,,,,,,0.62%,€       7.270,00,45.00,10.839,00,3.770,69,6.222,29,50%,49%,0.42%,1.19%,0.62%,47.46%,47.46%,0,0.72%,-4.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/7/2023,€                                                  7.220,00,,,,,,,,,,0.62%,€       7.220,00,45.00,10.839,00,3.770,69,6.222,29,49%,50%,0.42%,1.19%,0.62%,48.48%,48.48%,0,0.72%,-5.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/8/2023,€                                                  7.260,00,,,,,,,,,,0.62%,€       7.260,00,45.00,10.839,00,3.770,69,6.222,29,49%,49%,0.42%,1.19%,0.62%,47.66%,47.66%,0,0.72%,-4.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/11/2023,€                                                  7.340,00,,,,,,,,,,0.61%,€       7.340,00,45.00,10.839,00,3.770,69,6.222,29,50%,48%,0.42%,1.19%,0.61%,46.05%,46.05%,0,0.72%,-3.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/12/2023,€                                                  7.270,00,,,,,,,,,,0.62%,€       7.270,00,45.00,10.839,00,3.770,69,6.222,29,50%,49%,0.42%,1.19%,0.62%,47.46%,47.46%,0,0.72%,-4.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/13/2023,€                                                  7.230,00,,,,,,,,,,0.62%,€       7.230,00,45.00,10.839,00,3.770,69,6.222,29,49%,50%,0.42%,1.19%,0.62%,48.27%,48.27%,0,0.72%,-5.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/14/2023,€                                                  7.280,00,,,,,,,,,,0.62%,€       7.280,00,45.00,10.839,00,3.770,69,6.222,29,50%,49%,0.42%,1.19%,0.62%,47.25%,47.25%,0,0.72%,-4.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/15/2023,€                                                  7.400,00,,,,,,,,,,0.61%,€       7.400,00,45.00,10.839,00,3.770,69,6.222,29,51%,46%,0.42%,1.19%,0.61%,44.86%,44.86%,0,0.72%,-3.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/18/2023,€                                                  7.390,00,,,,,,,,,,0.61%,€       7.390,00,45.00,10.839,00,3.770,69,6.222,29,51%,47%,0.42%,1.19%,0.61%,45.06%,45.06%,0,0.72%,-3.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/19/2023,€                                                  7.430,00,,,,,,,,,,0.61%,€       7.430,00,45.00,10.839,00,3.770,69,6.222,29,52%,46%,0.42%,1.19%,0.61%,44.28%,44.28%,0,0.72%,-2.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/20/2023,€                                                  7.540,00,,,,,,,,,,0.60%,€       7.540,00,45.00,10.839,00,3.770,69,6.222,29,53%,44%,0.42%,1.19%,0.60%,42.18%,42.18%,0,0.72%,-1.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/21/2023,€                                                  7.430,00,,,,,,,,,,0.61%,€       7.430,00,45.00,10.839,00,3.770,69,6.222,29,52%,46%,0.42%,1.19%,0.61%,44.28%,44.28%,0,0.72%,-2.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/22/2023,€                                                  7.460,00,,,,,,,,,,0.60%,€       7.460,00,45.00,10.839,00,3.770,69,6.222,29,52%,45%,0.42%,1.19%,0.60%,43.70%,43.70%,0,0.72%,-2.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/25/2023,€                                                  7.380,00,,,,,,,,,,0.61%,€       7.380,00,45.00,10.839,00,3.770,69,6.222,29,51%,47%,0.42%,1.19%,0.61%,45.26%,45.26%,0,0.72%,-3.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/26/2023,€                                                  7.340,00,,,,,,,,,,0.61%,€       7.340,00,45.00,10.839,00,3.770,69,6.222,29,50%,48%,0.42%,1.19%,0.61%,46.05%,46.05%,0,0.72%,-3.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/27/2023,€                                                  7.630,00,,,,,,,,,,0.59%,€       7.630,00,45.00,10.839,00,3.770,69,6.222,29,55%,42%,0.42%,1.19%,0.59%,40.50%,40.50%,0,0.72%,-0.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/28/2023,€                                                  7.680,00,,,,,,,,,,0.59%,€       7.680,00,45.00,10.839,00,3.770,69,6.222,29,55%,41%,0.42%,1.19%,0.59%,39.58%,39.58%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/29/2023,€                                                  7.690,00,,,,,,,,,,0.59%,€       7.690,00,45.00,10.839,00,3.770,69,6.222,29,55%,41%,0.42%,1.19%,0.59%,39.40%,39.40%,0,0.72%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/2/2023,€                                                   7.610,00,,,,,,,,,,0.59%,€        7.610,00,45.00,10.839,00,3.770,69,6.222,29,54%,42%,0.42%,1.19%,0.59%,40.87%,40.87%,0,0.72%,-1.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/3/2023,€                                                  7.560,00,,,,,,,,,,0.60%,€       7.560,00,45.00,10.839,00,3.770,69,6.222,29,54%,43%,0.42%,1.19%,0.60%,41.80%,41.80%,0,0.72%,-1.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/4/2023,€                                                  7.430,00,,,,,,,,,,0.61%,€       7.430,00,45.00,10.839,00,3.770,69,6.222,29,52%,46%,0.42%,1.19%,0.61%,44.28%,44.28%,0,0.72%,-3.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/5/2023,€                                                  7.550,00,,,,,,,,,,0.60%,€       7.550,00,45.00,10.839,00,3.770,69,6.222,29,53%,44%,0.42%,1.19%,0.60%,41.99%,41.99%,0,0.72%,-1.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/6/2023,€                                                  7.070,00,,,,,,,,,,0.64%,€       7.070,00,45.00,10.839,00,3.770,69,6.222,29,47%,53%,0.42%,1.19%,0.64%,51.63%,51.63%,0,0.72%,-8.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/9/2023,€                                                  7.040,00,,,,,,,,,,0.64%,€       7.040,00,45.00,10.839,00,3.770,69,6.222,29,46%,54%,0.42%,1.19%,0.64%,52.27%,52.27%,0,0.72%,-8.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/10/2023,€                                                   7.160,00,,,,,,,,,,0.63%,€        7.160,00,45.00,10.839,00,3.770,69,6.222,29,48%,51%,0.42%,1.19%,0.63%,49.72%,49.72%,0,0.72%,-6.89%,,,,,,,,,,,,
