,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RIO LN,Rio Tinto GBP,,,,,,,,,,90%,6%,$6.832,00,$  3.042,49,$  8.563,94,$      8.308,00,$  12.150,18,11.78%,4.35%,6.55%,20.48%,333.09%,382.36%,156%,,,,,,,NO,,,11.26%,3.47%,7.79%,0.10%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,-0.74%,,Rio Tinto GBP - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,10.38%,11/10/2017,,,,,,,,,,$   5.120,03,-25%,4.62%,$   7.264,10,$   1.750,72,$       1.577,50,$   1.040,33,3.28%,10.38%,6.17%,3.89%,-17.77%,-17.77%,-9%,,,,5Y CAGR,-8.51%,,Rio Tinto GBP - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.33%,,Rio Tinto GBP - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Rio Tinto GBP - Rating: 90% - Upside: 6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/26/2016,1.688,50,,,4/20/2015,,4/20/2015,,,,,6.40%,1.688,50,108.01,2.483,85,1.040,33,1.750,72,45%,47%,4.35%,10.38%,19.13%,304.62%,350.65%,777.23,6.17%,-12.94%,,2013,114.62,10.47%,1/1/1983,1983,,16,5.07%,57,393,2.11%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,1.717,00,,,4/27/2015,,4/27/2015,,,,,6.29%,1.717,00,108.01,2.483,85,1.040,33,1.750,72,47%,45%,4.35%,10.38%,18.81%,297.90%,343.17%,777.23,6.17%,-11.47%,,2014,122.72,7.07%,1/1/1984,1984,,17,5.17%,70,463,2.59%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,1.700,00,,,5/5/2015,,5/4/2015,,,,,6.35%,1.700,00,108.01,2.483,85,1.040,33,1.750,72,46%,46%,4.35%,10.38%,19.00%,301.88%,347.60%,777.23,6.17%,-12.35%,,2015,146.90,19.70%,1/1/1985,1985,,18,5.27%,107,570,3.96%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,1.714,00,,,5/11/2015,,5/11/2015,,,,,6.30%,1.714,00,108.01,2.483,85,1.040,33,1.750,72,47%,45%,4.35%,10.38%,18.85%,298.60%,343.95%,777.23,6.17%,-11.63%,,2016,108.01,-26.47%,1/1/1986,1986,,19,5.37%,81,651,3.00%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,1.696,00,,,5/18/2015,,5/18/2015,,,,,6.37%,1.696,00,108.01,2.483,85,1.040,33,1.750,72,45%,46%,4.35%,10.38%,19.05%,302.83%,348.66%,777.23,6.17%,-12.55%,,2017,183.69,70.07%,1/1/1987,1987,,20,5.47%,85,736,3.15%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,1.617,50,,,5/26/2015,,5/26/2015,,,,,6.68%,1.617,50,108.01,2.483,85,1.040,33,1.750,72,40%,54%,4.35%,10.38%,19.97%,322.38%,370.43%,777.23,6.17%,-16.60%,,2018,226.25,23.17%,1/1/1988,1988,,21,5.57%,93,829,3.44%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,1.685,00,,,6/1/2015,,6/1/2015,,,,,6.41%,1.685,00,108.01,2.483,85,1.040,33,1.750,72,45%,47%,4.35%,10.38%,19.17%,305.46%,351.59%,777.23,6.17%,-13.12%,,2019,259.28,14.60%,1/1/1989,1989,,22,5.67%,88,917,3.26%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,1.858,00,,,6/8/2015,,6/8/2015,,,,,5.81%,1.858,00,108.01,2.483,85,1.040,33,1.750,72,57%,34%,4.35%,10.38%,17.39%,267.71%,309.54%,777.23,6.17%,-4.20%,,2020,297.21,14.63%,1/1/1990,1990,,23,5.77%,98,1015,3.63%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,1.818,00,,,6/15/2015,,6/15/2015,,,,,5.94%,1.818,00,108.01,2.483,85,1.040,33,1.750,72,54%,37%,4.35%,10.38%,17.77%,275.80%,318.55%,777.23,6.17%,-6.26%,,2021,492.70,65.78%,1/1/1991,1991,,24,5.87%,93,1108,3.44%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,1.840,50,,,6/22/2015,,6/22/2015,,,,,5.87%,1.840,50,108.01,2.483,85,1.040,33,1.750,72,55%,35%,4.35%,10.38%,17.55%,271.20%,313.43%,777.23,6.17%,-5.10%,,2022,528.35,7.24%,1/1/1992,1992,,25,5.97%,105,1213,3.89%
