,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CWK LN,Cranswick PLC,,,,,,,,,,107%,-3%,$5.480,00,$   3.204,17,$  4.520,00,$      5.690,00,$  5.340,43,2.95%,1.53%,1.90%,4.31%,189.95%,200.33%,126%,,,,,,,NO,,,2.79%,1.44%,1.35%,0.02%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cranswick PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.54%,11/10/2017,,,,,,,,,,$  4.520,00,-18%,1.49%,$  5.340,43,$   2.162,94,$       1.890,00,$   1.533,28,1.38%,2.54%,1.80%,1.43%,-3.69%,-3.69%,-21%,,,,5Y CAGR,2.71%,,Cranswick PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.65%,,Cranswick PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cranswick PLC - Rating: 107% - Upside: -3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,2/8/2016,1.957,00,,,6/22/2015,,6/22/2015,,,,,1.99%,1.957,00,39.00,2.555,55,1.533,28,2.162,94,41%,31%,1.53%,2.54%,4.16%,180.02%,190.05%,196.3,1.80%,-6.81%,,2022,76.20,6.87%,1/1/1992,1992,,25,1.94%,57,1723,2.11%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,1.934,00,,,6/29/2015,,6/29/2015,,,,,2.02%,1.934,00,39.00,2.555,55,1.533,28,2.162,94,39%,32%,1.53%,2.54%,4.21%,183.35%,193.50%,196.3,1.80%,-7.90%,,2023,81.50,6.96%,1/1/1993,1993,,26,1.96%,74,1797,2.74%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,1.941,00,,,7/6/2015,,7/6/2015,,,,,2.01%,1.941,00,39.00,2.555,55,1.533,28,2.162,94,40%,32%,1.53%,2.54%,4.20%,182.33%,192.44%,196.3,1.80%,-7.57%,,2024,81.50,0.00%,1/1/1994,1994,,27,1.98%,52,1849,1.93%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,1.911,00,,,7/13/2015,,7/13/2015,,,,,2.04%,1.911,00,39.00,2.555,55,1.533,28,2.162,94,37%,34%,1.53%,2.54%,4.26%,186.76%,197.03%,196.3,1.80%,-9.00%,,2025,81.50,0.00%,1/1/1995,1995,,28,2.00%,58,1907,2.15%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,1.904,00,,,7/20/2015,,7/20/2015,,,,,2.05%,1.904,00,39.00,2.555,55,1.533,28,2.162,94,36%,34%,1.53%,2.54%,4.28%,187.82%,198.13%,196.3,1.80%,-9.33%,,2026,81.50,0.00%,1/1/1996,1996,,29,2.02%,51,1958,1.89%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,1.902,00,,,7/27/2015,,7/27/2015,,,,,2.05%,1.902,00,39.00,2.555,55,1.533,28,2.162,94,36%,34%,1.53%,2.54%,4.28%,188.12%,198.44%,196.3,1.80%,-9.43%,,,,,1/1/1997,1997,,30,2.04%,59,2017,2.19%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,1.929,00,,,8/3/2015,,8/3/2015,,,,,2.02%,1.929,00,39.00,2.555,55,1.533,28,2.162,94,39%,32%,1.53%,2.54%,4.22%,184.09%,194.26%,196.3,1.80%,-8.14%,,,,,1/1/1998,1998,,31,2.06%,50,2067,1.85%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,1.974,00,,,8/10/2015,,8/10/2015,,,,,1.98%,1.974,00,39.00,2.555,55,1.533,28,2.162,94,43%,29%,1.53%,2.54%,4.13%,177.61%,187.55%,196.3,1.80%,-6.00%,,,,,1/1/1999,1999,,32,2.08%,38,2105,1.41%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,2.015,00,,,8/17/2015,,8/17/2015,,,,,1.94%,2.015,00,39.00,2.555,55,1.533,28,2.162,94,47%,27%,1.53%,2.54%,4.04%,171.96%,181.70%,196.3,1.80%,-4.05%,,,,,1/1/2000,2000,,33,2.10%,21,2126,0.78%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,1.975,00,,,8/24/2015,,8/24/2015,,,,,1.97%,1.975,00,39.00,2.555,55,1.533,28,2.162,94,43%,29%,1.53%,2.54%,4.13%,177.47%,187.41%,196.3,1.80%,-5.95%,,,,,1/1/2001,2001,,34,2.12%,32,2158,1.19%
