ticker,nombre,sector,indice,tipo
UNH US,UnitedHealth Group Inc,Health Care,Achievers,Banquillo
MRK US,Merck & Co Inc,Health Care,Achievers,Titular
MRK GR,Merck KGaA,Health Care,Aristocrats,No info
AMGN US,Amgen Inc,Health Care,Achievers,Banquillo
ELV US,Elevance Health Inc,Health Care,Achievers,No info
PFE US,Pfizer Inc,Health Care,Achievers,No info
HIK LN,Hikma Pharmaceuticals PLC,Health Care,Aristocrats,No info
HUM US,Humana Inc,Health Care,Achievers,No info
ZTS US,Zoetis Inc,Health Care,Achievers,No info
AZN US,AstraZeneca PLC,Health Care,Achievers,No info
LLY US,Eli Lilly & Co,Health Care,Achievers,No info
DHR US,Danaher Corp,Health Care,Achievers,No info
TMO US,Thermo Fisher Scientific Inc,Health Care,-,No info
CI US,Cigna Group/The,Health Care,-,No info
CVS US,CVS Health Corp,Health Care,-,No info
GSK US,GSK PLC,Health Care,-,No info
DOV US,Dover Corp,Industrials,Dividend King,No info
EMR US,Emerson Electric Co,Industrials,Dividend King,No info
NDSN US,Nordson Corp,Industrials,Dividend King,No info
ITW US,Illinois Tool Works Inc,Industrials,Dividend King,No info
ABM US,ABM Industries Inc,Industrials,Aristocrats,No info
SWK US,Stanley Black & Decker Inc,Industrials,Dividend King,No info
MSA US,MSA Safety Inc,Industrials,Aristocrats,No info
TNC US,Tennant Co,Industrials,Dividend King,No info
GRC US,Gorman-Rupp Co/The,Industrials,Aristocrats,No info
GWW US,WW Grainger Inc,Industrials,Aristocrats,No info
ADP US,Automatic Data Processing Inc,Industrials,Dividend King,Titular
PNR US,Pentair PLC,Industrials,Aristocrats,No info
CSL US,Carlisle Cos Inc,Industrials,Aristocrats,No info
CTAS US,Cintas Corp,Industrials,Aristocrats,No info
BRC US,Brady Corp,Industrials,Aristocrats,No info
SPX LN,Spirax Group PLC,Industrials,Aristocrats,No info
DCI US,Donaldson Co Inc,Industrials,Aristocrats,No info
GD US,General Dynamics Corp,Industrials,Aristocrats,Banquillo
FELE US,Franklin Electric Co Inc,Industrials,Aristocrats,No info
MGRC US,McGrath RentCorp,Industrials,Aristocrats,No info
BZLFY US,Bunzl PLC,Industrials,Aristocrats,Banquillo
CAT US,Caterpillar Inc,Industrials,Aristocrats,No info
RTX US,RTX Corp,Industrials,Aristocrats,No info
TRI US,Thomson Reuters Corp,Industrials,Aristocrats,No info
AOS US,A O Smith Corp,Industrials,Aristocrats,No info
EXPD US,Expeditors International of Wa,Industrials,Aristocrats,No info
LECO US,Lincoln Electric Holdings Inc,Industrials,Aristocrats,No info
CNI US,Canadian National Railway Co,Industrials,Aristocrats,Titular
CHRW US,CH Robinson Worldwide Inc,Industrials,Aristocrats,No info
FAST US,Fastenal Co,Industrials,Aristocrats,No info
LHX US,L3Harris Technologies Inc,Industrials,Aristocrats,No info
CKN LN,Clarkson PLC,Industrials,Aristocrats,No info
LMT US,Lockheed Martin Corp,Industrials,Achievers,Banquillo
WM US,Waste Management Inc,Industrials,Achievers,No info
ROL US,Rollins Inc,Industrials,Achievers,No info
NOC US,Northrop Grumman Corp,Industrials,Achievers,No info
JBHT US,JB Hunt Transport Services Inc,Industrials,Achievers,No info
R US,Ryder System Inc,Industrials,Core,No info
CSX US,CSX Corp,Industrials,Achievers,No info
HEI US,HEICO Corp,Industrials,Achievers,No info
RHI US,Robert Half Inc,Industrials,Achievers,No info
DHLGY US,Deutsche Post AG,Industrials,Aristocrats,Titular
LGRDY US,Legrand SA,Industrials,Aristocrats,No info
HUBB US,Hubbell Inc,Industrials,Achievers,No info
BR US,Broadridge Financial Solutions,Industrials,Achievers,No info
UNP US,Union Pacific Corp,Industrials,Achievers,No info
CMI US,Cummins Inc,Industrials,Achievers,No info
UPS US,United Parcel Service Inc,Industrials,Achievers,No info
SNA US,Snap-on Inc,Industrials,Achievers,Banquillo
AIT US,Applied Industrial Technologie,Industrials,Achievers,No info
LII US,Lennox International Inc,Industrials,Achievers,No info
ETN US,Eaton Corp PLC,Industrials,Achievers,No info
SU FP,Schneider Electric SE,Industrials,Aristocrats,No info
PCAR US,PACCAR Inc,Industrials,Achievers,No info
HON US,Honeywell International Inc,Industrials,Achievers,No info
HII US,Huntington Ingalls Industries,Industrials,Achievers,No info
SBGSY US,Schneider Electric SE,Industrials,Aristocrats,No info
WTS US,Watts Water Technologies Inc,Industrials,Achievers,No info
WSO US,Watsco Inc,Industrials,Achievers,No info
ABBN SW,ABB Ltd,Industrials,Achievers,No info
PH US,Parker-Hannifin Corp,Industrials,Achievers,No info
LDO IM,Leonardo SpA,Industrials,Achievers,No info
ODFL US,Old Dominion Freight Line Inc,Industrials,-,No info
JCI US,Johnson Controls International,Industrials,-,No info
SIEGY US,Siemens AG,Industrials,-,No info
DE US,Deere & Co,Industrials,-,No info
FDX US,FedEx Corp,Industrials,-,No info
BWXT US,BWX Technologies Inc,Industrials,-,No info
GE US,GE Aerospace,Industrials,-,No info
MMM US,3M Co,Industrials,-,No info
TEX US,Terex Corp,Industrials,Candidate,No info
TWI US,Titan International Inc,Industrials,Tactical,No info
BMI US,Badger Meter Inc,Information Technology,Aristocrats,No info
ROP US,Roper Technologies Inc,Information Technology,Aristocrats,No info
IBM US,International Business Machine,Information Technology,Aristocrats,No info
SAP GR,SAP SE,Information Technology,Aristocrats,No info
QCOM US,QUALCOMM Inc,Information Technology,Achievers,Banquillo
ADI US,Analog Devices Inc,Information Technology,Achievers,No info
MSFT US,Microsoft Corp,Information Technology,Achievers,Cantera
TXN US,Texas Instruments Inc,Information Technology,Achievers,Titular
ORCL US,Oracle Corp,Information Technology,Achievers,No info
ASML US,ASML Holding NV,Information Technology,Aristocrats,No info
HPQ US,HP Inc,Information Technology,Achievers,Titular
AVGO US,Broadcom Inc,Information Technology,Achievers,Banquillo
KLAC US,KLA Corp,Information Technology,Achievers,No info
LFUS US,Littelfuse Inc,Information Technology,Achievers,No info
CSCO US,Cisco Systems Inc,Information Technology,Achievers,Banquillo
ACN US,Accenture PLC,Information Technology,Achievers,Banquillo
INTU US,Intuit Inc,Information Technology,Achievers,No info
MSI US,Motorola Solutions Inc,Information Technology,Achievers,No info
GLW US,Corning Inc,Information Technology,Achievers,No info
AAPL US,Apple Inc,Information Technology,Achievers,No info
LRCX US,Lam Research Corp,Information Technology,Achievers,No info
NTAP US,NetApp Inc,Information Technology,Achievers,No info
TSM US,Taiwan Semiconductor Manufactu,Information Technology,Achievers,No info
LOGI US,Logitech International SA,Information Technology,Achievers,No info
AMAT US,Applied Materials Inc,Information Technology,-,No info
OLED US,#NAME?,Information Technology,-,No info
INFY US,Infosys Ltd,Information Technology,-,No info
DELL US,Dell Technologies Inc,Information Technology,-,No info
TOELY US,Tokyo Electron Ltd,Information Technology,-,No info
CRM US,Salesforce Inc,Information Technology,-,No info
CSU CN,Constellation Software Inc/Can,Information Technology,-,No info
NVDA US,NVIDIA Corp,Information Technology,-,No info
SHW US,Sherwin-Williams Co/The,Materials,Aristocrats,No info
LIN US,Linde PLC,Materials,Aristocrats,Banquillo
RGLD US,Royal Gold Inc,Materials,Aristocrats,Titular
WLK US,Westlake Corp,Materials,Achievers,No info
AIQUY US,Air Liquide SA,Materials,Aristocrats,No info
FNV US,Franco-Nevada Corp,Materials,Aristocrats,Banquillo
LYB US,LyondellBasell Industries NV,Materials,Achievers,No info
STLD US,Steel Dynamics Inc,Materials,Achievers,No info
RIO US,Rio Tinto PLC,Materials,-,No info
WPM US,Wheaton Precious Metals Corp,Materials,-,No info
NEM US,Newmont Corp,Materials,-,No info
BASFY US,BASF SE,Materials,-,No info
BHP US,BHP Group Ltd,Materials,-,Banquillo
B US,Barrick Mining Corp,Materials,-,No info
MT US,ArcelorMittal SA,Materials,Aristocrats,No info
FRT US,Federal Realty Investment Trus,Real Estate,Dividend King,No info
NNN US,NNN REIT Inc,Real Estate,Aristocrats,No info
O US,Realty Income Corp,Real Estate,Aristocrats,Titular
ESS US,Essex Property Trust Inc,Real Estate,Aristocrats,Titular
WPC US,WP Carey Inc,Real Estate,Aristocrats,No info
CUBE US,CubeSmart,Real Estate,Achievers,Banquillo
MAA US,Mid-America Apartment Communit,Real Estate,Achievers,No info
ARE US,Alexandria Real Estate Equitie,Real Estate,Achievers,No info
PLD US,Prologis Inc,Real Estate,Achievers,Titular
AMT US,American Tower Corp,Real Estate,Achievers,Banquillo
ADC US,Agree Realty Corp,Real Estate,Aristocrats,No info
STAG US,STAG Industrial Inc,Real Estate,Achievers,No info
EQIX US,Equinix Inc,Real Estate,Achievers,Banquillo
IIPR US,Innovative Industrial Properti,Real Estate,-,No info
VICI US,VICI Properties Inc,Real Estate,-,No info
SPG US,Simon Property Group Inc,Real Estate,-,No info
MRG-U CN,Morguard North American Reside,Real Estate,-,No info
AVB US,AvalonBay Communities Inc,Real Estate,-,No info
DLR US,Digital Realty Trust Inc,Real Estate,-,No info
CCI US,Crown Castle Inc,Real Estate,-,No info
OHI US,Omega Healthcare Investors Inc,Real Estate,-,No info
AWR US,American States Water Co,Utilities,Dividend King,Titular
CWT US,California Water Service Group,Utilities,Dividend King,No info
BKH US,Black Hills Corp,Utilities,Dividend King,Banquillo
CU CN,Canadian Utilities Ltd,Utilities,Dividend King,No info
NEE US,NextEra Energy Inc,Utilities,Aristocrats,Titular
NJR US,New Jersey Resources Corp,Utilities,Aristocrats,No info
ES US,Eversource Energy,Utilities,Aristocrats,No info
HER IM,Hera SpA,Utilities,Aristocrats,No info
EIX US,Edison International,Utilities,Achievers,No info
WEC US,WEC Energy Group Inc,Utilities,Achievers,No info
POR US,Portland General Electric Co,Utilities,Achievers,No info
SWX US,Southwest Gas Holdings Inc,Utilities,Achievers,No info
AWK US,American Water Works Co Inc,Utilities,Achievers,No info
IBE SM,Iberdrola SA,Utilities,Aristocrats,No info
VST US,Vistra Corp,Utilities,-,No info
UGI US,UGI Corp,Utilities,-,Banquillo
TEP LN,Telecom Plus PLC,Utilities,-,No info
IMO CN,Imperial Oil Ltd,Energy,Aristocrats,Titular
RIO LN,Rio Tinto GBP,Materials,Aristocrats,Titular
BATS LN,British American Tobacco PLC,Consumer Staples,-,Banquillo
ULVR LN,Unilever PLC,Consumer Staples,-,Banquillo
